,time,VSZ,RSS
0,15:58:01:443314,,
1,15:58:01:613475,0.0002482188002757013,-2.894942535391909e-05
2,15:58:01:701795,0.0,0.0
3,15:58:01:799116,0.0,0.0
4,15:58:01:890867,0.0,0.0
5,15:58:01:994962,-0.0034895191877600817,-0.033640206125875705
6,15:58:02:151178,0.02293192976846714,0.013451168364289945
7,15:58:02:256221,0.004715591808274633,0.007567471695882233
8,15:58:02:351954,-0.0031110246937584574,0.0014082440956433295
9,15:58:02:517062,0.0001320310272914238,0.0003808630943662461
10,15:58:02:648560,0.0055535720179178405,0.024512387981022732
11,15:58:02:771180,0.0,0.0
12,15:58:02:885800,0.0,0.0
13,15:58:03:035784,2.9837386243958264e-06,-0.013034902667009685
14,15:58:03:164135,-2.983729721850459e-06,0.0017956961218756895
15,15:58:03:291235,0.0,0.0
16,15:58:03:448418,-0.0005877965090258508,-0.004249906039492379
17,15:58:03:582509,0.00015524566133162665,0.0
18,15:58:03:704684,0.0,0.0
19,15:58:03:823445,0.0,0.0
20,15:58:03:964309,0.0,0.0
21,15:58:04:101435,0.0,0.0
22,15:58:04:251009,0.0,0.0
23,15:58:04:399361,0.0,0.0
24,15:58:04:528534,-0.004585006193937424,-0.02569537192962079
25,15:58:04:663996,-0.0031667111485624844,-0.016449623029472282
26,15:58:04:793754,0.0,0.0
27,15:58:04:928448,0.0,0.0
28,15:58:05:067486,0.0,0.0
29,15:58:05:206132,0.0,0.0
30,15:58:05:342497,0.0,0.0
31,15:58:05:495860,-0.0016365184273779976,-0.0019693985759733357
32,15:58:05:642154,0.0,0.0
33,15:58:05:778027,0.0,0.0
34,15:58:05:917567,0.00031638990083426854,0.002671523982999302
35,15:58:06:067278,0.0,0.0
36,15:58:06:202866,0.0,0.0
37,15:58:06:345818,0.0,0.0
38,15:58:06:480039,0.0,0.0
39,15:58:06:621498,0.0,0.0
40,15:58:06:767538,0.0,0.0
41,15:58:06:899629,0.0,0.0
42,15:58:07:049444,0.0,0.0
43,15:58:07:193291,0.0,0.0
44,15:58:07:333191,0.0,0.0
45,15:58:07:468718,0.0,0.00024221872350738138
46,15:58:07:581448,0.0,0.0
47,15:58:07:724148,0.0,0.0
48,15:58:07:866910,0.0,0.0
49,15:58:08:000773,0.0,0.0
50,15:58:08:152604,0.0,0.0
51,15:58:08:303542,-0.0033496599131257465,-0.0015740404407312836
52,15:58:08:455718,-0.005077645664960051,-0.0014855687606112333
53,15:58:08:606691,0.0,0.0
54,15:58:08:760246,0.0,0.0
55,15:58:08:916078,0.0,0.0
56,15:58:09:061578,0.0,0.0
57,15:58:09:212244,0.0,0.0
