,time,VSZ,RSS
0,17:20:52:255890,,
1,17:20:52:421415,0.00020282800185444927,0.0
2,17:20:52:515925,0.00078459206041126,0.0012631826327076379
3,17:20:52:634851,0.0,0.0
4,17:20:52:816787,0.0,0.0
5,17:20:52:980799,0.006778385393423791,0.0006161248679732445
6,17:20:53:150952,0.01028121802843085,-0.01809118897522355
7,17:20:53:263531,-0.0034815275083361907,-0.005822981366459645
8,17:20:53:370203,0.015914380774228576,0.050461057880034854
9,17:20:53:525951,0.0026869818423747027,0.006376347468046717
10,17:20:53:626292,1.869071538718181e-05,0.0019320377315603654
11,17:20:53:723852,0.005345444690534329,0.010946007259528212
12,17:20:53:870873,0.003502077543014792,0.007657784011220192
13,17:20:53:998577,-0.00036357489063809645,0.0006124210116080775
14,17:20:54:143699,9.266423577569682e-06,5.564056196960543e-05
15,17:20:54:273523,-1.8532675423399425e-05,-8.345619940464122e-05
16,17:20:54:417552,-3.706603777953177e-05,-0.00022256843979528984
17,17:20:54:508116,-2.7800558791257757e-05,-0.00016696349065004057
18,17:20:54:642391,-3.706844224504735e-05,-0.00022265516281660958
19,17:20:54:773519,0.0003359452108113725,-0.0005010856856522139
20,17:20:54:918095,-0.0003728897566489531,-2.785204991084811e-05
21,17:20:55:060162,0.00036144410822935846,-0.0004177923850374743
22,17:20:55:181147,-0.0021539844079322412,-0.0010309852875612924
23,17:20:55:319968,-0.004075872505965306,-0.0011715154388999283
24,17:20:55:453383,-0.006078233956072654,-0.05289173112904577
25,17:20:55:585795,0.0,0.0
26,17:20:55:677707,1.875891048253031e-05,-0.0016217013121038182
27,17:20:55:815660,0.0,0.0
28,17:20:55:946241,0.0,-0.000679267572356812
29,17:20:56:060846,0.0,-0.00032508792150609533
30,17:20:56:181158,0.0,-0.0005912611600543682
31,17:20:56:312608,-9.379279296228837e-06,0.0
32,17:20:56:453600,9.37936726796984e-06,2.9580547831642434e-05
33,17:20:56:588523,0.0,0.0
34,17:20:56:712130,-9.379279296228837e-06,-0.0003253764013370075
35,17:20:56:846440,0.0,0.0
36,17:20:56:978415,0.0,0.0
37,17:20:57:114776,0.00037282984889830395,-8.876790152678726e-05
38,17:20:57:247078,-0.00024142869532406408,0.0008877578196668789
39,17:20:57:367961,0.0,0.0
40,17:20:57:500282,0.00036105822884535677,2.9565680158549767e-05
41,17:20:57:626167,-0.0003703026638355311,0.0
42,17:20:57:747065,-4.220200693993981e-05,-0.00020695364238410008
43,17:20:57:865276,6.0961027146477775e-05,0.00026613833279109933
44,17:20:58:021555,0.0,0.0
45,17:20:58:158753,0.0,0.0
46,17:20:58:294097,0.0,-0.0013007745521196323
47,17:20:58:448914,0.0,0.0
48,17:20:58:600501,0.0,0.0
49,17:20:58:742103,0.0,0.0
50,17:20:58:873275,-0.009828194163102988,-0.0013024687703511173
51,17:20:58:978222,0.0,0.0
52,17:20:59:121736,0.0,0.0
53,17:20:59:257109,-7.576905591755168e-05,-5.928033671231958e-05
54,17:20:59:386103,0.0,0.0
55,17:20:59:511278,0.0,0.0
56,17:20:59:649109,0.0,0.0
57,17:20:59:790181,0.0,0.0
58,17:20:59:929438,0.0,0.0
59,17:21:00:071298,0.0,0.0
60,17:21:00:214310,0.0,0.0
61,17:21:00:354878,0.0,0.0
62,17:21:00:494475,0.0,0.0
63,17:21:00:651600,0.0,-0.0008003319895660832
64,17:21:00:802840,0.0,0.0
65,17:21:00:932491,-0.0073241077517617326,-0.001127295381055493
66,17:21:01:076227,0.0,0.0
67,17:21:01:219543,0.0,0.0
68,17:21:01:358705,0.0,0.0
69,17:21:01:506430,0.0,0.0
70,17:21:01:655302,0.0,0.0
71,17:21:01:809886,0.0,-0.0007424786908615255
72,17:21:01:944025,0.0,0.0
73,17:21:02:075071,0.0,0.0
