,time,VSZ,RSS
0,20:16:45:824981,,
1,20:16:45:982109,0.00024636536874655945,0.001978912216690887
2,20:16:46:157489,0.0,0.0
3,20:16:46:252048,0.014306444576994037,-0.05104150594044132
4,20:16:46:406737,0.008297201303678836,0.0
5,20:16:46:544447,0.0,-0.0001951156059964987
6,20:16:46:683316,-0.006897092021193263,-0.007806147341031022
7,20:16:46:816030,0.0,0.0
8,20:16:46:953077,-2.9217468540121416e-06,0.0009178823143747294
9,20:16:47:097156,0.0,0.0
10,20:16:47:241979,0.0,0.0
11,20:16:47:392053,0.0,0.0
12,20:16:47:505339,0.0,0.0
13,20:16:47:652298,0.0,0.0
14,20:16:47:789375,0.0,-0.0008842891297939914
15,20:16:47:882965,0.0,0.0
16,20:16:48:031747,-0.0015894349325074053,-0.005933259031010274
17,20:16:48:170347,0.0,0.0
18,20:16:48:309735,0.0,0.0
19,20:16:48:460695,0.0,0.0
20,20:16:48:604441,0.0,0.0
21,20:16:48:752069,0.0,0.0
22,20:16:48:899173,0.0,0.0
23,20:16:49:061134,0.0,0.0
24,20:16:49:220667,0.0,0.0
25,20:16:49:395243,0.0,0.0
26,20:16:49:550263,0.0,0.0
27,20:16:49:694544,0.0,0.0
28,20:16:49:840587,0.0,0.0
29,20:16:49:988977,0.0,0.0
30,20:16:50:121267,-0.0021626145688232734,0.008507831821929157
31,20:16:50:254353,0.0,0.0
32,20:16:50:398383,0.0,0.0
33,20:16:50:540182,0.0,0.0
34,20:16:50:688996,0.0,0.0
35,20:16:50:841802,0.0,0.0
36,20:16:50:988014,0.0,0.0
37,20:16:51:135936,0.0,0.0
38,20:16:51:284696,-0.0036131469277986827,-0.007193538894156859
39,20:16:51:425600,0.0,0.0
40,20:16:51:571620,0.0,0.0
41,20:16:51:714374,0.0,0.0
42,20:16:51:859911,0.0,0.0
43,20:16:52:013255,0.0,0.0
44,20:16:52:154610,0.0,0.0
45,20:16:52:297205,0.0,0.0
46,20:16:52:438441,0.0,0.0
47,20:16:52:590260,0.0,0.0
48,20:16:52:725982,0.0,0.0
49,20:16:52:870648,0.0,0.0
50,20:16:53:015225,0.0,0.0
51,20:16:53:161117,0.0,0.0
52,20:16:53:305158,0.0,0.0
53,20:16:53:443429,0.0,0.0
54,20:16:53:582928,0.0,0.0
55,20:16:53:722876,0.0,0.0
56,20:16:53:870677,0.0,0.0
57,20:16:54:022830,0.0,0.0
58,20:16:54:177375,0.0,0.0
59,20:16:54:321440,0.0,0.0
60,20:16:54:466414,0.0,0.0
61,20:16:54:607839,0.0,0.0
62,20:16:54:761115,0.0,0.0
63,20:16:54:903787,0.0,0.0
64,20:16:55:057223,0.0,0.0
65,20:16:55:197575,0.0,0.0
66,20:16:55:337760,0.0,0.0
67,20:16:55:483417,0.0,0.0
68,20:16:55:640134,0.0,0.0
