,time,VSZ,RSS
0,18:28:49:213424,,
1,18:28:49:388198,-0.002851436123776696,-0.03468137628378998
2,18:28:49:548313,0.0011546780725006922,-0.012533543804262082
3,18:28:49:727982,-0.0008338748104830263,-0.00879212225845638
4,18:28:49:865404,0.011743602527557018,0.0030319646485823526
5,18:28:49:964829,0.005573320906514967,0.004180467569218971
6,18:28:50:075912,-0.00013583084532065026,0.003330451212092189
7,18:28:50:220434,0.0009909007607560305,0.0022661262008873972
8,18:28:50:323619,0.0,0.0001910706324437239
9,18:28:50:440632,0.0,0.0
10,18:28:50:531079,0.0,0.0
11,18:28:50:631662,0.0,0.0
12,18:28:50:721525,0.0,0.0
13,18:28:50:814161,0.0,0.0
14,18:28:50:905466,0.0,0.0
15,18:28:51:003839,0.0,0.0
16,18:28:51:150645,0.0,0.0
17,18:28:51:286799,-0.001447624724578711,-0.011621242995415226
18,18:28:51:422036,0.0,0.0
19,18:28:51:571438,0.0,0.0
20,18:28:51:718146,0.0,0.0
21,18:28:51:836926,0.0,0.0
22,18:28:51:989675,0.0,0.0
23,18:28:52:137967,0.0,0.0
24,18:28:52:297177,0.0,0.0
25,18:28:52:448361,0.0,0.0
26,18:28:52:594900,0.0,0.0
27,18:28:52:750523,0.0,0.0
28,18:28:52:891083,0.0,0.0
29,18:28:53:040369,0.0,0.0
30,18:28:53:178666,-0.0010659730735201878,-0.0016106690719325245
31,18:28:53:334444,-0.0007576485151156165,-0.00648533539831575
32,18:28:53:490259,0.0,0.0
33,18:28:53:634716,0.0,0.0
34,18:28:53:789012,0.0,0.0
35,18:28:53:939833,0.0,0.0
36,18:28:54:083511,0.0,0.0
37,18:28:54:220103,0.0,0.0
38,18:28:54:376057,0.0,0.0
39,18:28:54:526124,0.0,0.0
40,18:28:54:671367,0.0,0.0
41,18:28:54:826432,0.0,0.0
42,18:28:54:975067,0.0,0.0
43,18:28:55:120709,0.0,0.0
44,18:28:55:275114,-0.003759077317385784,-0.0018836061314627672
45,18:28:55:432299,0.0,0.0
46,18:28:55:575046,0.0,0.0
47,18:28:55:722699,0.0,0.0
48,18:28:55:878253,0.0,0.0
49,18:28:56:025464,0.0,0.0
50,18:28:56:165057,0.0,0.0
51,18:28:56:317596,0.0,0.0
52,18:28:56:476218,0.0,0.0
53,18:28:56:622920,0.0,0.0
54,18:28:56:771955,0.0,0.0
55,18:28:56:927445,0.0,0.0
56,18:28:57:067423,0.0,0.0
57,18:28:57:215955,0.0,0.0
58,18:28:57:361638,0.0,0.0
59,18:28:57:510438,0.0,0.0
60,18:28:57:652653,0.0,0.0
61,18:28:57:805767,0.0,0.0
62,18:28:57:939427,0.0,0.0
63,18:28:58:088915,0.0,0.0
64,18:28:58:241691,0.0,0.0
65,18:28:58:394455,0.0,0.0
66,18:28:58:548583,0.0,0.0
67,18:28:58:697235,0.0,0.0
68,18:28:58:839619,0.0,0.0
69,18:28:58:991225,0.0,0.0
