,time,VSZ,RSS
0,18:46:09:261300,,
1,18:46:09:445851,0.0001838332576646895,0.0
2,18:46:09:553696,0.0,-0.00018577001671926663
3,18:46:09:741644,0.020992127256068915,0.004335439118047901
4,18:46:09:831961,0.012312308216842816,0.00447089294523928
5,18:46:09:992984,-0.007824561687130749,0.0015962181907480666
6,18:46:10:089615,-0.000782109250885954,0.0016243219222165095
7,18:46:10:231290,-4.892008903456535e-05,-0.0275992901291231
8,18:46:10:340632,-0.0013045995287134238,0.00040906230333548343
9,18:46:10:503374,-0.001524021020604227,0.00037744157518959653
10,18:46:10:596543,0.010512716380158604,0.01656972174186455
11,18:46:10:733724,-0.008458621266311694,-0.0021031795125572295
12,18:46:10:857576,-1.0881096814574498e-05,0.002138606496404627
13,18:46:11:000448,-1.0881215214086915e-05,0.0002783533850865272
14,18:46:11:098006,-3.26440008487916e-05,3.091954733780433e-05
15,18:46:11:245837,-5.4408444190579e-05,0.00015459295674480344
16,18:46:11:382060,0.0,-0.0002782243106219662
17,18:46:11:536938,0.0,-0.002350103590092467
18,18:46:11:636899,0.0009658024321896885,0.010197439791711949
19,18:46:11:781384,0.0,0.0
20,18:46:11:937374,0.0001766664401712248,-0.0003681885125184081
21,18:46:12:077160,0.0,-0.0005524861878453136
22,18:46:12:177391,0.0,0.0
23,18:46:12:332266,-3.260958178208373e-05,-0.0003071064430931747
24,18:46:12:472095,0.0,-3.072007864335369e-05
25,18:46:12:620710,0.0,0.0
26,18:46:12:728939,0.0,-0.00015360511197815008
27,18:46:12:861588,0.0,0.0
28,18:46:13:003812,0.0,-0.00024580593621337243
29,18:46:13:146125,0.0,-0.00126006515458843
30,18:46:13:253147,-0.003345308686932391,-0.006154414253623397
31,18:46:13:351109,0.0,-3.096262810786676e-05
32,18:46:13:487488,-0.0020150130744082118,-0.02446123358929897
33,18:46:13:624092,0.0,-0.00015869993017203488
34,18:46:13:755639,0.0,-0.00031745023967488795
35,18:46:13:899841,0.0,0.0
36,18:46:14:046334,0.0,0.0
37,18:46:14:196048,0.0,0.0
38,18:46:14:346799,0.0,0.0
39,18:46:14:495042,0.0,0.0
40,18:46:14:648103,0.0,0.0
41,18:46:14:805347,0.0,0.0
42,18:46:14:976232,0.0,0.0
43,18:46:15:132637,0.0,0.0
44,18:46:15:285308,0.0,0.0
45,18:46:15:446584,0.0,0.0
46,18:46:15:601705,0.0,0.0
47,18:46:15:753976,0.0,0.0
48,18:46:15:902289,0.0,0.0
49,18:46:16:049498,0.0,0.0
50,18:46:16:179078,0.0,0.0
51,18:46:16:332262,0.0,0.0
52,18:46:16:478278,0.0,0.0
53,18:46:16:624505,0.0,0.0
54,18:46:16:780925,0.0,0.0
55,18:46:16:942945,0.0,0.0
56,18:46:17:096534,0.0,0.0
57,18:46:17:250835,0.0,0.0
58,18:46:17:407513,0.0,0.0
59,18:46:17:559715,0.0,0.0
60,18:46:17:703955,-0.004721208279600431,0.0
61,18:46:17:855890,0.0,0.0
62,18:46:18:009328,0.0,0.0
63,18:46:18:153090,0.0,0.0
64,18:46:18:306824,0.0,0.0
65,18:46:18:462369,0.0,0.0
66,18:46:18:610297,0.0,0.0
67,18:46:18:759317,0.0,0.0
68,18:46:18:901859,-0.0007906006368727514,0.0
69,18:46:19:048412,0.0,0.0
