,time,VSZ,RSS
0,18:07:20:101659,,
1,18:07:20:195999,0.0002681054995139487,0.0
2,18:07:20:272488,0.0,0.0
3,18:07:20:357662,0.0,0.0
4,18:07:20:447483,0.0,0.0
5,18:07:20:587561,0.0,0.0
6,18:07:20:730690,0.0,0.0
7,18:07:20:867268,0.0,-3.5910511006598256e-05
8,18:07:21:005177,0.0,-3.591180061768284e-05
9,18:07:21:155653,0.0,0.0
10,18:07:21:254731,0.0017187657050958816,0.0005746094451426487
11,18:07:21:418152,0.02509172762330958,-0.006029934316786889
12,18:07:21:552006,0.006264580648318807,0.003863792294081625
13,18:07:21:675929,-0.006744378333684575,-0.0016546762589928488
14,18:07:21:796059,0.00022198645229742908,-0.003783238452115034
15,18:07:21:935504,0.0,0.0
16,18:07:22:073861,0.0,0.0
17,18:07:22:221217,0.0,0.0
18,18:07:22:364718,0.0,0.0
19,18:07:22:499459,0.0,0.0
20,18:07:22:645080,0.0,0.0
21,18:07:22:783562,0.0,0.0
22,18:07:22:921019,0.0,0.0
23,18:07:23:056410,0.0,0.0
24,18:07:23:196016,0.0,0.0
25,18:07:23:345900,0.0,0.0
26,18:07:23:499408,0.0,-0.00137437158667586
27,18:07:23:647235,0.0,0.0
28,18:07:23:794170,0.0,0.0
29,18:07:23:939320,0.0,0.0
30,18:07:24:082788,0.00020888205670499538,0.0
31,18:07:24:222102,0.0,0.0
32,18:07:24:357638,0.0,0.0
33,18:07:24:499920,0.0,0.0
34,18:07:24:644518,0.0,0.0
35,18:07:24:786402,0.0,0.0
36,18:07:24:924399,0.0,0.0
37,18:07:25:060676,0.0,-0.004744485893303341
38,18:07:25:204178,3.2631005328687124e-05,7.278020378453931e-05
39,18:07:25:350122,0.0,0.0
40,18:07:25:495553,0.0,0.0
41,18:07:25:641909,0.0,0.0
42,18:07:25:787283,0.0,0.0
43,18:07:25:932247,0.0,0.0
44,18:07:26:075810,0.0,-0.00018193726802995247
45,18:07:26:220147,0.0,0.0
46,18:07:26:351863,0.0,0.0
47,18:07:26:495573,0.0,0.0
48,18:07:26:636737,0.0,0.0
49,18:07:26:781057,0.0,0.0
50,18:07:26:927033,0.0,0.0
51,18:07:27:067996,-0.007805081786946055,-0.0018924919023183273
52,18:07:27:205303,0.0,0.0
53,18:07:27:349380,0.0,0.0
54,18:07:27:489231,-0.0010260626490175007,-0.00021877848678208967
55,18:07:27:622800,0.0,0.0
56,18:07:27:758817,0.0,0.0
57,18:07:27:891654,0.0,0.0
58,18:07:28:021978,-0.0010271165349301503,-0.00010941318064117134
59,18:07:28:154520,0.0,0.0
60,18:07:28:275100,0.0,0.0
61,18:07:28:411621,0.0,0.0
62,18:07:28:553602,-0.0010281725879960346,-7.295010213015374e-05
63,18:07:28:696012,0.0,0.0
64,18:07:28:845928,0.0,0.0
65,18:07:28:990979,-0.0010292308149066898,-7.295542423579882e-05
66,18:07:29:143609,0.0,0.0
67,18:07:29:281991,0.0,0.0
68,18:07:29:428186,0.0,0.0
69,18:07:29:565235,0.0,0.0024077046548955927
70,18:07:29:708009,0.0,0.0
71,18:07:29:845201,0.0,0.0
