,time,VSZ,RSS
0,17:13:58:895072,,
1,17:13:59:061922,0.0002557912743201829,0.0
2,17:13:59:221754,0.0,0.0
3,17:13:59:399785,0.015957293781066806,-0.0537554653341662
4,17:13:59:563356,0.0009061533475758221,0.009158793679607147
5,17:13:59:692354,-0.003269257972745687,-0.0004088140304975285
6,17:13:59:825380,3.1538279587906004e-06,8.179624555237908e-05
7,17:13:59:968161,-0.0005771486962116157,-0.015090172984909778
8,17:14:00:114997,-0.00020827219282215648,-0.0016193323368211
9,17:14:00:253938,-6.31259330796663e-06,8.317737575369577e-05
10,17:14:00:390360,0.0,0.0
11,17:14:00:531791,0.0,0.0
12,17:14:00:667351,0.0,0.0
13,17:14:00:819071,0.0,-0.0013723125545805903
14,17:14:00:965631,-0.0017170362187327592,-0.01399183809444493
15,17:14:01:123332,0.0,0.0
16,17:14:01:257278,0.0,0.0
17,17:14:01:402925,0.0,0.0
18,17:14:01:553091,0.0,0.0
19,17:14:01:696873,0.0,0.0
20,17:14:01:836370,0.0,0.0
21,17:14:01:983590,0.0,0.0
22,17:14:02:139063,0.0,0.0
23,17:14:02:288385,0.0,0.0
24,17:14:02:433382,0.0,0.0
25,17:14:02:578240,0.0,0.0
26,17:14:02:728464,0.0,0.0
27,17:14:02:857362,0.0,0.0
28,17:14:03:009825,0.0,0.0
29,17:14:03:144928,0.0,0.0
30,17:14:03:285514,-0.0008884504601920362,-0.00021116648365571145
31,17:14:03:418555,0.0,0.0
32,17:14:03:571747,0.0,0.0
33,17:14:03:713703,0.0,0.0
34,17:14:03:852116,0.0,0.0
35,17:14:03:993090,0.0,0.0
36,17:14:04:130019,0.0,0.0
37,17:14:04:270619,0.0,0.0
38,17:14:04:414541,0.0,0.0
39,17:14:04:560810,0.0,0.0
40,17:14:04:704414,0.0,0.0
41,17:14:04:855425,0.0,0.0
42,17:14:05:004113,0.0,0.0
43,17:14:05:150266,0.0,0.0
44,17:14:05:295194,0.0,0.0
45,17:14:05:435851,0.0,0.0
46,17:14:05:579988,0.0,0.0
47,17:14:05:728192,0.0,0.0
48,17:14:05:869187,0.0,0.0
49,17:14:06:021078,0.0,0.0
50,17:14:06:171797,0.0,0.0
51,17:14:06:315693,0.0,0.0
52,17:14:06:465934,0.0,0.0
53,17:14:06:622670,0.0,0.0
54,17:14:06:776036,0.0,0.0
55,17:14:06:888123,0.0,0.0
56,17:14:07:017010,0.0,0.0
57,17:14:07:154112,0.0,0.0
58,17:14:07:297247,0.0,0.0
59,17:14:07:444020,0.0,0.0
60,17:14:07:590212,0.0,0.0
61,17:14:07:723004,0.0,0.0
62,17:14:07:868140,0.0,0.0
63,17:14:08:009183,0.0,0.0
64,17:14:08:171572,0.0,0.0
65,17:14:08:326534,0.0,0.0
66,17:14:08:474132,0.0,0.0
67,17:14:08:620593,0.0,0.0
