,time,VSZ,RSS
0,20:36:16:616078,,
1,20:36:16:780778,0.00018315961788317736,0.0010530010530009903
2,20:36:16:943899,0.0,0.0
3,20:36:17:043296,0.011368123472757174,0.002836924646181238
4,20:36:17:150919,0.0,0.0
5,20:36:17:276833,0.0,0.0
6,20:36:17:432984,-0.0037911044845371222,-0.009058834747783018
7,20:36:17:570511,0.0,0.0
8,20:36:17:707162,-5.679897989052662e-06,0.0006735950731331375
9,20:36:17:860208,0.0,0.0
10,20:36:18:015429,0.0,0.0
11,20:36:18:166944,0.0,0.0
12,20:36:18:318556,0.0,0.0
13,20:36:18:475863,0.0,0.0
14,20:36:18:626944,0.0,0.0
15,20:36:18:789423,-0.0015449410281241915,-0.022918870404205482
16,20:36:18:952899,0.0,0.0
17,20:36:19:103830,0.0,0.0
18,20:36:19:253726,0.0,0.0
19,20:36:19:401524,0.0,0.0
20,20:36:19:552202,0.0,0.0
21,20:36:19:700779,0.0,0.0
22,20:36:19:844726,0.0,0.0
23,20:36:19:997761,0.0,0.0
24,20:36:20:151142,0.0,0.0
25,20:36:20:289151,0.0,0.0
26,20:36:20:436395,0.0,0.0
27,20:36:20:596183,0.0,0.0
28,20:36:20:750259,0.0,0.0
29,20:36:20:910520,0.0,0.0
30,20:36:21:041430,-0.002084915508301255,0.008070336592087113
31,20:36:21:188721,0.0,0.0
32,20:36:21:341948,0.0,0.0
33,20:36:21:491185,0.0,0.0
34,20:36:21:646745,0.0,0.0
35,20:36:21:802329,0.0,0.0
36,20:36:21:969757,0.0,0.0
37,20:36:22:124322,0.0,0.0
38,20:36:22:275301,0.0,0.0
39,20:36:22:425381,0.0,0.0
40,20:36:22:585785,0.0,0.0
41,20:36:22:739501,0.0,0.0
42,20:36:22:888068,0.0,0.0
43,20:36:23:037712,0.0,0.0
44,20:36:23:188075,0.0,0.0
45,20:36:23:351500,0.0,0.0
46,20:36:23:507287,0.0,0.0
47,20:36:23:653934,0.0,0.0
48,20:36:23:803267,0.0,0.0
49,20:36:23:952330,0.0,0.0
50,20:36:24:100254,0.0,0.0
51,20:36:24:247918,0.0,0.0
52,20:36:24:397786,0.0,0.0
53,20:36:24:549152,0.0,0.0
54,20:36:24:692712,0.0,0.0
55,20:36:24:846716,0.0,0.0
56,20:36:25:000596,0.0,0.0
57,20:36:25:151467,0.0,0.0
58,20:36:25:303036,0.0,0.0
59,20:36:25:451081,0.0,0.0
60,20:36:25:574722,0.0,0.0
61,20:36:25:734524,0.0,0.0
62,20:36:25:884011,0.0,0.0
63,20:36:26:050887,0.0,0.0
64,20:36:26:205814,0.0,0.0
65,20:36:26:354252,0.0,0.0
