,time,VSZ,RSS
0,16:56:32:791901,,
1,16:56:32:873288,0.0,0.0
2,16:56:32:977298,0.0,0.0
3,16:56:33:072709,0.0,0.0
4,16:56:33:226719,0.022967160062316028,0.005028219599794825
5,16:56:33:356467,0.0,0.0
6,16:56:33:439874,0.0,0.0
7,16:56:33:602469,-0.004458203451006115,-0.010057177863998401
8,16:56:33:727000,0.0,0.0
9,16:56:33:862880,0.00015763151483882964,0.004280336238461135
10,16:56:34:007199,0.0,0.0
11,16:56:34:141632,0.0,0.0
12,16:56:34:287700,0.0,0.0
13,16:56:34:436972,0.0,0.0
14,16:56:34:590434,0.0,0.0
15,16:56:34:730504,0.0,0.0
16,16:56:34:868410,-0.0019485915694759104,-0.006675567423230944
17,16:56:35:008197,0.0,0.0
18,16:56:35:150761,0.0,0.0
19,16:56:35:286783,0.0,0.0
20,16:56:35:432563,0.0,0.0
21,16:56:35:567407,0.0,0.0
22,16:56:35:713656,0.0,0.0
23,16:56:35:860768,0.0,0.0
24,16:56:36:009148,0.0,0.0
25,16:56:36:145643,0.0,0.0
26,16:56:36:289077,0.0,0.0
27,16:56:36:437384,0.0,-0.00056865177832921
28,16:56:36:584860,0.0,0.0
29,16:56:36:731404,0.0,0.0
30,16:56:36:882445,0.0,0.0
31,16:56:37:033195,0.0,0.0
32,16:56:37:170564,-0.0030111401418357886,0.007913929550509513
33,16:56:37:315372,0.0,0.0
34,16:56:37:465787,0.0,0.0
35,16:56:37:601855,0.0,0.0
36,16:56:37:742692,0.0,0.0
37,16:56:37:887502,0.0,0.0
38,16:56:38:023147,0.0,0.0
39,16:56:38:164870,0.0,0.0
40,16:56:38:308826,0.0,0.0
41,16:56:38:441500,0.0,-0.0009237401211126262
42,16:56:38:583349,0.0,0.0
43,16:56:38:732934,0.0,0.0
44,16:56:38:877789,0.0,0.0
45,16:56:39:018927,0.0,0.0
46,16:56:39:157298,0.0,0.0
47,16:56:39:296090,0.0,0.0
48,16:56:39:440004,0.0,0.0
49,16:56:39:585801,0.0,0.0
50,16:56:39:734833,0.0,0.0
51,16:56:39:876855,0.0,0.0
52,16:56:40:028155,0.0,0.0
53,16:56:40:175426,0.0,0.0
54,16:56:40:323897,0.0,0.0
55,16:56:40:475309,0.0,0.0
56,16:56:40:618864,0.0,0.0
57,16:56:40:762573,0.0,0.0
58,16:56:40:905853,0.0,0.0
59,16:56:41:057925,0.0,0.0
60,16:56:41:202797,0.0,0.0
61,16:56:41:331920,0.0,0.0
62,16:56:41:489492,0.0,0.0
63,16:56:41:634120,0.0,0.0
64,16:56:41:777084,0.0,0.0
65,16:56:41:923200,0.0,0.0
66,16:56:42:059975,0.0,0.0
67,16:56:42:203348,0.0,0.0
68,16:56:42:343506,0.0,0.0
69,16:56:42:482370,0.0,0.0
