,time,VSZ,RSS
0,17:56:06:004997,,
1,17:56:06:167823,0.00024207436279288785,0.0020851377794885995
2,17:56:06:318013,0.0,0.0
3,17:56:06:478422,0.0,0.0
4,17:56:06:633381,0.0,-0.021128113195467035
5,17:56:06:726333,0.007487171632074796,0.008895284191248631
6,17:56:06:836314,0.0,0.0
7,17:56:06:983942,0.011673341056773312,-0.01760129659643439
8,17:56:07:122865,0.004183848900537468,0.016629821493384433
9,17:56:07:255930,-0.0005746782400478656,-0.006166628801402063
10,17:56:07:392266,0.003435077925656227,0.008588876914535692
11,17:56:07:535303,0.0,0.0
12,17:56:07:686138,0.0,0.0
13,17:56:07:834113,0.0,0.0
14,17:56:07:975640,0.0,0.0
15,17:56:08:076264,0.0,0.0
16,17:56:08:208010,0.0,0.0
17,17:56:08:344170,0.0,0.0
18,17:56:08:488963,0.0,0.0
19,17:56:08:632197,0.0,0.0
20,17:56:08:781024,0.0,0.0
21,17:56:08:924222,0.0,0.0
22,17:56:09:062434,-0.00773604333616873,-0.044262401243362226
23,17:56:09:214303,0.0,0.0
24,17:56:09:360285,0.0,0.0
25,17:56:09:499677,0.0,0.0
26,17:56:09:642038,0.0,0.0
27,17:56:09:780789,0.0,0.0
28,17:56:09:918272,0.0,0.0
29,17:56:10:066835,0.0,0.0
30,17:56:10:207918,0.0,0.0
31,17:56:10:351207,0.0,0.0
32,17:56:10:497463,0.0,0.0
33,17:56:10:631006,0.0005624686055289985,0.004607514313785366
34,17:56:10:781660,0.0,0.0
35,17:56:10:929035,0.0,0.0
36,17:56:11:068445,0.0,0.0
37,17:56:11:216042,0.0,0.0
38,17:56:11:365566,0.0,0.0
39,17:56:11:503566,0.0,0.0
40,17:56:11:640735,0.0,0.0
41,17:56:11:787328,0.0,0.0
42,17:56:11:925054,0.0,0.0
43,17:56:12:067741,0.0,0.0
44,17:56:12:214597,0.0,0.0
45,17:56:12:357794,-0.01092138884713667,-0.012781168853067126
46,17:56:12:507779,0.0,0.0
47,17:56:12:658939,0.0,0.0
48,17:56:12:802830,0.0,0.0
49,17:56:12:958352,0.0,0.0
50,17:56:13:112265,0.0,0.0
51,17:56:13:254960,0.0,0.0
52,17:56:13:402177,0.0,0.0
53,17:56:13:556275,0.0,0.0
54,17:56:13:706267,0.0,0.0
55,17:56:13:847245,0.0,0.0
56,17:56:13:989074,0.0,0.0
57,17:56:14:133617,0.0,0.0
58,17:56:14:290096,0.0,0.0
59,17:56:14:434920,0.0,0.0
60,17:56:14:586939,0.0,0.0
61,17:56:14:738563,0.0,0.0
62,17:56:14:875193,0.0,0.0
63,17:56:15:020850,0.0,-0.00010248001639678872
64,17:56:15:154616,0.0,0.0
65,17:56:15:302784,0.0,0.0
66,17:56:15:442488,0.0,0.0
67,17:56:15:590391,0.0,0.0
68,17:56:15:736810,0.0,0.0
