,time,VSZ,RSS
0,17:45:17:243071,,
1,17:45:17:390671,0.00018974841085706018,-0.019075040489472728
2,17:45:17:544423,0.0,0.0
3,17:45:17:676321,0.0,0.0
4,17:45:17:862413,0.015070639129622476,0.009967590044640096
5,17:45:18:028048,0.006736743142907287,0.02079801404698478
6,17:45:18:184134,0.0016595549579907498,0.007918384293721603
7,17:45:18:327140,-0.0017410497406677994,-0.0014711940210675456
8,17:45:18:464794,-0.00019972600967121945,-0.0012081565299386643
9,17:45:18:597436,-0.00016881626038223185,-0.00826080542852925
10,17:45:18:725460,0.0,0.0
11,17:45:18:868115,0.0,0.0
12,17:45:19:015712,0.00010130685847431486,-0.004045812881154243
13,17:45:19:161303,0.0,0.0
14,17:45:19:318002,0.0,0.0
15,17:45:19:474986,0.0,-0.00017921682248578374
16,17:45:19:620639,0.0,0.0
17,17:45:19:762738,0.0,0.0
18,17:45:19:905342,0.0,0.0
19,17:45:20:048458,0.0,0.0
20,17:45:20:199322,0.0,0.0
21,17:45:20:349706,0.0,0.0
22,17:45:20:493799,-6.753106428958322e-05,-0.0010754936814746374
23,17:45:20:637292,0.0,0.0
24,17:45:20:783364,0.0,0.0
25,17:45:20:928640,0.0,0.0
26,17:45:21:080528,-6.753562504224764e-05,-0.0005981397852677928
27,17:45:21:229422,0.0,0.0
28,17:45:21:372169,0.0,0.0
29,17:45:21:512472,-4.5026790940649875e-05,-0.0003890235508873241
30,17:45:21:657907,-2.8143011527426154e-05,-0.0005687941563884413
31,17:45:21:806053,0.0,0.0
32,17:45:21:952779,-4.5030085725983326e-05,-0.0003594428635614877
33,17:45:22:106629,0.0,0.0014382884367603044
34,17:45:22:257287,0.0,0.0
35,17:45:22:405808,0.0,0.0
36,17:45:22:558644,0.0,0.0
37,17:45:22:709311,0.0,0.0
38,17:45:22:867174,0.0,0.0
39,17:45:22:994387,-9.006422705193362e-05,-0.0002992130696268802
40,17:45:23:147900,0.0,0.0
41,17:45:23:289369,0.0,0.0
42,17:45:23:445410,-0.007785627832352815,-0.0007482565622100035
43,17:45:23:582285,0.0,0.0
44,17:45:23:729785,0.0,0.0
45,17:45:23:876605,0.0,0.0
46,17:45:24:022114,-0.001659555636248089,-0.00014976337386929384
47,17:45:24:177821,0.0,0.0
48,17:45:24:320044,0.0,0.0
49,17:45:24:465472,-0.00175324435452473,-0.00041940025763154143
50,17:45:24:610713,0.0,0.0
51,17:45:24:755223,0.0,0.0
52,17:45:24:899698,0.0,0.0
53,17:45:25:048387,-0.0017563236189944709,-0.0015284562591781903
54,17:45:25:198398,0.0,0.0
55,17:45:25:344879,0.0,0.0
56,17:45:25:491360,-0.0017651168427506025,-0.001440749189578594
57,17:45:25:646235,0.0,0.0
58,17:45:25:798840,0.0,0.0
59,17:45:25:951098,-0.0005456113989933398,-0.0014428279427678437
60,17:45:26:097307,0.0,0.0
61,17:45:26:243794,0.0,0.0
62,17:45:26:388506,0.0,0.0
63,17:45:26:543446,-0.00021722043586991369,-0.00012040939193258549
64,17:45:26:695692,0.0,0.0
65,17:45:26:846433,0.0,0.0
66,17:45:26:997898,-3.1446630779363716e-05,-0.00021074181117530788
