,time,VSZ,RSS
0,19:25:42:356022,,
1,19:25:42:529570,0.0002385173988384004,0.0
2,19:25:42:648254,0.0,0.0
3,19:25:42:831295,0.0,0.0
4,19:25:42:922318,-0.00012928582510218778,0.0013324450366423157
5,19:25:43:078081,0.013685955732556376,-0.02319171181446633
6,19:25:43:198375,0.005946981722527056,0.0021082676526871236
7,19:25:43:325715,-0.006038626923878909,-0.0032366649404453884
8,19:25:43:467847,-0.00013040803540298462,0.0015911157293155842
9,19:25:43:633158,0.000623771948975449,-0.0035337980223698606
10,19:25:43:797144,4.250339318745411e-05,-0.0008133784487246443
11,19:25:43:924570,0.0,0.0
12,19:25:44:047655,0.0,0.0
13,19:25:44:195252,0.0,0.0
14,19:25:44:333648,0.0,0.0
15,19:25:44:469201,0.0,0.0
16,19:25:44:631636,0.0,0.0
17,19:25:44:764382,0.0,0.0
18,19:25:44:919789,0.0,0.0
19,19:25:45:053154,0.0,0.0
20,19:25:45:207035,-0.001314715749388018,-0.010843020416137494
21,19:25:45:345622,0.0,0.0
22,19:25:45:503799,-0.0015434200372236306,-0.0060240963855421326
23,19:25:45:651215,0.0,0.0
24,19:25:45:808583,0.0,0.0
25,19:25:45:953438,0.0,0.0
26,19:25:46:092342,0.0,0.0
27,19:25:46:246292,0.0,0.0
28,19:25:46:386601,0.0,0.0
29,19:25:46:527613,0.0,0.0
30,19:25:46:666245,-0.0005626278699704113,-0.012054975989402195
31,19:25:46:804056,0.0,0.0
32,19:25:46:950495,0.0,0.0
33,19:25:47:093572,0.0,0.0
34,19:25:47:236913,0.0,0.0
35,19:25:47:371329,0.0,0.0
36,19:25:47:518345,0.0,0.0
37,19:25:47:662207,0.0,0.0
38,19:25:47:798404,0.0,0.0
39,19:25:47:936883,0.0,0.0
40,19:25:48:076532,0.0,0.0
41,19:25:48:217374,-0.0003752963988604696,0.0
42,19:25:48:359783,0.0,0.0
43,19:25:48:505051,0.0,0.0
44,19:25:48:641495,-0.00664410250575953,-0.0068720458583353405
45,19:25:48:785766,0.0,0.0
46,19:25:48:937489,0.0,0.0
47,19:25:49:077960,0.0,0.0
48,19:25:49:230369,0.0,0.0
49,19:25:49:393409,0.0,0.0
50,19:25:49:541185,0.0,0.0
51,19:25:49:658710,0.0015576056394486226,0.0
52,19:25:49:798895,0.007558648134065926,0.009889961520286317
53,19:25:49:932905,-1.9861424007339146e-05,0.00013369430796483783
54,19:25:50:062199,-7.09350660405006e-05,6.683821809305712e-05
55,19:25:50:187418,-5.107687069039191e-05,0.0
56,19:25:50:322544,-1.1350995482328763e-05,0.0
57,19:25:50:452864,0.00043701828666131703,-0.0002005012531328676
58,19:25:50:585817,0.0,0.0
59,19:25:50:733114,0.0,0.0
60,19:25:50:892981,0.0,0.0
61,19:25:51:034410,0.0,0.0
62,19:25:51:187862,0.0,0.0
63,19:25:51:331728,0.0,0.0
64,19:25:51:477198,0.0,0.0
65,19:25:51:621268,0.0,0.0
66,19:25:51:761219,-0.0015430785551792114,-0.006851833283197939
67,19:25:51:880210,0.0,0.0
68,19:25:52:011690,0.0,0.0
69,19:25:52:162472,0.0,-0.00037019586726794174
