,time,VSZ,RSS
0,17:26:04:515972,,
1,17:26:04:611126,0.0002585679264488494,0.0
2,17:26:04:764743,0.0,0.0
3,17:26:04:857285,0.0,0.0
4,17:26:04:945252,0.0,0.0
5,17:26:05:039096,0.0,0.0
6,17:26:05:165039,0.0,0.0
7,17:26:05:313932,0.0,0.0
8,17:26:05:439574,0.0,0.0
9,17:26:05:539969,0.0,-7.185972980738864e-05
10,17:26:05:629049,0.009328944268474748,-0.024002874595760004
11,17:26:05:775578,0.011165179164815964,0.09535380310728225
12,17:26:05:857299,0.0,0.0
13,17:26:06:024807,0.017842085520177742,0.012570583490185472
14,17:26:06:192209,0.002677435206068113,-0.0020912168890658833
15,17:26:06:337119,0.003138371062899381,0.0020290722815421436
16,17:26:06:472087,0.0,0.0
17,17:26:06:615204,0.0,0.0
18,17:26:06:752180,0.0,0.0
19,17:26:06:886055,0.0,0.0
20,17:26:07:031480,0.0,0.0
21,17:26:07:159482,0.0,0.0
22,17:26:07:300485,0.0,0.0
23,17:26:07:459532,-0.00021608620900237518,-0.0008630991900145935
24,17:26:07:605714,0.0,0.0
25,17:26:07:747750,0.0,0.0
26,17:26:07:884723,0.0,0.0
27,17:26:08:028260,-0.008119079837618393,-0.08409196624360427
28,17:26:08:177648,0.0,0.0
29,17:26:08:322692,0.0,0.0
30,17:26:08:468720,0.0,0.0
31,17:26:08:624280,0.0,0.0
32,17:26:08:770317,0.0,0.0
33,17:26:08:914704,0.0,0.0
34,17:26:09:056806,0.0,0.0
35,17:26:09:194334,0.0,0.0
36,17:26:09:326797,-0.00022421807892480938,3.6275256647400056e-05
37,17:26:09:468306,0.0,-3.627394080096824e-05
38,17:26:09:603695,0.0,0.0
39,17:26:09:762524,0.0,0.0
40,17:26:09:903922,0.0,0.0
41,17:26:10:050313,0.0,0.0
42,17:26:10:190337,0.0,0.0
43,17:26:10:342949,0.0,0.0
44,17:26:10:486690,0.0,0.0
45,17:26:10:627278,0.0,0.0
46,17:26:10:773425,0.0,0.0
47,17:26:10:920813,0.0,0.0
48,17:26:11:071337,0.0,0.0
49,17:26:11:210129,-0.006990223794557493,-0.0005078535930641559
50,17:26:11:353911,0.0,0.0
51,17:26:11:488458,0.0,0.0
52,17:26:11:625940,0.0,0.0
53,17:26:11:771925,0.0,0.0
54,17:26:11:915386,0.0,0.0
55,17:26:12:064222,0.0,0.0
56,17:26:12:207983,0.0,0.0
57,17:26:12:351454,0.0,0.0
58,17:26:12:496280,0.0,0.0
59,17:26:12:643129,0.0,0.0
60,17:26:12:791661,0.0,0.0
61,17:26:12:940419,0.0,0.0
62,17:26:13:078548,0.0,0.0
63,17:26:13:228061,0.0,0.0
64,17:26:13:371025,0.0,0.0
65,17:26:13:513358,0.0,0.0
66,17:26:13:663898,0.0,0.0
67,17:26:13:810189,0.0,0.0
68,17:26:13:941881,0.0,0.0
69,17:26:14:078527,0.0,0.0
70,17:26:14:226809,0.0,0.0
