,time,VSZ,RSS
0,18:49:54:670675,,
1,18:49:54:827814,0.0002603311163866806,0.0
2,18:49:54:925139,0.0,0.0
3,18:49:55:020741,0.0,0.0
4,18:49:55:123519,0.0,0.0
5,18:49:55:244250,0.0,0.0
6,18:49:55:384880,0.0,0.0
7,18:49:55:503537,0.0,0.0
8,18:49:55:614624,0.0,0.0
9,18:49:55:745707,-9.91479473276824e-05,0.0006935270805812355
10,18:49:55:831596,0.0,0.0
11,18:49:55:982773,0.00010225645919970106,-0.00019801326688884124
12,18:49:56:135004,0.02732446994742066,0.010892886614952912
13,18:49:56:233441,0.0,0.0
14,18:49:56:372275,-0.006810025032421563,-0.0081959183673469
15,18:49:56:505847,-0.00019434457292777374,-0.0020082965694343535
16,18:49:56:652288,-2.7335017980356646e-05,6.597829314158865e-05
17,18:49:56:782654,0.0,0.0
18,18:49:56:921985,0.0,0.0
19,18:49:57:080012,0.0,0.0
20,18:49:57:230146,0.0,0.0
21,18:49:57:385722,0.0,0.0
22,18:49:57:528091,0.0,0.0
23,18:49:57:665205,0.0,0.0
24,18:49:57:819276,0.0,0.0
25,18:49:57:976183,0.0,0.0
26,18:49:58:114651,-0.0016522951412195619,-0.015338941118258287
27,18:49:58:264321,0.0,0.0
28,18:49:58:414252,0.0,0.0
29,18:49:58:569232,0.0,0.0
30,18:49:58:722244,0.0,0.0
31,18:49:58:867984,0.0,0.0
32,18:49:59:011310,0.0,0.0
33,18:49:59:149977,0.0,0.0
34,18:49:59:291658,0.0,0.0
35,18:49:59:438166,0.0,0.0
36,18:49:59:584075,0.0,0.0
37,18:49:59:739658,0.0,0.0
38,18:49:59:884228,-0.003167069775932063,-0.0010720268006699785
39,18:50:00:003591,0.0,0.0
40,18:50:00:155085,0.0,0.0
41,18:50:00:308478,0.0,0.0
42,18:50:00:450737,0.0,0.0
43,18:50:00:594862,0.0,0.0
44,18:50:00:747446,0.0,0.0
45,18:50:00:896351,0.0,0.0
46,18:50:01:049537,0.0,0.0
47,18:50:01:190111,0.0,0.0
48,18:50:01:333390,-0.0017091199863270568,0.0
49,18:50:01:476550,0.0,0.0
50,18:50:01:624781,0.0,0.0
51,18:50:01:768520,0.0,0.0
52,18:50:01:907022,0.0,0.0
53,18:50:02:051274,0.0,0.0
54,18:50:02:202978,0.0,0.0
55,18:50:02:350675,0.0,0.0
56,18:50:02:495501,0.0,0.0
57,18:50:02:638765,0.0,0.0
58,18:50:02:789048,0.0,0.0
59,18:50:02:907730,0.0,0.0
60,18:50:03:056978,0.0,0.0
61,18:50:03:199153,0.0,0.0
62,18:50:03:349075,0.0,0.0
63,18:50:03:500632,0.0,0.0
64,18:50:03:648572,0.0,0.0
65,18:50:03:800874,0.0,0.0
66,18:50:03:949798,0.0,0.0
67,18:50:04:099150,0.0,0.0
68,18:50:04:237703,0.0,0.0
69,18:50:04:381433,0.0,0.0
