,time,VSZ,RSS
0,19:42:32:470249,,
1,19:42:32:646367,0.00018400546440466847,0.0013771575468233266
2,19:42:32:811804,0.0,0.0
3,19:42:32:935447,0.0,0.0
4,19:42:33:099334,0.023542791518351258,-0.0007640353289936064
5,19:42:33:267421,0.0002968433837966522,0.008166136530462387
6,19:42:33:367720,0.0,0.0
7,19:42:33:504229,-8.167576897699647e-06,-0.00045505566847681145
8,19:42:33:641128,-8.167643607559505e-06,0.0
9,19:42:33:780530,0.0,0.0
10,19:42:33:930442,0.0,0.0
11,19:42:34:094470,0.0,0.0
12,19:42:34:256104,0.0,0.0
13,19:42:34:417456,0.0,0.0
14,19:42:34:567673,-0.002134494963245248,-0.02088138885516566
15,19:42:34:712006,0.0,0.0
16,19:42:34:869780,0.0,0.0
17,19:42:35:025921,0.0,0.0
18,19:42:35:182780,0.0,0.0
19,19:42:35:332641,0.0,0.0
20,19:42:35:495140,0.0,0.0
21,19:42:35:643834,0.0,0.0
22,19:42:35:794305,0.0,0.0
23,19:42:35:949078,0.0,0.0
24,19:42:36:097044,0.0,0.0
25,19:42:36:251053,0.0,0.0
26,19:42:36:395168,0.0,0.0
27,19:42:36:550478,0.0,-0.0002479851208927464
28,19:42:36:711835,-0.00074212312695765,0.0020773905494233524
29,19:42:36:860324,0.0,0.0
30,19:42:37:006313,0.0,0.0
31,19:42:37:157184,0.0,0.0
32,19:42:37:294242,0.0,0.0
33,19:42:37:447206,0.0,0.0
34,19:42:37:593818,0.0,0.0
35,19:42:37:749411,0.0,0.0
36,19:42:37:902313,0.0,0.0
37,19:42:38:040652,0.0,0.0
38,19:42:38:187490,0.0,0.0
39,19:42:38:339732,-0.007459507869070903,-0.0019493177387914784
40,19:42:38:472031,0.0,0.0
41,19:42:38:643796,0.0,0.0
42,19:42:38:800902,0.0,0.0
43,19:42:38:937024,0.0,0.0
44,19:42:39:091902,0.0,0.0
45,19:42:39:240019,0.0,0.0
46,19:42:39:380469,0.0,0.0
47,19:42:39:529749,0.0,0.0
48,19:42:39:683719,0.0,0.0
49,19:42:39:832748,0.0,0.0
50,19:42:39:978117,0.0,0.0
51,19:42:40:117277,0.0,0.0
52,19:42:40:274122,0.0,0.0
53,19:42:40:435369,0.0,0.0
54,19:42:40:575488,0.0,0.0
55,19:42:40:738540,0.0,-0.005704365079365115
56,19:42:40:894950,0.0,0.0
57,19:42:41:042010,0.0,0.0
58,19:42:41:161876,0.0,0.0
59,19:42:41:317653,0.0,0.0
60,19:42:41:466893,0.0,0.0
61,19:42:41:615737,0.0,0.0
62,19:42:41:778022,0.0,0.0
63,19:42:41:939089,0.0,0.0
64,19:42:42:088941,0.0,0.0
65,19:42:42:243219,0.0,0.0
