,time,VSZ,RSS
0,20:49:16:902633,,
1,20:49:17:005707,0.00018766047102780625,0.0
2,20:49:17:113883,0.0,0.0
3,20:49:17:278548,0.0,0.0
4,20:49:17:424116,0.0,0.0
5,20:49:17:576028,0.0,0.0
6,20:49:17:728916,0.0,0.0
7,20:49:17:858932,0.0,0.0
8,20:49:17:974268,1.1371227950585094e-05,0.001900745448605523
9,20:49:18:065838,0.012178446651069263,-0.017904253742404008
10,20:49:18:223285,0.0012863253504393768,0.0035314358153994974
11,20:49:18:383584,0.0019213993397118045,-0.013023339749759333
12,20:49:18:499797,0.0,-0.0011580070089898253
13,20:49:18:657168,-0.00013158042083338817,-0.0009762943527473755
14,20:49:18:817526,0.00015679730308648665,-0.0208581462818751
15,20:49:18:972249,-4.7591719040895875e-05,0.0005614122637389585
16,20:49:19:125122,0.0,0.0
17,20:49:19:261294,0.0,0.0
18,20:49:19:414938,-8.398938374232223e-06,-9.351620947628536e-05
19,20:49:19:566341,0.0,0.0
20,20:49:19:705011,0.0,0.0
21,20:49:19:851638,0.0,0.0
22,20:49:20:015457,-0.0015230202836065132,-0.01041244505408856
23,20:49:20:162577,0.0,0.0
24,20:49:20:311965,0.0,0.0
25,20:49:20:452203,0.0,0.0
26,20:49:20:587771,0.0,0.0
27,20:49:20:729955,0.0,0.0
28,20:49:20:871444,0.0,0.0
29,20:49:21:025383,0.0,0.0
30,20:49:21:176044,0.0,0.0
31,20:49:21:330713,0.0,0.0
32,20:49:21:482205,0.0,0.0
33,20:49:21:632694,0.0,0.0
34,20:49:21:753636,0.0,0.0
35,20:49:21:930708,0.0,-0.00012601203414930318
36,20:49:22:083511,0.0,0.0
37,20:49:22:231189,0.0,0.0
38,20:49:22:384748,0.0,0.0
39,20:49:22:522973,0.0,0.0
40,20:49:22:664136,0.0,0.0
41,20:49:22:812123,0.0,0.0
42,20:49:22:953120,0.0,0.0
43,20:49:23:048296,0.0,0.0
44,20:49:23:208858,0.0,0.0
45,20:49:23:360140,-0.005832195400977458,-0.0016383628973817288
46,20:49:23:509346,0.0,0.0
47,20:49:23:645093,0.0,0.0
48,20:49:23:806273,0.0,0.0
49,20:49:23:974498,0.0,0.0
50,20:49:24:122684,0.0,0.0
51,20:49:24:276610,0.0,0.0
52,20:49:24:424818,0.0,0.0
53,20:49:24:577458,0.0,0.0
54,20:49:24:725607,0.0,0.0
55,20:49:24:876216,0.0,0.0
56,20:49:25:035666,0.0,0.0
57,20:49:25:189949,0.0,0.0
58,20:49:25:339290,0.0,0.0
59,20:49:25:490087,0.0,0.0
60,20:49:25:645213,0.0,0.0
61,20:49:25:797251,0.0,0.0
62,20:49:25:950772,0.0,0.0
63,20:49:26:093318,0.0,0.0
64,20:49:26:233076,0.0,0.0
65,20:49:26:382540,0.0,0.0
66,20:49:26:528579,0.0,0.0
67,20:49:26:679775,0.0,0.0
