,time,VSZ,RSS
0,16:32:34:634364,,
1,16:32:34:792708,-0.0035006884687321937,-0.05104647514901628
2,16:32:34:879351,0.0,0.0
3,16:32:35:042163,0.0,0.0
4,16:32:35:146612,0.0,0.0
5,16:32:35:248762,0.00827391925484533,-0.0041088126948144454
6,16:32:35:360073,-0.00021236776788202683,-0.002371129131692462
7,16:32:35:499891,0.011686027215400019,0.013404953177734491
8,16:32:35:632640,-0.008660820612753084,4.69065153150261e-05
9,16:32:35:771800,-0.00017870084485793747,-0.019699812382739212
10,16:32:35:909787,0.0,0.0
11,16:32:36:066010,0.0,0.0
12,16:32:36:228636,0.0,0.0
13,16:32:36:375887,-1.323946552278521e-05,-0.000526315789473708
14,16:32:36:524808,0.0,0.0
15,16:32:36:678180,0.0,0.0
16,16:32:36:825148,-1.3239640808571096e-05,-0.0028244530614198737
17,16:32:36:975703,0.0,0.0
18,16:32:37:123502,0.0,0.0
19,16:32:37:272599,0.0,0.0
20,16:32:37:417554,0.0,0.0
21,16:32:37:561885,0.0,0.0
22,16:32:37:709294,0.0,0.0
23,16:32:37:853442,-6.619908049509959e-06,4.8007681229034205e-05
24,16:32:37:992769,0.0,0.0
25,16:32:38:141484,0.0,0.0
26,16:32:38:298865,-6.619951872899321e-06,-0.0003840430128174699
27,16:32:38:439963,0.0,0.0
28,16:32:38:585477,0.0,0.0
29,16:32:38:738060,0.0,0.0
30,16:32:38:881255,0.0,-0.0009124525764779845
31,16:32:39:027982,0.0,0.0
32,16:32:39:181389,0.0,0.0
33,16:32:39:335178,0.0,-4.80676792924406e-05
34,16:32:39:484401,0.0,0.0
35,16:32:39:655466,0.0,0.0
36,16:32:39:803657,0.0,-0.00028841993943184985
37,16:32:39:962603,0.0,0.0
38,16:32:40:108736,0.0,0.0
39,16:32:40:251476,0.0,-0.0004808385824878192
40,16:32:40:385682,0.0,0.0
41,16:32:40:534528,0.0,0.0
42,16:32:40:688352,0.0,0.0
43,16:32:40:838835,-0.001923108749979363,-0.0005291768894020166
44,16:32:40:984894,0.0,0.0
45,16:32:41:130038,0.0,0.0
46,16:32:41:274031,-0.0019135487208739033,-0.0006738544474393926
47,16:32:41:412872,0.0,0.0
48,16:32:41:555641,0.0,0.0
49,16:32:41:701960,0.0,0.0
50,16:32:41:841284,-3.3227338124275363e-06,4.816491667458678e-05
51,16:32:41:991964,0.0,0.0
52,16:32:42:125389,0.0,0.0
53,16:32:42:265813,-3.3227448530404047e-06,0.0
54,16:32:42:415091,0.0,0.0
55,16:32:42:565510,0.0,0.0
56,16:32:42:718915,0.0,0.0
57,16:32:42:867822,-3.3227558937642954e-06,0.0
58,16:32:43:037475,0.0,0.0
59,16:32:43:184657,0.0,0.0
60,16:32:43:336624,-3.322766934488186e-06,-4.81625969271926e-05
61,16:32:43:481674,0.0,0.0
62,16:32:43:632994,0.0,0.0
63,16:32:43:776001,-3.322777975323099e-06,4.816491667458678e-05
64,16:32:43:920681,0.0,0.0
65,16:32:44:066706,0.0,0.0
66,16:32:44:217078,0.0,0.0
67,16:32:44:358064,-3.322789016158012e-06,0.0
