time[ms],cpu_load,cpu_scaling_freq
0,,1996.0
100,0.967741935483871,1996.0
200,0.8888888888888888,1996.0
300,0.8888888888888888,1996.0
400,0.8888888888888888,1996.0
500,1.0,1996.0
600,0.9230769230769231,1996.0
700,,
800,,1996.0
900,0.65,1996.0
1000,0.7,1996.0
1100,,
1200,,1132.0
1300,0.3333333333333333,1996.0
1400,0.2,1843.0
1500,0.08333333333333333,825.0
1600,0.1,1747.0
1700,0.3,1747.0
1800,,
1900,,1363.0
2000,,
2100,,825.0
2200,0.25,1536.0
2300,0.18181818181818182,1747.0
2400,0.0,1536.0
2500,,
2600,,1996.0
2700,0.21428571428571427,1996.0
2800,0.1,825.0
2900,0.25,1996.0
3000,0.2,1996.0
3100,0.0,1747.0
3200,,
3300,,1132.0
3400,0.09090909090909091,1363.0
3500,0.1,1747.0
3600,0.0,1747.0
3700,0.16666666666666666,1747.0
3800,0.16666666666666666,1843.0
3900,,
4000,,1363.0
4100,,
4200,,1996.0
4300,0.1111111111111111,1747.0
4400,0.2222222222222222,825.0
4500,0.18181818181818182,1363.0
4600,0.4,1132.0
4700,0.25,1996.0
4800,0.14285714285714285,1996.0
4900,0.21428571428571427,1747.0
5000,,
5100,,1747.0
5200,0.18181818181818182,1132.0
5300,0.2,1747.0
5400,0.15384615384615385,1843.0
5500,0.16666666666666666,1536.0
5600,0.16666666666666666,1536.0
5700,0.0,1132.0
5800,,
5900,,1536.0
6000,0.1,1996.0
6100,,
6200,,825.0
6300,0.15789473684210525,1363.0
6400,0.08333333333333333,1363.0
6500,,
6600,,979.0
6700,0.08333333333333333,1996.0
6800,0.09090909090909091,1747.0
6900,,
7000,,1363.0
7100,0.0,1363.0
7200,0.18181818181818182,1536.0
7300,0.2857142857142857,825.0
7400,0.2222222222222222,1747.0
7500,0.16666666666666666,1747.0
7600,,
7700,,1871.5
7800,,
7900,,1919.5
