time[ms],cpu_load,cpu_scaling_freq
0,,1996.0
100,0.9285714285714286,1996.0
200,,
300,,1996.0
400,0.9230769230769231,1996.0
500,0.75,1996.0
600,0.9,1996.0
700,,
800,,1747.0
900,,
1000,,1747.0
1100,0.6428571428571429,1996.0
1200,0.35714285714285715,1996.0
1300,0.5,1996.0
1400,,
1500,,1996.0
1600,0.2,1536.0
1700,0.18181818181818182,1996.0
1800,,
1900,,1363.0
2000,0.0,1996.0
2100,0.2,1996.0
2200,0.16666666666666666,1536.0
2300,0.16666666666666666,825.0
2400,,
2500,,1536.0
2600,0.25,1132.0
2700,0.125,1132.0
2800,0.23076923076923078,825.0
2900,0.0,1747.0
3000,,
3100,,1363.0
3200,0.23076923076923078,1996.0
3300,0.1,1747.0
3400,0.08333333333333333,825.0
3500,,
3600,,1996.0
3700,0.19047619047619047,1996.0
3800,0.0,1363.0
3900,0.0,1996.0
4000,0.16666666666666666,1363.0
4100,,
4200,,1996.0
4300,0.0,1996.0
4400,0.2727272727272727,1996.0
4500,0.25,1363.0
4600,0.3333333333333333,1536.0
4700,0.0,825.0
4800,0.2222222222222222,1747.0
4900,0.1,1536.0
5000,0.1111111111111111,1747.0
5100,0.16666666666666666,979.0
5200,0.2222222222222222,1536.0
5300,0.2727272727272727,1747.0
5400,0.1,1996.0
5500,0.2222222222222222,1132.0
5600,0.3333333333333333,1536.0
5700,0.09090909090909091,1996.0
5800,0.09090909090909091,1747.0
5900,0.1111111111111111,1132.0
6000,,
6100,,1747.0
6200,0.08333333333333333,1996.0
6300,0.2727272727272727,1747.0
6400,0.0,1536.0
6500,0.3,1996.0
6600,0.0,1747.0
6700,0.0,1996.0
6800,0.0625,1747.0
6900,0.1111111111111111,1536.0
7000,,
7100,,1536.0
7200,0.16666666666666666,1996.0
7300,0.08333333333333333,1996.0
7400,0.2,1363.0
7500,0.0,1747.0
7600,0.25,1996.0
7700,,
7800,,825.0
7900,0.058823529411764705,1996.0
8000,0.09090909090909091,1363.0
