time[ms],cpu_load,cpu_scaling_freq
0,,1996.0
100,1.0,1996.0
200,0.9090909090909091,1996.0
300,0.9166666666666666,1996.0
400,1.0,1996.0
500,0.45454545454545453,1363.0
600,0.18181818181818182,1996.0
700,,
800,,1996.0
900,0.375,979.0
1000,,
1100,,1363.0
1200,0.18181818181818182,979.0
1300,0.09090909090909091,1536.0
1400,0.0,1996.0
1500,0.0,1996.0
1600,0.0,825.0
1700,,
1800,,1996.0
1900,0.23076923076923078,1996.0
2000,,
2100,,1996.0
2200,0.42105263157894735,1132.0
2300,0.3333333333333333,1996.0
2400,0.1,1536.0
2500,0.0,1996.0
2600,,
2700,,1996.0
2800,0.0,1536.0
2900,0.0,825.0
3000,,
3100,,825.0
3200,0.047619047619047616,1536.0
3300,0.15384615384615385,1747.0
3400,,
3500,,1747.0
3600,0.16666666666666666,825.0
3700,0.0,825.0
3800,0.08333333333333333,1996.0
3900,,
4000,,1363.0
4100,0.07692307692307693,1996.0
4200,,
4300,,1536.0
4400,0.09090909090909091,1996.0
4500,0.3,1363.0
4600,0.1111111111111111,1363.0
4700,0.15384615384615385,825.0
4800,0.1,1843.0
4900,,
5000,,1747.0
5100,0.0,1996.0
5200,0.25,1996.0
5300,0.4444444444444444,1747.0
5400,0.07692307692307693,1363.0
5500,,
5600,,825.0
5700,0.2857142857142857,1536.0
5800,0.0,1536.0
5900,0.4,1996.0
6000,0.09090909090909091,1996.0
6100,0.1,1536.0
6200,,
6300,,1996.0
6400,0.2,1996.0
6500,0.1,1363.0
6600,,
6700,,1843.0
6800,0.08333333333333333,825.0
6900,0.1111111111111111,1363.0
7000,0.18181818181818182,1536.0
7100,0.1111111111111111,1363.0
7200,0.3333333333333333,1536.0
7300,,
7400,,1996.0
7500,0.22727272727272727,1747.0
7600,,
7700,,1996.0
7800,0.3333333333333333,1536.0
7900,0.07142857142857142,1363.0
