time[ms],cpu_load,cpu_scaling_freq
0,,1996.0
100,0.9411764705882353,1996.0
200,,
300,,1996.0
400,0.8571428571428571,1996.0
500,0.9090909090909091,1996.0
600,1.0,1996.0
700,,
800,,1996.0
900,0.95,1996.0
1000,,
1100,,1996.0
1200,0.95,1996.0
1300,,
1400,,1996.0
1500,0.25,1747.0
1600,0.25,825.0
1700,,
1800,,1132.0
1900,0.20833333333333334,1363.0
2000,,
2100,,1536.0
2200,0.2,1996.0
2300,0.16666666666666666,825.0
2400,0.15384615384615385,1996.0
2500,,
2600,,1363.0
2700,0.16666666666666666,1747.0
2800,0.16666666666666666,1843.0
2900,,
3000,,1996.0
3100,0.15,1363.0
3200,0.21428571428571427,1996.0
3300,,
3400,,1536.0
3500,0.0,825.0
3600,0.1,1996.0
3700,0.125,1363.0
3800,0.09090909090909091,1363.0
3900,0.15384615384615385,1747.0
4000,0.13333333333333333,979.0
4100,,
4200,,1132.0
4300,0.15384615384615385,1747.0
4400,0.2,1843.0
4500,0.25,1996.0
4600,0.2222222222222222,1996.0
4700,,
4800,,1679.5
4900,,
5000,,1996.0
5100,0.18181818181818182,1996.0
5200,0.25,1996.0
5300,0.18181818181818182,1996.0
5400,0.0,1996.0
5500,0.1,1843.0
5600,0.25,1132.0
5700,0.1,1996.0
5800,0.25,1996.0
5900,0.1,1747.0
6000,0.1111111111111111,979.0
6100,0.16666666666666666,1536.0
6200,0.0,1747.0
6300,,
6400,,1996.0
6500,0.09090909090909091,1996.0
6600,0.14285714285714285,1996.0
6700,0.2,979.0
6800,0.5,1996.0
6900,0.5714285714285714,1996.0
7000,,
7100,,1996.0
7200,0.16666666666666666,825.0
7300,0.15384615384615385,1363.0
7400,,
7500,,1747.0
7600,0.2727272727272727,1996.0
7700,0.07692307692307693,979.0
7800,0.0,1747.0
7900,,
8000,,1996.0
