user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
126516,8251,263111,7772372,99763,24955,7996,0,1708,15:29:25:915018
126524,8251,263113,7772373,99763,24955,7996,0,1708,15:29:26:016775
126529,8251,263118,7772376,99763,24956,7996,0,1708,15:29:26:116790
126532,8251,263121,7772378,99763,24956,7996,0,1708,15:29:26:239774
126537,8251,263125,7772379,99763,24956,7996,0,1708,15:29:26:361988
126542,8251,263132,7772382,99763,24956,7996,0,1708,15:29:26:489170
126548,8251,263137,7772383,99763,24957,7996,0,1708,15:29:26:656574
126555,8252,263145,7772385,99763,24957,7996,0,1708,15:29:26:802231
126559,8252,263150,7772388,99763,24957,7996,0,1708,15:29:26:924461
126563,8252,263155,7772390,99764,24958,7996,0,1708,15:29:27:039056
126568,8252,263160,7772392,99764,24958,7996,0,1708,15:29:27:177325
126575,8252,263164,7772394,99764,24958,7996,0,748,15:29:27:294142
126579,8252,263167,7772398,99764,24958,7996,0,1708,15:29:27:433595
126585,8252,263172,7772399,99764,24958,7996,0,1708,15:29:27:564275
126593,8252,263177,7772402,99764,24959,7997,0,1708,15:29:27:769001
126597,8252,263182,7772409,99764,24959,7997,0,1708,15:29:27:886936
126602,8252,263187,7772411,99764,24960,7997,0,1708,15:29:27:999809
126608,8252,263191,7772412,99764,24960,7997,0,1708,15:29:28:103925
126611,8252,263196,7772413,99764,24960,7997,0,1708,15:29:28:216919
126614,8252,263202,7772416,99764,24960,7997,0,1708,15:29:28:333348
126618,8252,263206,7772417,99764,24960,7997,0,1708,15:29:28:438811
126623,8252,263211,7772418,99764,24961,7997,0,1708,15:29:28:537212
126626,8252,263215,7772420,99764,24961,7997,0,1708,15:29:28:652559
126629,8253,263221,7772421,99764,24961,7997,0,1708,15:29:28:790023
126632,8253,263225,7772430,99764,24961,7997,0,1708,15:29:28:931305
126636,8253,263230,7772432,99764,24961,7997,0,1708,15:29:29:059388
126641,8253,263236,7772433,99764,24962,7997,0,1708,15:29:29:176660
126644,8253,263241,7772438,99764,24962,7997,0,1708,15:29:29:293914
126649,8253,263245,7772441,99764,24962,7997,0,1708,15:29:29:407217
126653,8253,263250,7772442,99764,24962,7997,0,1708,15:29:29:545789
126658,8253,263256,7772444,99764,24962,7998,0,1708,15:29:29:669963
126664,8254,263259,7772447,99764,24962,7998,0,1708,15:29:29:773490
126668,8254,263262,7772448,99764,24963,7998,0,1708,15:29:29:935260
126672,8254,263268,7772455,99764,24963,7998,0,1708,15:29:30:038152
126677,8254,263271,7772458,99764,24963,7998,0,1708,15:29:30:147896
126681,8254,263276,7772460,99764,24963,7998,0,1708,15:29:30:262092
126686,8254,263280,7772462,99764,24963,7998,0,1708,15:29:30:374633
126690,8254,263283,7772465,99764,24963,7998,0,1708,15:29:30:489740
126694,8254,263286,7772469,99764,24963,7998,0,1708,15:29:30:599936
126699,8254,263291,7772471,99764,24964,7998,0,1708,15:29:30:730100
126704,8254,263296,7772472,99764,24964,7998,0,1708,15:29:30:851244
126709,8254,263303,7772474,99764,24964,7998,0,1708,15:29:30:959603
126712,8254,263306,7772475,99764,24964,7998,0,1708,15:29:31:047700
126717,8254,263310,7772477,99764,24964,7998,0,1708,15:29:31:135342
126719,8254,263314,7772479,99764,24964,7998,0,1708,15:29:31:247710
126724,8254,263317,7772481,99764,24964,7998,0,1708,15:29:31:339655
126728,8254,263322,7772482,99764,24965,7998,0,1708,15:29:31:440489
126732,8254,263326,7772484,99764,24965,7999,0,1708,15:29:31:572856
126738,8254,263331,7772486,99764,24965,7999,0,1708,15:29:31:720754
126743,8254,263337,7772489,99764,24965,7999,0,1708,15:29:31:834039
126747,8254,263341,7772492,99764,24965,7999,0,1708,15:29:31:974957
126751,8254,263348,7772496,99764,24966,7999,0,1708,15:29:32:114468
126757,8254,263350,7772499,99764,24966,7999,0,1708,15:29:32:237195
126763,8254,263355,7772501,99764,24966,7999,0,1708,15:29:32:360546
126767,8254,263359,7772504,99764,24966,7999,0,1708,15:29:32:481167
126773,8254,263365,7772505,99764,24966,7999,0,1708,15:29:32:583582
126777,8254,263370,7772506,99764,24966,7999,0,1708,15:29:32:689239
126780,8254,263375,7772508,99764,24967,7999,0,1708,15:29:32:801893
126785,8254,263378,7772510,99764,24967,7999,0,1708,15:29:32:957696
126793,8254,263383,7772516,99764,24967,7999,0,1708,15:29:33:100857
126797,8254,263388,7772517,99764,24967,7999,0,1708,15:29:33:206254
126801,8254,263392,7772518,99764,24967,7999,0,1708,15:29:33:326412
126806,8254,263397,7772521,99764,24967,7999,0,1708,15:29:33:446730
126811,8254,263401,7772522,99764,24968,7999,0,1708,15:29:33:542667
126815,8254,263404,7772524,99764,24968,8000,0,1708,15:29:33:643309
126821,8254,263408,7772527,99764,24968,8000,0,1708,15:29:33:744270
126824,8254,263411,7772529,99764,24968,8000,0,1708,15:29:33:850358
126828,8254,263414,7772531,99764,24968,8000,0,1708,15:29:33:925269
