user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
553481,50227,694319,12696280,37547,136015,54893,0,1708,16:24:35:364034
553490,50228,694324,12696280,37547,136015,54893,0,1708,16:24:35:569950
553506,50228,694326,12696280,37547,136016,54893,0,1708,16:24:35:732036
553511,50228,694334,12696281,37547,136016,54893,0,1708,16:24:35:826285
553516,50228,694338,12696284,37547,136017,54893,0,1708,16:24:36:020293
553525,50228,694344,12696286,37547,136017,54893,0,1708,16:24:36:141085
553530,50228,694348,12696288,37547,136018,54894,0,1708,16:24:36:297120
553536,50228,694354,12696291,37547,136018,54894,0,1708,16:24:36:468418
553542,50228,694363,12696293,37547,136018,54894,0,1708,16:24:36:582756
553547,50228,694366,12696296,37547,136019,54894,0,1708,16:24:36:702977
553551,50228,694371,12696297,37547,136019,54894,0,1708,16:24:36:813096
553555,50228,694374,12696299,37547,136020,54894,0,1708,16:24:36:940947
553561,50228,694380,12696301,37547,136020,54894,0,1708,16:24:37:075227
553564,50228,694385,12696305,37547,136020,54894,0,1708,16:24:37:200054
553567,50228,694388,12696311,37547,136020,54894,0,1708,16:24:37:338927
553570,50228,694394,12696314,37547,136021,54894,0,1708,16:24:37:463942
553575,50228,694398,12696317,37547,136021,54894,0,1708,16:24:37:586730
553577,50228,694402,12696320,37547,136021,54894,0,1708,16:24:37:688356
553580,50228,694406,12696324,37547,136021,54894,0,1708,16:24:37:798314
553583,50228,694407,12696331,37547,136022,54895,0,1708,16:24:37:903451
553586,50228,694411,12696332,37547,136022,54895,0,1708,16:24:38:003527
553589,50228,694417,12696335,37547,136022,54895,0,1708,16:24:38:097738
553593,50228,694420,12696336,37547,136022,54895,0,1708,16:24:38:221870
553596,50228,694423,12696342,37547,136022,54895,0,1708,16:24:38:336738
553599,50228,694427,12696347,37547,136022,54895,0,1708,16:24:38:457962
553603,50228,694431,12696351,37547,136023,54895,0,1708,16:24:38:547608
553604,50228,694433,12696356,37547,136023,54895,0,1708,16:24:38:687182
553607,50228,694438,12696359,37547,136023,54895,0,1708,16:24:38:821827
553610,50228,694443,12696365,37547,136023,54895,0,1708,16:24:38:970643
553614,50228,694448,12696371,37547,136023,54895,0,1708,16:24:39:072148
553617,50228,694452,12696373,37547,136023,54895,0,1708,16:24:39:186534
553621,50228,694457,12696376,37547,136024,54895,0,1708,16:24:39:304788
553624,50228,694462,12696379,37547,136024,54896,0,1708,16:24:39:404487
553627,50228,694465,12696382,37547,136024,54896,0,1708,16:24:39:513810
553632,50228,694469,12696384,37547,136024,54896,0,1708,16:24:39:641296
553636,50228,694470,12696391,37547,136024,54896,0,1708,16:24:39:787805
553640,50228,694477,12696394,37547,136025,54896,0,1708,16:24:39:908115
553645,50228,694480,12696398,37547,136025,54896,0,1708,16:24:40:018404
553647,50228,694483,12696402,37547,136025,54896,0,1708,16:24:40:111341
553649,50228,694487,12696405,37547,136025,54896,0,1708,16:24:40:754098
553654,50228,694493,12696459,37547,136026,54896,0,1708,16:24:40:895976
553659,50228,694498,12696461,37547,136026,54896,0,1708,16:24:41:013541
553661,50228,694503,12696464,37547,136026,54896,0,1708,16:24:41:129289
553665,50228,694507,12696468,37547,136026,54896,0,1708,16:24:41:220551
553668,50228,694511,12696471,37547,136026,54897,0,1708,16:24:41:351866
553670,50228,694515,12696476,37547,136026,54897,0,1708,16:24:41:471367
553673,50228,694522,12696479,37547,136027,54897,0,1708,16:24:41:576017
553676,50228,694523,12696483,37547,136027,54897,0,1708,16:24:41:725505
553679,50228,694529,12696493,37547,136027,54897,0,1708,16:24:41:915757
553683,50228,694533,12696499,37547,136027,54897,0,1708,16:24:42:018212
553687,50228,694538,12696501,37547,136027,54897,0,1708,16:24:42:144951
553691,50228,694542,12696504,37547,136028,54897,0,1708,16:24:42:282364
553695,50228,694546,12696510,37547,136028,54897,0,1708,16:24:42:406025
553698,50228,694551,12696513,37547,136028,54897,0,1708,16:24:42:514729
553701,50228,694556,12696516,37547,136028,54897,0,1708,16:24:42:641535
553704,50228,694560,12696519,37547,136028,54897,0,1708,16:24:42:785650
553709,50228,694564,12696529,37547,136029,54898,0,1708,16:24:42:952599
553710,50228,694570,12696534,37547,136029,54898,0,1708,16:24:43:055267
553714,50228,694572,12696538,37547,136029,54898,0,1708,16:24:43:138447
553717,50228,694576,12696540,37547,136029,54898,0,1708,16:24:43:263544
553722,50228,694580,12696544,37547,136029,54898,0,1708,16:24:43:379859
