user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
169895,14816,117283,8854840,6107,14073,3854,0,1996,17:54:42:503315
169905,14820,117286,8854840,6107,14074,3854,0,1996,17:54:42:632972
169911,14820,117291,8854842,6107,14074,3854,0,1996,17:54:42:759755
169919,14820,117296,8854842,6107,14074,3854,0,1996,17:54:42:884039
169929,14820,117299,8854842,6107,14075,3854,0,1996,17:54:43:008389
169935,14821,117302,8854844,6107,14075,3854,0,1996,17:54:43:132015
169937,14821,117304,8854850,6107,14075,3855,0,979,17:54:43:285753
169939,14821,117306,8854859,6107,14075,3855,0,1996,17:54:43:407783
169940,14821,117310,8854866,6107,14076,3855,0,1996,17:54:43:509012
169941,14821,117311,8854874,6107,14076,3855,0,1996,17:54:43:635768
169942,14821,117312,8854883,6107,14076,3855,0,1747,17:54:43:724066
169944,14821,117312,8854891,6107,14076,3855,0,1747,17:54:43:838514
169945,14821,117313,8854899,6107,14076,3855,0,1363,17:54:43:937244
169945,14821,117314,8854909,6107,14076,3855,0,979,17:54:44:038875
169945,14821,117314,8854917,6107,14076,3855,0,1996,17:54:44:170722
169946,14821,117315,8854929,6107,14076,3855,0,1996,17:54:44:382348
169946,14821,117316,8854947,6107,14076,3855,0,1996,17:54:44:491069
169947,14821,117316,8854958,6107,14076,3855,0,979,17:54:44:620002
169948,14822,117317,8854966,6107,14076,3855,0,1996,17:54:44:721588
169948,14822,117317,8854976,6107,14076,3855,0,1536,17:54:44:829546
169949,14822,117317,8854985,6107,14076,3855,0,1536,17:54:44:928977
169949,14822,117319,8854993,6107,14076,3855,0,1747,17:54:45:021542
169950,14822,117320,8855001,6107,14077,3855,0,1363,17:54:45:122174
169951,14822,117321,8855009,6107,14077,3855,0,1536,17:54:45:229925
169951,14822,117321,8855017,6107,14077,3855,0,1996,17:54:45:430841
169952,14822,117322,8855036,6107,14077,3855,0,1996,17:54:45:564686
169953,14822,117322,8855047,6107,14077,3855,0,1996,17:54:45:697334
169954,14822,117323,8855059,6107,14077,3855,0,1996,17:54:45:808741
169954,14822,117323,8855068,6107,14077,3855,0,1996,17:54:45:908302
169955,14822,117324,8855077,6107,14077,3855,0,1996,17:54:46:035271
169956,14822,117324,8855088,6107,14077,3855,0,1996,17:54:46:133242
169956,14822,117325,8855096,6107,14077,3855,0,1843,17:54:46:245105
169957,14822,117325,8855107,6107,14077,3855,0,1536,17:54:46:342431
169957,14822,117325,8855115,6107,14077,3855,0,1996,17:54:46:517018
169957,14822,117326,8855130,6107,14077,3855,0,825,17:54:46:635451
169958,14822,117326,8855141,6107,14077,3855,0,979,17:54:46:734206
169962,14822,117327,8855146,6107,14077,3855,0,1132,17:54:46:852950
169965,14822,117327,8855153,6107,14077,3855,0,1747,17:54:46:942433
169966,14822,117328,8855162,6107,14077,3855,0,1996,17:54:47:067346
169966,14822,117328,8855172,6107,14078,3855,0,1747,17:54:47:182807
169966,14822,117329,8855182,6107,14078,3855,0,1996,17:54:47:272337
169967,14822,117331,8855189,6107,14078,3855,0,1363,17:54:47:377535
169968,14822,117333,8855196,6107,14078,3855,0,1536,17:54:47:488867
169968,14822,117333,8855207,6107,14078,3855,0,1132,17:54:47:614006
169968,14822,117333,8855218,6107,14078,3855,0,1996,17:54:47:734379
169968,14822,117334,8855228,6107,14078,3855,0,1363,17:54:47:829546
169968,14822,117335,8855236,6107,14078,3855,0,825,17:54:47:979067
169969,14822,117335,8855249,6107,14078,3855,0,1363,17:54:48:074245
169969,14822,117336,8855259,6107,14078,3855,0,1747,17:54:48:188532
169970,14822,117336,8855268,6107,14078,3855,0,1996,17:54:48:284052
169970,14822,117337,8855276,6107,14078,3855,0,979,17:54:48:397279
169970,14822,117338,8855286,6107,14078,3855,0,825,17:54:48:553666
169971,14822,117339,8855298,6107,14078,3855,0,1843,17:54:48:657845
169972,14822,117339,8855307,6107,14078,3855,0,1996,17:54:48:759979
169973,14822,117341,8855314,6107,14078,3855,0,825,17:54:48:862252
169975,14822,117342,8855323,6107,14078,3855,0,1536,17:54:48:992503
169976,14822,117344,8855333,6107,14078,3855,0,1363,17:54:49:133152
169976,14822,117345,8855345,6107,14079,3855,0,1996,17:54:49:264185
169977,14822,117346,8855355,6107,14079,3855,0,1996,17:54:49:359619
169978,14822,117347,8855363,6107,14079,3855,0,1747,17:54:49:460227
169978,14822,117347,8855373,6107,14079,3855,0,1996,17:54:49:594091
169979,14822,117349,8855382,6107,14079,3855,0,1843,17:54:49:721567
169980,14822,117349,8855392,6107,14079,3855,0,1843,17:54:49:856938
169980,14822,117350,8855404,6107,14079,3855,0,1996,17:54:49:974890
169980,14822,117350,8855415,6107,14079,3855,0,1363,17:54:50:102558
169982,14822,117352,8855424,6107,14079,3855,0,1843,17:54:50:232775
169983,14822,117353,8855435,6107,14079,3855,0,1747,17:54:50:372696
169984,14822,117354,8855447,6107,14079,3855,0,1843,17:54:50:462976
