user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
582151,27641,709753,12931825,34032,92780,51623,0,1708,16:58:48:241240
582158,27641,709758,12931826,34032,92780,51624,0,1708,16:58:48:367725
582165,27641,709761,12931827,34032,92780,51624,0,1708,16:58:48:521760
582176,27641,709768,12931827,34032,92781,51624,0,1708,16:58:48:727804
582181,27643,709775,12931831,34032,92781,51624,0,1708,16:58:48:844405
582185,27643,709781,12931831,34032,92781,51625,0,1708,16:58:48:986464
582191,27643,709784,12931834,34032,92782,51625,0,1708,16:58:49:106511
582197,27643,709789,12931836,34032,92782,51625,0,1708,16:58:49:208037
582200,27643,709794,12931838,34032,92782,51625,0,1708,16:58:49:326154
582205,27643,709797,12931841,34032,92782,51626,0,1708,16:58:49:442050
582211,27643,709802,12931842,34032,92783,51626,0,1708,16:58:49:575778
582217,27643,709805,12931844,34032,92783,51626,0,1708,16:58:49:666047
582220,27643,709810,12931856,34032,92783,51626,0,1708,16:58:49:901641
582225,27643,709814,12931858,34032,92783,51627,0,1708,16:58:50:032106
582230,27643,709818,12931861,34033,92783,51627,0,1708,16:58:50:106037
582233,27643,709822,12931863,34033,92783,51627,0,1708,16:58:50:232351
582237,27643,709826,12931868,34033,92784,51627,0,1708,16:58:50:337205
582240,27643,709831,12931870,34033,92784,51627,0,1708,16:58:50:435356
582244,27643,709835,12931872,34033,92784,51627,0,1708,16:58:50:535023
582247,27643,709840,12931874,34033,92784,51627,0,1708,16:58:50:653553
582251,27643,709845,12931877,34033,92784,51627,0,1708,16:58:50:819037
582255,27643,709847,12931890,34033,92785,51627,0,1708,16:58:50:966581
582257,27643,709852,12931894,34033,92785,51627,0,1708,16:58:51:075645
582261,27643,709855,12931898,34033,92785,51628,0,1708,16:58:51:177201
582263,27643,709859,12931900,34033,92785,51628,0,1708,16:58:51:278104
582267,27643,709862,12931903,34033,92785,51628,0,1708,16:58:51:380414
582270,27643,709865,12931907,34033,92785,51628,0,1708,16:58:51:482852
582274,27643,709867,12931910,34033,92785,51628,0,1708,16:58:51:600123
582279,27643,709870,12931911,34033,92786,51628,0,1708,16:58:51:680489
582283,27643,709872,12931915,34033,92786,51628,0,1708,16:58:51:801169
582287,27643,709876,12931917,34033,92786,51628,0,1708,16:58:51:959397
582290,27643,709878,12931928,34033,92786,51628,0,1708,16:58:52:049602
582292,27643,709880,12931933,34033,92786,51628,0,1708,16:58:52:204470
582296,27643,709885,12931938,34033,92786,51628,0,1708,16:58:52:298387
582299,27643,709889,12931941,34033,92786,51628,0,1708,16:58:52:409013
582302,27643,709894,12931943,34033,92786,51628,0,1708,16:58:52:538168
582307,27643,709898,12931947,34033,92787,51628,0,1708,16:58:52:637169
582310,27643,709903,12931950,34033,92787,51628,0,1708,16:58:52:752525
582315,27643,709906,12931954,34033,92787,51628,0,1708,16:58:52:882468
582321,27643,709910,12931961,34033,92787,51629,0,1708,16:58:53:039649
582322,27643,709914,12931967,34033,92787,51629,0,1708,16:58:53:147721
582325,27643,709916,12931972,34033,92787,51629,0,1708,16:58:53:273436
582329,27643,709922,12931977,34033,92788,51629,0,1708,16:58:53:385270
582335,27643,709925,12931979,34033,92788,51629,0,1708,16:58:53:492316
582337,27643,709928,12931982,34033,92788,51629,0,1708,16:58:53:590149
582340,27643,709932,12931985,34033,92788,51629,0,1708,16:58:53:683160
582342,27643,709935,12931987,34033,92788,51629,0,1708,16:58:53:796429
582346,27643,709939,12931990,34033,92788,51629,0,1708,16:58:53:937035
582351,27643,709944,12931993,34033,92788,51629,0,1708,16:58:54:054477
582356,27643,709950,12931996,34033,92789,51629,0,1708,16:58:54:166910
582359,27643,709954,12931999,34033,92789,51629,0,1708,16:58:54:301119
582362,27643,709958,12932005,34033,92789,51629,0,1708,16:58:54:423427
582365,27643,709963,12932010,34033,92789,51629,0,1708,16:58:54:539104
582369,27643,709966,12932011,34033,92789,51629,0,1708,16:58:54:638274
582374,27643,709970,12932013,34033,92789,51629,0,1708,16:58:54:742719
582376,27643,709973,12932016,34033,92789,51629,0,1708,16:58:54:878908
582381,27643,709979,12932020,34033,92790,51629,0,1708,16:58:55:050520
582384,27643,709984,12932028,34033,92790,51629,0,1708,16:58:55:149598
582388,27643,709986,12932032,34033,92790,51630,0,1708,16:58:55:314366
582391,27643,709990,12932038,34033,92790,51630,0,1708,16:58:55:414866
582396,27643,709993,12932042,34033,92790,51630,0,1708,16:58:55:534740
582400,27643,709997,12932045,34033,92790,51630,0,1708,16:58:55:644135
582404,27643,710000,12932048,34033,92790,51630,0,1708,16:58:55:778052
582410,27643,710004,12932051,34033,92791,51630,0,1708,16:58:55:882753
582413,27643,710007,12932053,34033,92791,51630,0,1708,16:58:56:068544
582417,27643,710013,12932065,34033,92791,51630,0,1708,16:58:56:220040
582420,27643,710017,12932068,34033,92791,51630,0,1708,16:58:56:322786
