user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
744631,22387,887744,12470978,164486,82800,20227,0,1708,16:45:53:745256
744642,22387,887746,12470979,164486,82800,20227,0,1708,16:45:53:854894
744649,22387,887751,12470980,164486,82800,20227,0,1708,16:45:53:960188
744652,22387,887756,12470981,164486,82800,20227,0,1708,16:45:54:072073
744658,22387,887760,12470983,164486,82801,20227,0,1708,16:45:54:210481
744666,22387,887764,12470984,164486,82801,20227,0,1708,16:45:54:328532
744668,22387,887768,12470986,164486,82801,20227,0,1708,16:45:54:442031
744673,22387,887773,12470988,164486,82801,20227,0,1708,16:45:54:624421
744680,22387,887778,12470994,164486,82802,20227,0,1708,16:45:54:736539
744685,22387,887781,12470994,164486,82802,20228,0,1708,16:45:54:861801
744690,22387,887787,12470997,164486,82802,20228,0,1708,16:45:54:991041
744695,22387,887792,12470998,164486,82802,20228,0,1708,16:45:55:085079
744698,22387,887794,12471001,164486,82803,20228,0,1708,16:45:55:187360
744702,22387,887798,12471004,164486,82803,20228,0,1708,16:45:55:321330
744705,22387,887806,12471007,164486,82803,20228,0,1708,16:45:55:424062
744710,22387,887809,12471008,164486,82803,20228,0,1708,16:45:55:526392
744714,22387,887812,12471011,164486,82803,20228,0,1708,16:45:55:685590
744718,22387,887819,12471017,164486,82804,20228,0,1708,16:45:55:796273
744721,22387,887824,12471019,164486,82804,20228,0,1708,16:45:55:903392
744726,22387,887829,12471020,164486,82804,20228,0,1708,16:45:56:003355
744731,22387,887832,12471021,164486,82804,20228,0,1708,16:45:56:120432
744735,22387,887836,12471024,164486,82804,20228,0,1708,16:45:56:249910
744739,22387,887841,12471028,164486,82804,20228,0,1708,16:45:56:384617
744744,22387,887848,12471029,164486,82805,20228,0,1708,16:45:56:490513
744749,22387,887853,12471030,164486,82805,20228,0,1708,16:45:56:616238
744755,22387,887858,12471036,164486,82805,20228,0,1708,16:45:56:762949
744760,22387,887861,12471038,164486,82805,20228,0,1708,16:45:56:872963
744763,22387,887866,12471042,164486,82805,20228,0,1708,16:45:57:026947
744768,22387,887873,12471043,164486,82806,20228,0,1708,16:45:57:129042
744771,22387,887875,12471045,164486,82806,20229,0,1708,16:45:57:211170
744775,22387,887880,12471046,164486,82806,20229,0,1708,16:45:57:323089
744780,22387,887885,12471048,164486,82806,20229,0,1708,16:45:57:456864
744785,22387,887891,12471049,164486,82806,20229,0,1708,16:45:57:564688
744788,22387,887897,12471051,164486,82806,20229,0,1708,16:45:57:746583
744794,22387,887903,12471058,164486,82807,20229,0,1708,16:45:57:890629
744798,22387,887908,12471060,164486,82807,20229,0,1708,16:45:57:997742
744803,22387,887914,12471062,164486,82807,20229,0,1708,16:45:58:129512
744809,22387,887920,12471064,164486,82807,20229,0,1708,16:45:58:270458
744814,22387,887926,12471065,164486,82807,20229,0,1708,16:45:58:365896
744818,22387,887931,12471067,164486,82808,20229,0,1708,16:45:58:495167
744823,22387,887937,12471068,164486,82808,20229,0,1708,16:45:58:620780
744829,22387,887941,12471071,164486,82808,20229,0,1708,16:45:58:730428
744832,22387,887945,12471074,164486,82808,20229,0,1708,16:45:58:824325
744836,22387,887949,12471076,164486,82808,20229,0,1708,16:45:58:939775
744840,22387,887953,12471078,164486,82808,20229,0,1708,16:45:59:087959
744848,22387,887956,12471083,164486,82809,20229,0,1708,16:45:59:226123
744851,22387,887963,12471085,164486,82809,20229,0,1708,16:45:59:327092
744855,22387,887967,12471087,164486,82809,20230,0,1708,16:45:59:443016
744860,22387,887971,12471089,164486,82809,20230,0,1708,16:45:59:561940
744864,22387,887976,12471091,164486,82809,20230,0,1708,16:45:59:667663
744869,22387,887981,12471092,164486,82809,20230,0,1708,16:45:59:806969
744874,22387,887986,12471098,164486,82810,20230,0,1708,16:45:59:942079
744878,22387,887991,12471101,164486,82810,20230,0,1708,16:46:00:072385
744882,22387,887997,12471103,164486,82810,20230,0,1708,16:46:00:175824
744886,22387,888002,12471104,164486,82810,20230,0,1708,16:46:00:278346
744890,22387,888005,12471106,164486,82810,20230,0,1708,16:46:00:377604
744897,22387,888008,12471109,164486,82810,20230,0,1708,16:46:00:495099
744903,22387,888009,12471110,164486,82811,20230,0,1708,16:46:00:610013
744908,22387,888014,12471112,164486,82811,20230,0,1708,16:46:00:712503
744910,22387,888019,12471115,164486,82811,20230,0,1708,16:46:00:854464
744916,22387,888023,12471118,164486,82811,20230,0,1708,16:46:00:956682
744920,22387,888028,12471120,164486,82811,20230,0,1708,16:46:01:056625
744923,22387,888032,12471123,164486,82811,20230,0,1708,16:46:01:186470
744929,22387,888037,12471125,164486,82811,20230,0,1708,16:46:01:312171
744933,22387,888042,12471128,164486,82812,20230,0,1708,16:46:01:432935
744940,22387,888045,12471129,164486,82812,20230,0,1708,16:46:01:518007
744945,22387,888048,12471131,164486,82812,20230,0,1708,16:46:01:615237
744950,22387,888052,12471131,164486,82812,20230,0,1708,16:46:01:744198
