user,nice,system,idle,iowait,irq,softirq,steal,time
176068,3398,140161,69827589,1220,0,1265,0,17:31:46:181328
176068,3398,140161,69827590,1220,0,1265,0,17:31:46:198733
176069,3398,140162,69827591,1220,0,1265,0,17:31:46:215344
176069,3398,140162,69827591,1220,0,1265,0,17:31:46:233669
176070,3398,140164,69827592,1220,0,1265,0,17:31:46:253330
176070,3398,140166,69827593,1220,0,1265,0,17:31:46:275054
176070,3398,140166,69827593,1220,0,1265,0,17:31:46:295154
176070,3398,140168,69827594,1220,0,1265,0,17:31:46:310534
176070,3398,140168,69827595,1220,0,1265,0,17:31:46:331337
176070,3398,140168,69827595,1220,0,1265,0,17:31:46:352970
176070,3398,140169,69827596,1220,0,1265,0,17:31:46:369770
176070,3398,140170,69827597,1220,0,1265,0,17:31:46:394148
176070,3398,140170,69827598,1220,0,1265,0,17:31:46:405490
176070,3398,140172,69827598,1220,0,1265,0,17:31:46:420837
176071,3398,140172,69827599,1220,0,1265,0,17:31:46:440262
176071,3398,140172,69827600,1220,0,1265,0,17:31:46:464389
176071,3398,140172,69827601,1220,0,1265,0,17:31:46:476767
176072,3398,140172,69827601,1220,0,1265,0,17:31:46:494136
176072,3398,140174,69827602,1220,0,1265,0,17:31:46:512589
176072,3398,140174,69827603,1220,0,1265,0,17:31:46:537893
176072,3398,140175,69827604,1220,0,1265,0,17:31:46:552622
176072,3398,140175,69827604,1220,0,1265,0,17:31:46:574392
176072,3398,140175,69827605,1220,0,1265,0,17:31:46:590018
176072,3398,140175,69827606,1220,0,1265,0,17:31:46:610167
176072,3398,140176,69827607,1220,0,1265,0,17:31:46:629897
176072,3398,140176,69827608,1220,0,1265,0,17:31:46:646633
176072,3398,140177,69827609,1220,0,1265,0,17:31:46:662196
176072,3398,140178,69827609,1220,0,1265,0,17:31:46:675399
176072,3398,140178,69827610,1220,0,1265,0,17:31:46:693222
176072,3398,140178,69827610,1220,0,1265,0,17:31:46:706597
176072,3398,140179,69827611,1220,0,1265,0,17:31:46:724614
