user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
58717,57948,169315,28130720,23582,43853,24737,0,1708800,23:07:47:998277
58719,57948,169318,28130722,23582,43854,24737,0,1516800,23:07:48:088564
58721,57948,169322,28130724,23582,43854,24737,0,1708800,23:07:48:187796
58723,57948,169325,28130727,23582,43855,24737,0,1708800,23:07:48:274839
58726,57948,169328,28130727,23582,43856,24737,0,1708800,23:07:48:352759
58730,57948,169332,28130728,23582,43857,24737,0,1708800,23:07:48:439096
58733,57948,169334,28130729,23582,43857,24737,0,1708800,23:07:48:519871
58735,57948,169338,28130731,23582,43858,24737,0,1708800,23:07:48:589857
58738,57948,169341,28130732,23582,43859,24737,0,1708800,23:07:48:675825
58742,57948,169345,28130732,23582,43859,24737,0,1708800,23:07:48:744586
58745,57948,169348,28130733,23582,43860,24737,0,1708800,23:07:48:832268
58747,57948,169351,28130736,23582,43861,24737,0,1708800,23:07:48:906960
58748,57948,169354,28130737,23582,43861,24738,0,1708800,23:07:48:999894
58751,57948,169357,28130739,23582,43862,24738,0,1708800,23:07:49:087912
58754,57948,169360,28130741,23582,43863,24738,0,1708800,23:07:49:172370
58756,57948,169364,28130743,23582,43863,24738,0,1708800,23:07:49:253351
58760,57948,169367,28130744,23582,43864,24738,0,1708800,23:07:49:333205
58763,57948,169370,28130745,23582,43865,24738,0,1708800,23:07:49:417192
58767,57948,169372,28130747,23582,43865,24738,0,1708800,23:07:49:495847
58769,57948,169375,28130748,23582,43866,24738,0,1708800,23:07:49:573517
58770,57948,169378,28130750,23582,43867,24738,0,1708800,23:07:49:643475
58772,57948,169382,28130751,23582,43867,24738,0,1612800,23:07:49:725989
58774,57948,169386,28130752,23582,43868,24738,0,1708800,23:07:49:793784
58777,57948,169388,28130753,23582,43868,24738,0,1708800,23:07:49:879582
58780,57948,169392,28130754,23582,43869,24738,0,1708800,23:07:49:963880
58783,57948,169395,28130755,23582,43870,24738,0,1708800,23:07:50:035677
58786,57948,169398,28130757,23582,43870,24738,0,1612800,23:07:50:107657
58788,57948,169401,28130758,23582,43871,24738,0,1708800,23:07:50:189455
58791,57948,169404,28130759,23582,43872,24738,0,1708800,23:07:50:277172
58795,57948,169407,28130760,23582,43872,24738,0,1708800,23:07:50:342863
58797,57948,169411,28130761,23582,43873,24738,0,1708800,23:07:50:436960
58800,57948,169415,28130762,23582,43874,24738,0,1708800,23:07:50:501744
58802,57948,169418,28130763,23582,43874,24738,0,1708800,23:07:50:584044
58805,57948,169421,28130764,23582,43875,24738,0,1708800,23:07:50:649689
58810,57948,169423,28130764,23582,43876,24738,0,1708800,23:07:50:736707
58810,57948,169427,28130766,23582,43876,24738,0,1708800,23:07:50:805132
58812,57948,169430,28130767,23582,43877,24738,0,1708800,23:07:50:877273
58815,57948,169433,28130768,23582,43878,24738,0,1708800,23:07:50:946696
58817,57948,169436,28130770,23582,43879,24738,0,1708800,23:07:51:039190
58821,57948,169438,28130771,23582,43879,24738,0,1708800,23:07:51:113098
58824,57948,169441,28130771,23582,43880,24738,0,1708800,23:07:51:192779
58827,57948,169445,28130772,23582,43881,24739,0,1708800,23:07:51:282134
58829,57948,169448,28130774,23582,43882,24739,0,1708800,23:07:51:378118
58832,57948,169453,28130776,23582,43882,24739,0,1708800,23:07:51:463029
58834,57948,169455,28130778,23582,43883,24739,0,1708800,23:07:51:529631
58836,57948,169458,28130779,23582,43884,24739,0,1708800,23:07:51:609012
58839,57948,169460,28130781,23582,43884,24739,0,1708800,23:07:51:692578
58843,57948,169464,28130781,23582,43885,24739,0,1708800,23:07:51:778815
58847,57948,169467,28130783,23582,43886,24739,0,1708800,23:07:51:854607
58850,57948,169470,28130783,23582,43886,24739,0,1708800,23:07:51:937420
58853,57948,169474,28130785,23583,43887,24739,0,1708800,23:07:52:020080
58856,57948,169478,28130785,23583,43888,24739,0,1708800,23:07:52:110238
58860,57948,169481,28130786,23583,43889,24739,0,1708800,23:07:52:197048
58865,57948,169483,28130787,23583,43890,24739,0,1708800,23:07:52:274270
58868,57948,169485,28130787,23583,43890,24739,0,1708800,23:07:52:347141
58870,57948,169489,28130788,23583,43891,24739,0,1612800,23:07:52:419777
