user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
2773001,46407,610294,64576144,6497,177348,27811,0,1996800,13:25:16:842123
2773007,46407,610299,64576145,6497,177349,27811,0,1996800,13:25:16:941295
2773011,46407,610303,64576145,6497,177349,27811,0,1996800,13:25:17:043795
2773017,46407,610307,64576146,6497,177349,27811,0,1996800,13:25:17:151142
2773025,46407,610311,64576146,6497,177349,27811,0,1996800,13:25:17:275366
2773037,46407,610312,64576146,6497,177349,27811,0,1996800,13:25:17:406938
2773043,46407,610317,64576146,6497,177350,27811,0,1996800,13:25:17:501080
2773047,46407,610324,64576147,6498,177350,27811,0,825600,13:25:17:750367
2773053,46407,610325,64576161,6498,177350,27811,0,1996800,13:25:17:823472
2773055,46407,610327,64576164,6498,177350,27811,0,1996800,13:25:17:907048
2773057,46407,610328,64576168,6498,177351,27811,0,1996800,13:25:17:995995
2773058,46407,610331,64576171,6498,177351,27811,0,1843200,13:25:18:085858
2773061,46407,610334,64576174,6498,177351,27811,0,1536000,13:25:18:176566
2773062,46407,610338,64576179,6498,177351,27811,0,1996800,13:25:18:276855
2773063,46407,610340,64576185,6498,177351,27811,0,1996800,13:25:18:372505
2773065,46407,610342,64576190,6498,177351,27811,0,825600,13:25:18:467540
2773067,46407,610344,64576196,6498,177351,27811,0,825600,13:25:18:567550
2773068,46407,610347,64576203,6498,177351,27811,0,1996800,13:25:18:678104
2773070,46407,610349,64576221,6498,177351,27811,0,1996800,13:25:18:902833
2773072,46407,610350,64576227,6498,177352,27811,0,1996800,13:25:19:002077
2773073,46407,610351,64576234,6498,177352,27811,0,1363200,13:25:19:085470
2773074,46407,610352,64576239,6498,177352,27811,0,1363200,13:25:19:188332
2773075,46407,610355,64576244,6498,177352,27811,0,1996800,13:25:19:266132
2773077,46407,610356,64576249,6498,177352,27811,0,1996800,13:25:19:351218
2773077,46407,610358,64576253,6498,177352,27811,0,1363200,13:25:19:444173
2773079,46407,610360,64576257,6498,177352,27811,0,1996800,13:25:19:516255
2773080,46407,610364,64576261,6498,177352,27811,0,1996800,13:25:19:604215
2773081,46407,610366,64576268,6498,177352,27811,0,1996800,13:25:19:700129
2773083,46407,610368,64576271,6498,177353,27811,0,1363200,13:25:19:909459
2773084,46407,610369,64576293,6498,177353,27811,0,1747200,13:25:20:056806
2773085,46407,610370,64576302,6498,177353,27811,0,1996800,13:25:20:163495
2773086,46407,610372,64576309,6498,177353,27811,0,1996800,13:25:20:274878
2773088,46407,610375,64576315,6498,177353,27811,0,1996800,13:25:20:359217
2773089,46407,610379,64576318,6498,177353,27811,0,1996800,13:25:20:456532
2773091,46407,610382,64576322,6498,177353,27811,0,1996800,13:25:20:541027
2773093,46407,610385,64576325,6498,177354,27811,0,1996800,13:25:20:642611
2773096,46407,610387,64576330,6498,177354,27811,0,1132800,13:25:20:749087
2773098,46407,610390,64576336,6498,177354,27811,0,1996800,13:25:20:831747
2773099,46407,610392,64576339,6498,177354,27811,0,1996800,13:25:20:905088
2773100,46407,610398,64576353,6498,177354,27811,0,1996800,13:25:21:111934
2773105,46407,610400,64576356,6498,177354,27811,0,1996800,13:25:21:212515
2773107,46407,610401,64576361,6498,177354,27812,0,1996800,13:25:21:301482
2773109,46407,610404,64576365,6498,177355,27812,0,1996800,13:25:21:399228
2773112,46407,610406,64576369,6498,177355,27812,0,1996800,13:25:21:495104
2773113,46407,610409,64576372,6498,177355,27812,0,1996800,13:25:21:574831
2773115,46407,610412,64576376,6498,177355,27812,0,1996800,13:25:21:661662
2773115,46407,610415,64576380,6498,177355,27812,0,1996800,13:25:21:759577
2773116,46407,610417,64576389,6498,177355,27812,0,1996800,13:25:21:857138
2773118,46407,610419,64576393,6498,177355,27812,0,1747200,13:25:21:944372
2773120,46407,610421,64576397,6498,177355,27812,0,1996800,13:25:22:146018
2773120,46407,610424,64576418,6498,177355,27812,0,1996800,13:25:22:296884
2773121,46407,610425,64576428,6498,177356,27812,0,1996800,13:25:22:383239
2773123,46407,610426,64576432,6498,177356,27812,0,1996800,13:25:22:478453
2773125,46407,610428,64576436,6498,177356,27812,0,1996800,13:25:22:558416
2773127,46407,610431,64576439,6498,177356,27812,0,1996800,13:25:22:641332
2773129,46407,610433,64576442,6498,177356,27812,0,1747200,13:25:22:737728
2773130,46407,610435,64576450,6498,177356,27812,0,1747200,13:25:22:823470
2773132,46407,610437,64576454,6498,177356,27812,0,1996800,13:25:22:907324
2773133,46407,610439,64576457,6498,177356,27812,0,1747200,13:25:22:989155
2773135,46407,610444,64576460,6498,177357,27812,0,1996800,13:25:23:080141
2773137,46407,610447,64576463,6498,177357,27812,0,1996800,13:25:23:171797
2773139,46407,610450,64576467,6498,177357,27812,0,1996800,13:25:23:261801
2773141,46407,610452,64576470,6498,177357,27812,0,1996800,13:25:23:340926
2773143,46407,610454,64576476,6498,177357,27812,0,1747200,13:25:23:417995
2773143,46407,610456,64576480,6498,177357,27812,0,825600,13:25:23:519447
