user,nice,system,idle,iowait,irq,softirq,steal,time
696517,14029,614117,277743390,8858,43,20809,0,16:41:25:138456
696518,14029,614122,277743393,8858,43,20809,0,16:41:25:156853
696519,14029,614125,277743396,8858,43,20809,0,16:41:25:179026
696519,14029,614130,277743400,8858,43,20809,0,16:41:25:195482
696519,14029,614131,277743402,8858,43,20809,0,16:41:25:212624
696521,14029,614133,277743404,8858,43,20810,0,16:41:25:231182
696521,14029,614135,277743408,8858,43,20810,0,16:41:25:246327
696522,14029,614137,277743410,8858,43,20810,0,16:41:25:263748
696523,14029,614140,277743412,8858,43,20810,0,16:41:25:278451
696523,14029,614144,277743416,8858,43,20810,0,16:41:25:294981
696523,14029,614147,277743418,8858,43,20810,0,16:41:25:310702
696524,14029,614149,277743420,8858,43,20810,0,16:41:25:327129
696524,14029,614153,277743423,8858,43,20810,0,16:41:25:342689
696524,14029,614154,277743426,8858,43,20810,0,16:41:25:364610
696525,14029,614162,277743431,8858,43,20810,0,16:41:25:389003
696526,14029,614164,277743435,8858,43,20810,0,16:41:25:408923
696527,14029,614167,277743437,8858,43,20810,0,16:41:25:428714
696528,14029,614169,277743440,8858,43,20810,0,16:41:25:445703
696530,14029,614170,277743442,8858,43,20810,0,16:41:25:463401
696531,14029,614171,277743445,8858,43,20810,0,16:41:25:477447
696532,14029,614174,277743449,8858,43,20810,0,16:41:25:498941
696533,14029,614175,277743451,8858,43,20810,0,16:41:25:521834
696535,14029,614180,277743455,8858,43,20810,0,16:41:25:543293
696536,14029,614181,277743459,8858,43,20810,0,16:41:25:565433
696538,14029,614184,277743462,8858,43,20810,0,16:41:25:581623
696538,14029,614186,277743464,8858,43,20810,0,16:41:25:600157
696538,14029,614187,277743468,8858,43,20810,0,16:41:25:618589
696538,14029,614191,277743470,8858,43,20810,0,16:41:25:631674
696538,14029,614193,277743473,8858,43,20810,0,16:41:25:651938
696538,14029,614198,277743476,8858,43,20810,0,16:41:25:669110
696538,14029,614203,277743478,8858,43,20811,0,16:41:25:689375
696538,14029,614206,277743482,8858,43,20811,0,16:41:25:713594
696540,14029,614208,277743485,8858,43,20811,0,16:41:25:732324
696540,14029,614210,277743489,8858,43,20811,0,16:41:25:752764
696541,14029,614213,277743490,8858,43,20811,0,16:41:25:767271
696542,14029,614216,277743493,8858,43,20811,0,16:41:25:785452
696544,14029,614219,277743497,8858,43,20811,0,16:41:25:804430
696546,14029,614220,277743500,8858,43,20811,0,16:41:25:821535
696546,14029,614222,277743502,8858,43,20811,0,16:41:25:839970
696547,14029,614227,277743504,8858,43,20811,0,16:41:25:858879
696548,14029,614230,277743508,8858,43,20811,0,16:41:25:881071
696549,14029,614233,277743511,8858,43,20811,0,16:41:25:899577
696549,14029,614235,277743514,8858,43,20812,0,16:41:25:919275
696549,14029,614242,277743518,8858,43,20812,0,16:41:25:935289
696550,14029,614245,277743521,8858,43,20812,0,16:41:25:952884
696552,14029,614247,277743523,8858,43,20812,0,16:41:25:978366
696553,14029,614250,277743527,8858,43,20812,0,16:41:25:995578
696554,14029,614251,277743530,8858,43,20812,0,16:41:26:012068
