user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
767889,22037,335017,13378494,8928,48833,8509,0,1996,17:07:33:155574
767902,22037,335019,13378494,8928,48833,8509,0,1996,17:07:33:252444
767913,22037,335019,13378494,8928,48833,8509,0,1996,17:07:33:377482
767924,22037,335020,13378494,8928,48833,8509,0,1996,17:07:33:496253
767936,22037,335021,13378494,8928,48833,8510,0,1996,17:07:33:636684
767947,22037,335024,13378494,8928,48833,8510,0,1996,17:07:33:831853
767957,22037,335029,13378500,8928,48834,8510,0,1536,17:07:33:999179
767961,22037,335032,13378506,8928,48834,8510,0,1996,17:07:34:094632
767963,22037,335035,13378509,8928,48834,8510,0,1996,17:07:34:214020
767967,22037,335037,13378516,8928,48834,8510,0,1996,17:07:34:315504
767969,22037,335038,13378524,8928,48835,8510,0,1996,17:07:34:451823
767970,22037,335039,13378533,8928,48835,8510,0,1363,17:07:34:543318
767970,22037,335039,13378540,8928,48835,8510,0,1996,17:07:34:626646
767972,22037,335042,13378546,8928,48835,8510,0,1996,17:07:34:734906
767973,22037,335044,13378554,8928,48835,8510,0,1996,17:07:34:884511
767975,22037,335046,13378563,8928,48835,8510,0,1536,17:07:35:004053
767975,22037,335048,13378572,8928,48835,8510,0,1996,17:07:35:131717
767976,22037,335049,13378583,8928,48835,8510,0,1843,17:07:35:243316
767976,22037,335050,13378591,8928,48835,8510,0,1536,17:07:35:344139
767978,22037,335051,13378598,8928,48835,8510,0,1996,17:07:35:447901
767978,22037,335052,13378607,8928,48836,8510,0,1363,17:07:35:541724
767979,22037,335052,13378615,8928,48836,8510,0,1536,17:07:35:667578
767981,22037,335055,13378623,8928,48836,8510,0,1747,17:07:35:767453
767982,22037,335056,13378630,8929,48836,8510,0,1996,17:07:35:866415
767983,22037,335056,13378639,8929,48836,8510,0,1996,17:07:35:973499
767983,22037,335056,13378647,8929,48836,8510,0,825,17:07:36:098808
767984,22037,335057,13378657,8929,48836,8510,0,1363,17:07:36:198369
767984,22037,335058,13378665,8929,48836,8510,0,825,17:07:36:323235
767986,22037,335059,13378675,8929,48836,8510,0,1747,17:07:36:428463
767987,22037,335061,13378681,8929,48836,8510,0,825,17:07:36:512622
767987,22037,335062,13378689,8929,48836,8510,0,1996,17:07:36:639008
767988,22037,335063,13378700,8929,48836,8510,0,1747,17:07:36:759057
767989,22037,335064,13378708,8929,48836,8510,0,1132,17:07:36:855259
767991,22037,335065,13378715,8929,48837,8510,0,825,17:07:36:985963
767991,22037,335067,13378727,8929,48837,8510,0,1996,17:07:37:144076
767991,22037,335068,13378741,8929,48837,8510,0,1996,17:07:37:260672
767993,22037,335069,13378749,8929,48837,8510,0,1536,17:07:37:362221
767993,22037,335070,13378757,8929,48837,8510,0,1363,17:07:37:488297
767994,22037,335071,13378767,8929,48837,8510,0,1996,17:07:37:598803
767995,22037,335071,13378776,8929,48837,8510,0,1996,17:07:37:706064
767996,22037,335073,13378784,8929,48837,8510,0,1996,17:07:37:821289
767998,22037,335075,13378791,8929,48837,8510,0,1996,17:07:37:955450
767999,22037,335076,13378801,8929,48837,8510,0,979,17:07:38:043414
767999,22037,335076,13378809,8929,48837,8510,0,1747,17:07:38:149380
768000,22037,335077,13378816,8929,48838,8510,0,1996,17:07:38:251245
768000,22037,335078,13378826,8929,48838,8510,0,1996,17:07:38:378079
768001,22037,335078,13378835,8929,48838,8510,0,1996,17:07:38:507533
768003,22037,335079,13378845,8929,48838,8510,0,1536,17:07:38:653996
768004,22037,335080,13378856,8929,48838,8510,0,1996,17:07:38:754451
768004,22037,335082,13378863,8929,48838,8510,0,1996,17:07:38:859593
768006,22037,335083,13378870,8929,48838,8510,0,1996,17:07:38:961464
768007,22037,335085,13378880,8929,48838,8510,0,1747,17:07:39:093612
768009,22037,335086,13378890,8929,48838,8510,0,1747,17:07:39:200762
768009,22037,335086,13378899,8929,48838,8510,0,1363,17:07:39:334405
768010,22037,335090,13378907,8929,48838,8510,0,979,17:07:39:440817
768011,22037,335090,13378915,8929,48839,8510,0,1996,17:07:39:567344
768011,22037,335092,13378925,8929,48839,8510,0,1747,17:07:39:651327
768012,22037,335092,13378931,8929,48839,8510,0,1996,17:07:39:749444
768013,22037,335094,13378939,8929,48839,8510,0,1996,17:07:39:891670
768014,22037,335095,13378950,8929,48839,8510,0,1363,17:07:39:998328
768015,22037,335096,13378958,8929,48839,8510,0,1996,17:07:40:092871
768017,22037,335098,13378964,8929,48839,8510,0,1536,17:07:40:213951
768017,22037,335100,13378973,8929,48839,8510,0,1363,17:07:40:327681
768018,22037,335101,13378981,8929,48839,8510,0,825,17:07:40:433951
768020,22037,335103,13378989,8929,48839,8510,0,825,17:07:40:567511
768021,22037,335104,13379000,8929,48839,8510,0,825,17:07:40:659059
768022,22037,335105,13379008,8929,48840,8510,0,1747,17:07:40:788834
768023,22037,335107,13379016,8929,48840,8510,0,1747,17:07:40:897092
768025,22037,335109,13379023,8929,48840,8510,0,1747,17:07:40:999626
768027,22037,335109,13379031,8929,48840,8510,0,825,17:07:41:111910
