user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
685818,52407,842830,13126890,38068,145505,59722,0,1708,18:28:05:209387
685826,52407,842836,13126890,38068,145506,59722,0,1708,18:28:05:413553
685833,52407,842843,13126894,38068,145506,59723,0,1708,18:28:05:556579
685838,52407,842850,13126896,38068,145506,59723,0,1708,18:28:05:717111
685847,52408,842856,13126896,38068,145507,59723,0,1708,18:28:05:840320
685852,52408,842860,13126898,38068,145507,59723,0,1708,18:28:05:939666
685856,52408,842864,13126900,38068,145507,59723,0,1708,18:28:06:080833
685859,52408,842869,13126904,38068,145508,59723,0,1708,18:28:06:183401
685868,52408,842875,13126905,38068,145508,59723,0,1708,18:28:06:380027
685871,52408,842880,13126910,38068,145508,59723,0,1708,18:28:06:575423
685873,52408,842888,13126919,38068,145509,59723,0,1708,18:28:06:684004
685876,52408,842890,13126924,38068,145509,59723,0,1708,18:28:06:824631
685879,52408,842894,13126930,38068,145509,59723,0,1708,18:28:06:933876
685883,52408,842897,13126934,38068,145509,59724,0,1708,18:28:07:048963
685887,52408,842902,13126937,38068,145509,59724,0,1708,18:28:07:164375
685889,52408,842906,13126942,38068,145509,59724,0,1708,18:28:07:271703
685892,52408,842909,13126946,38068,145510,59724,0,1708,18:28:07:424046
685896,52408,842914,13126952,38068,145510,59724,0,1708,18:28:07:558221
685899,52408,842917,13126962,38068,145510,59724,0,1708,18:28:07:691394
685900,52408,842920,13126966,38068,145510,59724,0,1708,18:28:07:805957
685903,52408,842925,13126970,38068,145510,59724,0,1708,18:28:07:926507
685907,52408,842929,13126974,38068,145511,59724,0,1708,18:28:08:033816
685911,52408,842932,13126977,38068,145511,59724,0,1708,18:28:08:152816
685914,52408,842936,13126982,38068,145511,59724,0,1708,18:28:08:278819
685917,52408,842940,13126985,38068,145511,59724,0,1708,18:28:08:374878
685920,52408,842945,13126988,38068,145511,59725,0,1708,18:28:08:478270
685923,52408,842948,13126991,38068,145511,59725,0,1708,18:28:08:632227
685929,52408,842952,13127000,38068,145512,59725,0,1708,18:28:08:769434
685933,52408,842955,13127003,38068,145512,59725,0,1708,18:28:08:867381
685936,52408,842958,13127006,38068,145512,59725,0,1708,18:28:08:976513
685939,52408,842961,13127009,38068,145512,59725,0,1708,18:28:09:076483
685943,52408,842964,13127011,38068,145512,59725,0,1708,18:28:09:169102
685945,52408,842970,13127013,38068,145513,59725,0,1708,18:28:09:302839
685948,52408,842971,13127020,38068,145513,59725,0,1708,18:28:09:405737
685953,52408,842973,13127022,38068,145513,59725,0,1708,18:28:09:485529
685956,52408,842977,13127023,38068,145513,59726,0,1708,18:28:09:605898
685961,52408,842981,13127027,38068,145513,59726,0,1708,18:28:09:748575
685964,52408,842983,13127034,38068,145514,59726,0,1708,18:28:09:864272
685966,52408,842986,13127039,38068,145514,59726,0,1516,18:28:09:967379
685970,52408,842990,13127043,38068,145514,59726,0,1708,18:28:10:085405
685973,52408,842993,13127046,38068,145514,59726,0,1708,18:28:10:198772
685976,52408,842997,13127050,38068,145514,59726,0,1708,18:28:10:311672
685981,52408,843001,13127053,38068,145514,59726,0,1708,18:28:10:439607
685985,52408,843005,13127057,38068,145515,59726,0,1708,18:28:10:548086
685989,52408,843007,13127061,38068,145515,59726,0,1708,18:28:10:653756
685991,52408,843010,13127066,38068,145515,59726,0,1708,18:28:10:753187
685993,52408,843015,13127069,38068,145515,59726,0,1708,18:28:10:880242
685996,52408,843020,13127073,38068,145515,59726,0,1708,18:28:11:017893
685998,52408,843025,13127079,38068,145515,59727,0,1708,18:28:11:140945
686001,52408,843030,13127082,38068,145516,59727,0,1708,18:28:11:242616
686005,52408,843033,13127086,38068,145516,59727,0,1708,18:28:11:338340
686008,52408,843036,13127089,38068,145516,59727,0,1708,18:28:11:435015
686012,52408,843039,13127091,38068,145516,59727,0,1708,18:28:11:559249
686017,52408,843044,13127094,38068,145516,59727,0,1708,18:28:11:750304
686021,52408,843049,13127106,38068,145516,59727,0,1708,18:28:11:884488
686022,52408,843053,13127111,38068,145517,59727,0,1708,18:28:12:016835
686026,52408,843056,13127115,38068,145517,59727,0,1708,18:28:12:117227
686029,52408,843061,13127117,38068,145517,59727,0,1708,18:28:12:218362
686033,52408,843066,13127119,38068,145517,59727,0,1708,18:28:12:331124
686036,52408,843068,13127124,38068,145517,59727,0,1708,18:28:12:431223
686040,52408,843071,13127127,38068,145517,59727,0,1708,18:28:12:555677
686044,52408,843076,13127131,38068,145517,59728,0,1708,18:28:12:697436
686046,52408,843081,13127137,38068,145518,59728,0,1708,18:28:12:897163
686050,52408,843084,13127148,38068,145518,59728,0,1708,18:28:13:016303
686053,52408,843089,13127152,38068,145518,59728,0,1708,18:28:13:120623
686056,52408,843092,13127156,38068,145518,59728,0,1708,18:28:13:219936
