user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
296909,23330,401273,8332888,26923,80051,27825,0,1708,18:02:49:981573
296918,23330,401279,8332894,26923,80052,27825,0,1708,18:02:50:123174
296924,23330,401283,8332896,26923,80053,27825,0,1708,18:02:50:198452
296925,23330,401285,8332899,26923,80053,27825,0,1708,18:02:50:339230
296934,23330,401291,8332899,26923,80054,27825,0,1708,18:02:50:464230
296939,23330,401295,8332901,26923,80055,27825,0,1708,18:02:50:565910
296942,23330,401298,8332903,26923,80056,27825,0,1708,18:02:50:681388
296946,23330,401302,8332905,26923,80056,27825,0,1708,18:02:50:767286
296948,23330,401306,8332908,26923,80057,27825,0,1708,18:02:50:865717
296950,23330,401311,8332911,26923,80058,27825,0,1708,18:02:50:970209
296952,23330,401314,8332914,26923,80058,27826,0,1516,18:02:51:132599
296956,23330,401318,8332920,26923,80059,27826,0,1708,18:02:51:255076
296962,23330,401322,8332922,26923,80060,27826,0,1708,18:02:51:353792
296964,23330,401325,8332925,26923,80060,27826,0,1708,18:02:51:475784
296966,23330,401332,8332928,26923,80061,27826,0,1708,18:02:51:577120
296971,23330,401335,8332930,26923,80062,27826,0,1708,18:02:51:694673
296974,23330,401339,8332932,26923,80062,27826,0,1708,18:02:51:783062
296978,23330,401342,8332934,26923,80063,27826,0,1708,18:02:51:905204
296983,23330,401346,8332937,26923,80064,27826,0,1708,18:02:52:011675
296987,23330,401349,8332939,26923,80065,27826,0,1708,18:02:52:211673
296990,23330,401354,8332948,26923,80065,27826,0,1708,18:02:52:305644
296992,23330,401359,8332950,26923,80066,27826,0,1708,18:02:52:432120
296997,23330,401363,8332954,26923,80067,27826,0,1708,18:02:52:555252
297000,23330,401367,8332958,26923,80067,27826,0,1708,18:02:52:684749
297004,23330,401372,8332960,26923,80068,27826,0,1708,18:02:52:787594
297007,23330,401375,8332962,26923,80069,27826,0,1708,18:02:52:893294
297010,23330,401380,8332964,26923,80070,27827,0,1708,18:02:53:007321
297014,23330,401385,8332966,26923,80070,27827,0,1708,18:02:53:105657
297015,23330,401390,8332969,26923,80071,27827,0,1708,18:02:53:318131
297020,23330,401395,8332978,26923,80072,27827,0,1708,18:02:53:427270
297024,23330,401399,8332981,26923,80072,27827,0,1708,18:02:53:551033
297028,23330,401405,8332982,26923,80073,27827,0,1708,18:02:53:659784
297033,23330,401409,8332983,26923,80074,27827,0,1708,18:02:53:764899
297038,23330,401412,8332985,26923,80075,27827,0,1708,18:02:53:872160
297040,23330,401417,8332987,26923,80075,27827,0,1708,18:02:53:981546
297043,23330,401420,8332990,26923,80076,27827,0,1708,18:02:54:075434
297045,23330,401424,8332992,26923,80077,27827,0,1708,18:02:54:177093
297049,23330,401427,8332996,26923,80077,27827,0,1708,18:02:54:351903
297052,23330,401433,8333002,26923,80078,27827,0,1708,18:02:54:464750
297055,23330,401440,8333004,26923,80079,27827,0,1708,18:02:54:564443
297059,23330,401443,8333005,26923,80079,27827,0,1708,18:02:54:659191
297064,23330,401446,8333007,26923,80080,27827,0,1708,18:02:54:802748
297067,23330,401452,8333012,26923,80081,27827,0,1708,18:02:54:932597
297071,23330,401459,8333014,26923,80082,27827,0,1708,18:02:55:055516
297076,23330,401462,8333017,26923,80082,27827,0,1708,18:02:55:170912
297080,23330,401466,8333019,26923,80083,27828,0,1708,18:02:55:269011
297084,23330,401469,8333022,26923,80084,27828,0,1708,18:02:55:410929
297089,23330,401473,8333025,26923,80085,27828,0,1708,18:02:55:537167
297091,23330,401480,8333027,26923,80085,27828,0,1708,18:02:55:640409
297094,23330,401485,8333029,26923,80086,27828,0,1708,18:02:55:749093
297097,23330,401490,8333032,26923,80087,27828,0,1708,18:02:55:909421
297103,23330,401496,8333035,26923,80088,27828,0,1708,18:02:56:034886
297107,23330,401499,8333038,26923,80088,27828,0,1708,18:02:56:166802
297111,23330,401504,8333040,26923,80089,27828,0,1708,18:02:56:258624
297117,23330,401509,8333047,26923,80090,27828,0,1708,18:02:56:438199
297120,23330,401512,8333048,26923,80091,27828,0,1708,18:02:56:542652
297123,23330,401517,8333052,26923,80091,27828,0,1708,18:02:56:665906
297127,23330,401522,8333054,26923,80092,27828,0,1708,18:02:56:786727
297132,23330,401527,8333056,26923,80093,27828,0,1708,18:02:56:924865
297137,23330,401531,8333059,26923,80094,27828,0,1708,18:02:57:040628
297141,23330,401535,8333061,26923,80094,27828,0,1708,18:02:57:175292
297146,23330,401541,8333063,26923,80095,27828,0,1708,18:02:57:272500
297150,23330,401543,8333066,26923,80096,27828,0,1708,18:02:57:440594
297154,23330,401549,8333071,26923,80097,27829,0,1708,18:02:57:530463
297156,23330,401552,8333074,26923,80097,27829,0,1708,18:02:57:640037
297160,23330,401555,8333077,26923,80098,27829,0,1708,18:02:57:759438
297164,23330,401561,8333079,26923,80099,27829,0,1708,18:02:57:859410
