user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
1433536,22325,670351,29884202,9375,105417,16397,0,1996,17:51:33:651964
1433542,22325,670358,29884204,9375,105417,16397,0,1996,17:51:33:751655
1433545,22325,670364,29884205,9375,105418,16398,0,1996,17:51:33:866132
1433559,22325,670369,29884206,9375,105418,16398,0,1996,17:51:34:068700
1433566,22325,670373,29884206,9375,105418,16398,0,1996,17:51:34:176314
1433574,22325,670375,29884206,9375,105418,16398,0,1996,17:51:34:288331
1433580,22325,670379,29884207,9375,105418,16398,0,1996,17:51:34:389681
1433582,22325,670380,29884213,9375,105419,16398,0,1996,17:51:34:521979
1433584,22325,670383,29884222,9375,105419,16398,0,1536,17:51:34:628841
1433585,22325,670384,29884230,9375,105419,16398,0,1996,17:51:34:724729
1433585,22325,670384,29884238,9375,105419,16398,0,1363,17:51:34:835589
1433587,22325,670385,29884247,9375,105419,16398,0,1363,17:51:35:011909
1433588,22325,670387,29884264,9375,105419,16398,0,1996,17:51:35:145650
1433588,22325,670388,29884274,9375,105419,16398,0,1996,17:51:35:290900
1433589,22325,670389,29884283,9375,105419,16398,0,1996,17:51:35:392562
1433591,22325,670392,29884290,9375,105419,16398,0,1996,17:51:35:505320
1433593,22325,670394,29884297,9375,105420,16398,0,1996,17:51:35:615302
1433594,22325,670395,29884305,9375,105420,16398,0,825,17:51:35:709012
1433595,22325,670395,29884312,9375,105420,16398,0,1536,17:51:35:826751
1433596,22325,670395,29884322,9375,105420,16398,0,1536,17:51:35:918779
1433596,22325,670396,29884330,9375,105420,16398,0,825,17:51:36:092464
1433598,22325,670397,29884346,9375,105420,16398,0,1996,17:51:36:211040
1433599,22325,670399,29884353,9375,105420,16398,0,1132,17:51:36:338897
1433601,22325,670400,29884362,9375,105420,16398,0,1996,17:51:36:443475
1433602,22325,670401,29884372,9375,105420,16398,0,1996,17:51:36:563669
1433602,22325,670401,29884381,9375,105420,16398,0,1996,17:51:36:666037
1433604,22325,670402,29884390,9375,105420,16398,0,825,17:51:36:786329
1433605,22325,670404,29884398,9375,105420,16398,0,1843,17:51:36:890820
1433605,22325,670404,29884407,9375,105421,16398,0,1843,17:51:36:991093
1433605,22325,670406,29884415,9375,105421,16398,0,1536,17:51:37:086789
1433607,22325,670407,29884429,9375,105421,16398,0,1996,17:51:37:290042
1433610,22325,670408,29884437,9375,105421,16398,0,1536,17:51:37:415483
1433611,22325,670410,29884447,9375,105421,16398,0,1536,17:51:37:566473
1433613,22325,670413,29884457,9375,105421,16398,0,1996,17:51:37:681947
1433613,22325,670414,29884467,9375,105421,16398,0,1996,17:51:37:802375
1433614,22325,670414,29884477,9375,105421,16398,0,1747,17:51:37:915468
1433617,22325,670416,29884485,9375,105421,16398,0,1843,17:51:38:037508
1433620,22325,670417,29884491,9375,105421,16398,0,1996,17:51:38:203333
1433622,22325,670419,29884507,9375,105422,16398,0,1363,17:51:38:355810
1433623,22325,670419,29884517,9375,105422,16398,0,1747,17:51:38:474736
1433624,22325,670420,29884524,9375,105422,16398,0,1747,17:51:38:574532
1433625,22325,670422,29884533,9375,105422,16398,0,979,17:51:38:673319
1433626,22325,670423,29884540,9375,105422,16398,0,1747,17:51:38:773882
1433626,22325,670423,29884549,9375,105422,16398,0,1363,17:51:38:896099
1433627,22325,670424,29884559,9375,105422,16398,0,1996,17:51:39:023434
1433629,22325,670425,29884570,9375,105422,16398,0,825,17:51:39:130384
1433629,22325,670426,29884578,9375,105422,16398,0,1132,17:51:39:247590
1433630,22325,670427,29884587,9375,105422,16398,0,1363,17:51:39:347595
1433630,22325,670429,29884594,9375,105422,16398,0,1132,17:51:39:440639
1433631,22325,670430,29884601,9375,105422,16398,0,1996,17:51:39:532605
1433632,22325,670431,29884608,9375,105422,16398,0,1996,17:51:39:625019
1433632,22325,670432,29884615,9375,105422,16398,0,1536,17:51:39:734821
1433633,22325,670433,29884625,9375,105423,16398,0,1747,17:51:39:853228
1433634,22325,670435,29884633,9375,105423,16398,0,979,17:51:39:961576
1433635,22325,670436,29884642,9375,105423,16398,0,1363,17:51:40:081612
1433635,22325,670437,29884652,9375,105423,16398,0,1996,17:51:40:202521
1433635,22325,670438,29884669,9375,105423,16398,0,1536,17:51:40:410623
1433639,22325,670440,29884676,9375,105423,16398,0,1536,17:51:40:518746
1433640,22325,670441,29884685,9375,105423,16398,0,1843,17:51:40:620133
1433641,22325,670442,29884692,9375,105423,16398,0,1996,17:51:40:724707
1433644,22325,670444,29884699,9375,105423,16398,0,1996,17:51:40:831521
1433645,22325,670445,29884707,9375,105423,16398,0,1996,17:51:40:933237
1433646,22325,670446,29884714,9375,105423,16398,0,1996,17:51:41:016966
1433647,22325,670447,29884719,9375,105423,16398,0,1996,17:51:41:123728
1433648,22325,670449,29884727,9375,105423,16398,0,1363,17:51:41:252083
1433650,22325,670450,29884736,9375,105424,16398,0,1996,17:51:41:434154
1433651,22325,670451,29884753,9375,105424,16398,0,979,17:51:41:566972
1433652,22325,670452,29884764,9375,105424,16398,0,1747,17:51:41:656327
