user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
153256,24562,230125,8023520,24229,41291,29595,0,1708,16:10:47:548762
153262,24562,230132,8023521,24229,41291,29595,0,1708,16:10:47:680313
153266,24562,230134,8023524,24229,41291,29595,0,1708,16:10:47:782186
153272,24562,230137,8023526,24229,41291,29595,0,1708,16:10:47:911816
153274,24562,230141,8023532,24229,41291,29595,0,1708,16:10:48:039746
153282,24562,230146,8023534,24229,41292,29595,0,1708,16:10:48:200276
153287,24562,230150,8023539,24229,41292,29595,0,1708,16:10:48:323447
153293,24562,230155,8023540,24229,41292,29595,0,1708,16:10:48:446959
153298,24562,230158,8023544,24229,41292,29595,0,1708,16:10:48:552252
153303,24562,230163,8023547,24229,41293,29595,0,1708,16:10:48:710006
153309,24562,230169,8023548,24229,41293,29595,0,1708,16:10:48:807045
153311,24562,230173,8023549,24229,41293,29595,0,1708,16:10:48:916593
153316,24562,230177,8023553,24229,41293,29595,0,1708,16:10:49:038019
153320,24562,230180,8023557,24229,41293,29595,0,1708,16:10:49:229906
153326,24562,230188,8023568,24230,41294,29596,0,1708,16:10:49:393795
153329,24562,230190,8023574,24230,41294,29596,0,1708,16:10:49:491037
153331,24562,230193,8023577,24230,41294,29596,0,1708,16:10:49:602819
153335,24562,230197,8023580,24230,41294,29596,0,1708,16:10:49:699386
153339,24562,230201,8023584,24230,41294,29596,0,1708,16:10:49:832286
153341,24562,230206,8023586,24230,41295,29596,0,1708,16:10:49:942911
153343,24562,230211,8023590,24230,41295,29596,0,1708,16:10:50:044971
153346,24562,230213,8023596,24230,41295,29596,0,1708,16:10:50:178002
153350,24562,230219,8023598,24230,41295,29596,0,1708,16:10:50:387573
153352,24562,230226,8023609,24230,41295,29597,0,1708,16:10:50:494840
153356,24562,230230,8023611,24230,41296,29597,0,1708,16:10:50:585240
153359,24562,230233,8023613,24230,41296,29597,0,1708,16:10:50:699287
153362,24562,230237,8023616,24230,41296,29597,0,1708,16:10:50:839565
153365,24562,230242,8023622,24230,41296,29597,0,1612,16:10:50:937336
153369,24562,230244,8023625,24230,41296,29597,0,1708,16:10:51:038558
153373,24562,230247,8023627,24230,41296,29597,0,1708,16:10:51:132432
153375,24562,230252,8023630,24230,41297,29597,0,1708,16:10:51:256409
153380,24562,230254,8023634,24230,41297,29597,0,1209,16:10:51:428846
153384,24562,230259,8023642,24230,41297,29597,0,1708,16:10:51:516249
153387,24562,230263,8023644,24230,41297,29597,0,1708,16:10:51:637798
153389,24562,230269,8023647,24230,41297,29598,0,1612,16:10:51:740835
153393,24562,230273,8023650,24230,41297,29598,0,1708,16:10:51:852665
153395,24562,230276,8023655,24230,41298,29598,0,1708,16:10:51:965922
153401,24562,230279,8023656,24230,41298,29598,0,1708,16:10:52:060462
153405,24562,230283,8023659,24230,41298,29598,0,1708,16:10:52:195032
153412,24562,230288,8023661,24230,41298,29598,0,1708,16:10:52:287265
153415,24562,230291,8023662,24230,41298,29598,0,1708,16:10:52:419297
153419,24562,230294,8023669,24230,41299,29598,0,1708,16:10:52:545886
153424,24562,230296,8023672,24230,41299,29598,0,1708,16:10:52:643091
153427,24562,230300,8023675,24230,41299,29598,0,1708,16:10:52:746031
153431,24562,230303,8023679,24230,41299,29598,0,1516,16:10:52:873819
153435,24562,230307,8023682,24230,41299,29598,0,1708,16:10:52:989043
153438,24562,230310,8023687,24230,41299,29599,0,1708,16:10:53:100648
153443,24562,230315,8023689,24230,41300,29599,0,1708,16:10:53:186955
153445,24562,230318,8023693,24230,41300,29599,0,1708,16:10:53:304783
153448,24562,230322,8023696,24230,41300,29599,0,1708,16:10:53:411026
153451,24562,230326,8023699,24230,41300,29599,0,1708,16:10:53:505135
153456,24562,230329,8023701,24230,41300,29599,0,1708,16:10:53:636345
153461,24563,230333,8023702,24230,41300,29599,0,1708,16:10:53:735625
153463,24563,230337,8023706,24230,41301,29599,0,1708,16:10:53:842654
153467,24563,230341,8023710,24230,41301,29599,0,1708,16:10:53:968438
153470,24563,230346,8023712,24230,41301,29599,0,1708,16:10:54:082400
153475,24563,230350,8023715,24230,41301,29599,0,1708,16:10:54:209535
153479,24563,230354,8023718,24230,41301,29599,0,1708,16:10:54:337429
153484,24563,230358,8023722,24230,41301,29600,0,1708,16:10:54:475224
153487,24563,230362,8023731,24230,41302,29600,0,1612,16:10:54:638534
153490,24563,230367,8023734,24230,41302,29600,0,1708,16:10:54:743095
153496,24563,230371,8023736,24230,41302,29600,0,1708,16:10:54:880281
153499,24563,230376,8023740,24230,41302,29600,0,1708,16:10:54:997254
153503,24563,230379,8023744,24230,41302,29600,0,1708,16:10:55:116477
153507,24563,230383,8023746,24230,41303,29600,0,1708,16:10:55:241211
153510,24563,230387,8023750,24230,41303,29600,0,1708,16:10:55:342376
153516,24563,230390,8023753,24230,41303,29600,0,1708,16:10:55:466961
153519,24563,230394,8023756,24230,41303,29600,0,1708,16:10:55:627191
