user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
5385465,258503,5310593,105633030,347279,682104,272300,0,,17:43:53:115054
5385507,258508,5310626,105633032,347279,682107,272301,0,,17:43:53:254877
5385547,258512,5310653,105633037,347279,682109,272301,0,,17:43:53:326754
5385571,258512,5310669,105633042,347279,682110,272302,0,,17:43:53:364559
5385583,258512,5310680,105633050,347279,682111,272302,0,,17:43:53:407673
5385600,258512,5310692,105633060,347279,682112,272302,0,,17:43:53:467626
5385621,258512,5310709,105633068,347279,682113,272302,0,,17:43:53:517118
5385652,258513,5310728,105633077,347279,682114,272303,0,,17:43:53:629743
5385698,258516,5310756,105633079,347279,682116,272304,0,,17:43:53:710285
5385718,258516,5310773,105633083,347279,682117,272304,0,,17:43:53:768072
5385739,258516,5310791,105633090,347279,682119,272304,0,,17:43:53:809440
5385757,258516,5310800,105633099,347279,682120,272304,0,,17:43:53:892914
5385804,258517,5310832,105633120,347280,682123,272305,0,,17:43:54:014734
5385835,258520,5310858,105633125,347280,682126,272305,0,,17:43:54:091214
5385861,258520,5310882,105633130,347280,682127,272306,0,,17:43:54:188148
5385895,258520,5310906,105633132,347280,682129,272306,0,,17:43:54:262944
5385923,258520,5310930,105633138,347280,682131,272307,0,,17:43:54:308651
5385939,258521,5310946,105633144,347280,682133,272307,0,,17:43:54:361223
5385951,258521,5310964,105633164,347280,682134,272307,0,,17:43:54:425322
5385967,258521,5310981,105633177,347280,682135,272307,0,,17:43:54:495004
5385983,258521,5310996,105633192,347280,682136,272308,0,,17:43:54:554976
5385991,258521,5311010,105633206,347280,682137,272308,0,,17:43:54:591773
5386004,258521,5311023,105633217,347280,682138,272308,0,,17:43:54:652295
5386020,258521,5311043,105633235,347280,682139,272309,0,,17:43:54:722487
5386037,258521,5311062,105633255,347280,682140,272309,0,,17:43:54:783464
5386050,258521,5311077,105633270,347280,682141,272309,0,,17:43:54:852459
5386062,258521,5311092,105633287,347280,682142,272309,0,,17:43:54:955674
5386083,258521,5311124,105633343,347280,682144,272310,0,,17:43:55:054914
5386097,258521,5311139,105633362,347280,682145,272310,0,,17:43:55:121370
5386108,258521,5311156,105633378,347280,682146,272310,0,,17:43:55:159003
5386119,258522,5311173,105633395,347280,682147,272311,0,,17:43:55:237500
5386139,258522,5311192,105633418,347280,682148,272311,0,,17:43:55:310188
5386153,258522,5311206,105633437,347280,682149,272311,0,,17:43:55:376034
5386168,258522,5311219,105633454,347280,682150,272311,0,,17:43:55:438431
5386182,258522,5311238,105633470,347280,682151,272312,0,,17:43:55:498705
5386195,258522,5311254,105633485,347280,682152,272312,0,,17:43:55:535542
5386208,258522,5311269,105633499,347280,682153,272312,0,,17:43:55:603040
5386219,258522,5311284,105633512,347280,682153,272312,0,,17:43:55:639156
5386230,258522,5311298,105633525,347280,682154,272313,0,,17:43:55:711045
5386245,258522,5311317,105633541,347280,682155,272313,0,,17:43:55:775633
5386260,258522,5311334,105633561,347280,682156,272313,0,,17:43:55:843124
5386278,258522,5311352,105633583,347280,682157,272313,0,,17:43:55:916730
5386296,258522,5311368,105633598,347280,682159,272314,0,,17:43:56:023440
5386318,258522,5311398,105633674,347280,682161,272314,0,,17:43:56:139304
5386333,258522,5311415,105633692,347280,682162,272314,0,,17:43:56:205078
5386346,258522,5311432,105633708,347280,682162,272315,0,,17:43:56:264488
5386361,258522,5311448,105633724,347280,682163,272315,0,,17:43:56:329462
5386378,258522,5311468,105633742,347280,682165,272315,0,,17:43:56:403824
5386396,258522,5311489,105633765,347280,682166,272315,0,,17:43:56:474807
5386411,258522,5311506,105633782,347280,682168,272316,0,,17:43:56:536081
5386423,258522,5311521,105633798,347280,682169,272316,0,,17:43:56:593471
5386434,258522,5311537,105633814,347280,682170,272316,0,,17:43:56:656706
5386447,258522,5311556,105633833,347280,682171,272316,0,,17:43:56:723753
5386462,258522,5311575,105633857,347280,682172,272316,0,,17:43:56:796084
5386480,258522,5311589,105633877,347280,682173,272317,0,,17:43:56:861907
5386495,258522,5311605,105633895,347280,682175,272317,0,,17:43:56:908342
5386504,258522,5311618,105633905,347280,682176,272317,0,,17:43:56:968916
5386519,258522,5311635,105633925,347280,682177,272317,0,,17:43:57:086400
5386537,258522,5311660,105634003,347280,682179,272318,0,,17:43:57:174379
5386549,258522,5311672,105634021,347280,682180,272318,0,,17:43:57:229001
5386561,258522,5311684,105634047,347280,682181,272318,0,,17:43:57:324692
5386581,258522,5311705,105634070,347280,682182,272318,0,,17:43:57:377721
5386594,258522,5311721,105634088,347280,682183,272319,0,,17:43:57:468200
5386611,258522,5311740,105634110,347280,682185,272319,0,,17:43:57:516554
5386627,258522,5311754,105634127,347280,682186,272319,0,,17:43:57:582099
5386640,258522,5311767,105634140,347280,682187,272319,0,,17:43:57:623441
5386650,258522,5311782,105634153,347280,682187,272319,0,,17:43:57:675681
5386661,258522,5311794,105634167,347280,682188,272320,0,,17:43:57:752132
5386676,258522,5311812,105634192,347280,682189,272320,0,,17:43:57:796512
5386684,258522,5311823,105634210,347280,682190,272320,0,,17:43:57:878883
