user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
708769,21849,303334,13056429,8683,45565,8077,0,1996,15:56:57:786631
708776,21849,303341,13056431,8683,45566,8078,0,1996,15:56:57:899989
708781,21849,303348,13056432,8683,45566,8078,0,1996,15:56:58:049678
708790,21849,303353,13056432,8683,45566,8078,0,1996,15:56:58:171315
708797,21849,303357,13056432,8683,45567,8078,0,1996,15:56:58:290195
708806,21849,303359,13056432,8683,45567,8078,0,1996,15:56:58:382972
708814,21849,303362,13056433,8683,45567,8078,0,1996,15:56:58:542858
708825,21849,303366,13056434,8683,45567,8078,0,1996,15:56:58:708584
708834,21849,303370,13056435,8683,45568,8078,0,1996,15:56:58:826449
708844,21849,303372,13056436,8683,45568,8078,0,1996,15:56:58:971159
708854,21849,303375,13056436,8683,45568,8078,0,1996,15:56:59:096338
708861,21849,303380,13056437,8683,45569,8078,0,1996,15:56:59:205470
708862,21849,303381,13056445,8683,45569,8078,0,1747,15:56:59:348985
708864,21849,303383,13056454,8683,45569,8078,0,1843,15:56:59:492776
708865,21849,303386,13056462,8683,45569,8078,0,979,15:56:59:645731
708868,21849,303387,13056473,8683,45569,8078,0,1363,15:56:59:750790
708870,21849,303389,13056479,8683,45570,8078,0,1747,15:56:59:881862
708871,21849,303390,13056489,8683,45570,8078,0,1747,15:56:59:986824
708873,21849,303392,13056495,8683,45570,8078,0,1996,15:57:00:092996
708874,21849,303393,13056503,8683,45570,8078,0,1996,15:57:00:186937
708876,21849,303394,13056510,8683,45570,8078,0,1747,15:57:00:312700
708878,21849,303395,13056518,8683,45570,8078,0,1996,15:57:00:415624
708880,21849,303396,13056525,8683,45570,8078,0,1996,15:57:00:512699
708881,21849,303397,13056532,8683,45570,8078,0,1747,15:57:00:663467
708884,21849,303399,13056545,8683,45571,8078,0,1996,15:57:00:814652
708885,21849,303402,13056551,8683,45571,8078,0,1996,15:57:00:917992
708887,21849,303403,13056558,8683,45571,8078,0,1996,15:57:01:010454
708888,21849,303404,13056565,8683,45571,8078,0,1843,15:57:01:132571
708889,21849,303406,13056575,8683,45571,8078,0,1996,15:57:01:252807
708890,21849,303407,13056584,8683,45571,8078,0,1996,15:57:01:352829
708892,21849,303407,13056592,8683,45571,8078,0,1843,15:57:01:489988
708893,21849,303408,13056602,8683,45571,8078,0,1747,15:57:01:603998
708895,21849,303409,13056609,8683,45571,8078,0,1363,15:57:01:689240
708896,21849,303409,13056616,8683,45572,8078,0,1996,15:57:01:824945
708898,21849,303410,13056626,8683,45572,8078,0,825,15:57:01:930970
708900,21849,303412,13056632,8683,45572,8078,0,1996,15:57:02:035395
708904,21849,303413,13056638,8683,45572,8078,0,1843,15:57:02:128744
708906,21849,303413,13056644,8683,45572,8078,0,1843,15:57:02:243620
708908,21849,303415,13056652,8683,45572,8078,0,1996,15:57:02:371796
708908,21849,303416,13056662,8683,45572,8078,0,1996,15:57:02:494100
708910,21849,303418,13056671,8683,45572,8078,0,1747,15:57:02:593478
708912,21849,303420,13056676,8683,45573,8078,0,1536,15:57:02:701434
708913,21849,303423,13056684,8683,45573,8078,0,1996,15:57:02:813451
708914,21849,303424,13056692,8683,45573,8078,0,1996,15:57:02:941459
708915,21849,303426,13056701,8683,45573,8078,0,979,15:57:03:062548
708918,21849,303427,13056709,8683,45573,8078,0,1996,15:57:03:185675
708920,21849,303429,13056716,8683,45573,8078,0,1132,15:57:03:282653
708922,21849,303430,13056722,8683,45573,8078,0,825,15:57:03:359877
708922,21849,303430,13056729,8683,45573,8078,0,1843,15:57:03:456458
708924,21849,303432,13056735,8683,45573,8078,0,979,15:57:03:558136
708925,21849,303434,13056741,8683,45573,8078,0,1843,15:57:03:657026
708925,21849,303434,13056750,8683,45574,8078,0,825,15:57:03:824828
708927,21849,303436,13056762,8683,45574,8078,0,1996,15:57:03:918984
708927,21849,303436,13056770,8683,45574,8078,0,1843,15:57:04:046446
708929,21849,303437,13056780,8683,45574,8078,0,825,15:57:04:172417
708931,21849,303437,13056790,8683,45574,8078,0,1747,15:57:04:310391
708932,21849,303441,13056799,8683,45574,8078,0,979,15:57:04:434777
708932,21849,303443,13056808,8683,45574,8078,0,1996,15:57:04:536080
708934,21849,303444,13056814,8683,45574,8078,0,1363,15:57:04:623188
708936,21849,303445,13056820,8683,45574,8078,0,1132,15:57:04:739190
708938,21849,303447,13056827,8683,45575,8078,0,1996,15:57:04:937176
708944,21849,303449,13056839,8683,45575,8079,0,1536,15:57:05:076442
708947,21849,303451,13056846,8683,45575,8079,0,1996,15:57:05:177555
708950,21849,303454,13056852,8683,45575,8079,0,1996,15:57:05:270704
708952,21849,303455,13056859,8683,45575,8079,0,1996,15:57:05:401931
708954,21849,303456,13056865,8683,45575,8079,0,1996,15:57:05:514093
708955,21849,303458,13056874,8683,45576,8079,0,1996,15:57:05:652103
708958,21849,303461,13056879,8683,45576,8079,0,979,15:57:05:744327
