user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
548786,28606,295072,13928549,11678,38642,10585,0,1843,17:56:25:783247
548796,28606,295076,13928551,11678,38643,10585,0,1996,17:56:25:877539
548800,28606,295079,13928552,11678,38643,10585,0,1996,17:56:25:987482
548804,28606,295083,13928553,11678,38643,10585,0,1996,17:56:26:066882
548807,28606,295087,13928554,11678,38643,10586,0,1996,17:56:26:165722
548810,28606,295093,13928554,11678,38643,10586,0,1996,17:56:26:266116
548817,28606,295095,13928555,11678,38644,10586,0,1996,17:56:26:392721
548821,28606,295096,13928562,11678,38644,10586,0,1363,17:56:26:495481
548822,28606,295097,13928571,11678,38644,10586,0,1536,17:56:26:618781
548824,28606,295099,13928579,11678,38644,10586,0,1536,17:56:26:784885
548825,28606,295101,13928595,11678,38644,10586,0,1996,17:56:26:939022
548830,28606,295104,13928598,11678,38644,10586,0,1747,17:56:27:034688
548833,28607,295105,13928604,11678,38644,10586,0,1996,17:56:27:172017
548841,28607,295108,13928605,11678,38645,10586,0,1996,17:56:27:271474
548846,28607,295112,13928606,11678,38645,10586,0,1996,17:56:27:395322
548853,28607,295118,13928607,11678,38645,10586,0,1996,17:56:27:540492
548860,28607,295124,13928607,11678,38646,10586,0,1996,17:56:27:700384
548869,28607,295130,13928608,11678,38646,10586,0,1996,17:56:27:861230
548879,28607,295137,13928608,11678,38647,10586,0,1996,17:56:28:028202
548885,28607,295142,13928611,11678,38647,10586,0,1747,17:56:28:127239
548887,28607,295144,13928618,11678,38647,10587,0,1996,17:56:28:244255
548889,28607,295146,13928625,11678,38647,10587,0,1996,17:56:28:383773
548890,28607,295147,13928636,11678,38647,10587,0,1536,17:56:28:486231
548891,28607,295149,13928640,11678,38648,10587,0,1747,17:56:28:595398
548892,28607,295151,13928649,11678,38648,10587,0,1996,17:56:28:711777
548893,28607,295152,13928658,11678,38648,10587,0,1843,17:56:28:837959
548893,28607,295153,13928669,11678,38648,10587,0,1363,17:56:28:996249
548894,28607,295156,13928682,11678,38648,10587,0,1996,17:56:29:106910
548895,28607,295157,13928689,11678,38648,10587,0,1996,17:56:29:205041
548896,28607,295158,13928695,11678,38648,10587,0,1536,17:56:29:278317
548896,28607,295158,13928703,11678,38648,10587,0,1363,17:56:29:387072
548896,28607,295159,13928712,11678,38648,10587,0,1536,17:56:29:515370
548897,28607,295162,13928722,11678,38648,10587,0,1996,17:56:29:634210
548901,28607,295167,13928725,11678,38648,10587,0,1747,17:56:29:744809
548901,28607,295168,13928733,11678,38649,10587,0,1363,17:56:29:858667
548902,28607,295169,13928742,11678,38649,10587,0,1843,17:56:29:984011
548902,28607,295170,13928756,11678,38649,10587,0,1747,17:56:30:143145
548903,28607,295171,13928767,11678,38649,10587,0,1536,17:56:30:282006
548904,28607,295172,13928777,11678,38649,10587,0,1536,17:56:30:406983
548905,28607,295174,13928787,11678,38649,10587,0,1363,17:56:30:515334
548905,28607,295175,13928796,11678,38649,10587,0,1996,17:56:30:644371
548905,28607,295177,13928806,11678,38649,10587,0,1996,17:56:30:750674
548906,28607,295177,13928815,11678,38649,10587,0,1996,17:56:30:871371
548906,28607,295177,13928826,11678,38649,10587,0,1996,17:56:30:978515
548908,28607,295178,13928834,11678,38649,10587,0,1996,17:56:31:077786
548908,28607,295179,13928843,11678,38649,10587,0,1996,17:56:31:177108
548910,28607,295182,13928846,11678,38649,10587,0,1996,17:56:31:282272
548913,28607,295187,13928850,11678,38650,10587,0,1747,17:56:31:390058
548913,28607,295188,13928858,11678,38650,10587,0,1536,17:56:31:498127
548914,28607,295189,13928868,11678,38650,10587,0,1536,17:56:31:628472
548914,28607,295189,13928880,11678,38650,10587,0,1363,17:56:31:744853
548914,28607,295190,13928891,11678,38650,10587,0,1996,17:56:31:856773
548914,28607,295191,13928899,11678,38650,10587,0,1536,17:56:31:966737
548915,28607,295192,13928909,11678,38650,10587,0,1996,17:56:32:106659
548916,28607,295193,13928922,11678,38650,10587,0,1132,17:56:32:243823
548916,28607,295195,13928931,11678,38650,10587,0,1536,17:56:32:336624
548917,28608,295196,13928940,11678,38650,10587,0,1996,17:56:32:432510
548917,28608,295197,13928950,11678,38650,10587,0,1843,17:56:32:555563
548918,28608,295199,13928958,11678,38650,10587,0,1747,17:56:32:670709
548919,28608,295200,13928968,11678,38650,10587,0,1996,17:56:32:815165
548919,28608,295202,13928981,11678,38650,10587,0,825,17:56:32:949825
548919,28608,295203,13928992,11678,38650,10587,0,1536,17:56:33:079134
548920,28608,295203,13929001,11678,38651,10587,0,1747,17:56:33:174448
548920,28608,295204,13929011,11678,38651,10587,0,1536,17:56:33:304484
548920,28608,295204,13929022,11678,38651,10587,0,1843,17:56:33:426655
548920,28608,295204,13929034,11678,38651,10587,0,1996,17:56:33:518282
548921,28608,295205,13929041,11678,38651,10587,0,1996,17:56:33:636225
548922,28608,295207,13929050,11678,38651,10587,0,825,17:56:33:736471
