user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
210971,13754,258421,8238449,14855,31785,20982,0,1708,16:52:27:587417
210976,13754,258427,8238449,14855,31786,20982,0,1708,16:52:27:746020
210982,13754,258433,8238451,14855,31786,20982,0,1708,16:52:27:819176
210986,13754,258435,8238452,14855,31786,20982,0,1708,16:52:27:916599
210989,13754,258439,8238454,14855,31786,20982,0,1708,16:52:28:034098
210996,13754,258442,8238457,14855,31786,20982,0,1708,16:52:28:150994
211000,13754,258447,8238459,14855,31786,20982,0,1708,16:52:28:367171
211005,13754,258454,8238467,14855,31787,20982,0,1708,16:52:28:501286
211011,13754,258459,8238469,14855,31787,20983,0,1708,16:52:28:614577
211016,13754,258463,8238472,14855,31787,20983,0,1708,16:52:28:747122
211022,13755,258469,8238473,14855,31788,20983,0,1708,16:52:28:904080
211026,13755,258475,8238475,14855,31788,20983,0,1708,16:52:29:026123
211029,13755,258480,8238477,14855,31788,20983,0,1708,16:52:29:116456
211034,13755,258483,8238478,14855,31788,20983,0,1708,16:52:29:204112
211038,13755,258489,8238478,14855,31789,20984,0,1708,16:52:29:371486
211044,13755,258494,8238485,14855,31789,20984,0,1708,16:52:29:529478
211049,13755,258500,8238488,14855,31789,20984,0,1708,16:52:29:639007
211051,13755,258504,8238492,14855,31789,20984,0,1708,16:52:29:772866
211055,13755,258509,8238496,14855,31789,20984,0,1708,16:52:29:908511
211060,13755,258514,8238499,14855,31790,20984,0,1708,16:52:30:033067
211063,13755,258518,8238503,14855,31790,20984,0,1708,16:52:30:135909
211067,13755,258523,8238506,14855,31790,20984,0,1708,16:52:30:259363
211071,13755,258528,8238507,14855,31790,20984,0,1708,16:52:30:363410
211075,13755,258532,8238509,14855,31790,20984,0,1708,16:52:30:517096
211079,13755,258536,8238517,14855,31790,20985,0,1708,16:52:30:634697
211084,13755,258540,8238519,14855,31791,20985,0,1708,16:52:30:748953
211089,13755,258543,8238522,14855,31791,20985,0,1708,16:52:30:842247
211091,13755,258546,8238524,14855,31791,20985,0,1708,16:52:30:926321
211095,13755,258548,8238526,14855,31791,20985,0,1708,16:52:31:055848
211099,13755,258553,8238530,14855,31791,20985,0,1708,16:52:31:152281
211100,13755,258560,8238534,14855,31791,20985,0,1708,16:52:31:254127
211103,13755,258563,8238538,14855,31791,20985,0,1708,16:52:31:394190
211108,13755,258566,8238542,14855,31792,20985,0,1708,16:52:31:584469
211112,13755,258570,8238552,14855,31792,20985,0,1708,16:52:31:683682
211116,13755,258573,8238554,14855,31792,20985,0,1708,16:52:31:773025
211119,13755,258576,8238557,14855,31792,20985,0,1708,16:52:31:885217
211123,13755,258579,8238561,14855,31792,20985,0,1708,16:52:31:990477
211127,13755,258583,8238563,14855,31792,20985,0,1708,16:52:32:109779
211131,13755,258587,8238566,14855,31793,20985,0,1708,16:52:32:225017
211135,13755,258593,8238569,14855,31793,20985,0,1708,16:52:32:339861
211140,13755,258598,8238572,14855,31793,20985,0,1708,16:52:32:450465
211146,13755,258601,8238573,14855,31793,20985,0,1708,16:52:32:592730
211151,13756,258605,8238576,14855,31793,20985,0,1708,16:52:32:686201
211155,13756,258608,8238578,14855,31793,20985,0,1708,16:52:32:791202
211158,13756,258612,8238580,14855,31794,20986,0,1708,16:52:32:888054
211162,13756,258613,8238584,14855,31794,20986,0,1708,16:52:32:992266
211167,13756,258617,8238587,14855,31794,20986,0,1708,16:52:33:143399
211172,13756,258621,8238591,14855,31794,20986,0,1708,16:52:33:248385
211178,13756,258626,8238593,14855,31794,20986,0,1708,16:52:33:387040
211183,13756,258629,8238597,14855,31794,20986,0,1708,16:52:33:493376
211187,13756,258633,8238599,14855,31795,20986,0,1708,16:52:33:647206
211192,13756,258637,8238606,14855,31795,20986,0,1708,16:52:33:764144
211197,13756,258642,8238607,14855,31795,20986,0,1708,16:52:33:863958
211200,13756,258647,8238610,14855,31795,20986,0,1708,16:52:33:971355
211205,13756,258650,8238612,14855,31795,20986,0,1708,16:52:34:087097
211208,13756,258655,8238615,14855,31795,20986,0,1708,16:52:34:216308
211211,13756,258660,8238619,14855,31795,20986,0,1708,16:52:34:315568
211215,13756,258663,8238621,14855,31796,20986,0,1708,16:52:34:422756
211220,13756,258667,8238623,14855,31796,20986,0,1708,16:52:34:562725
211224,13756,258671,8238637,14855,31796,20986,0,1708,16:52:34:740507
211228,13756,258674,8238639,14855,31796,20986,0,1708,16:52:34:875310
211233,13756,258677,8238641,14855,31796,20986,0,1708,16:52:34:977704
211236,13756,258681,8238644,14855,31796,20987,0,1708,16:52:35:083443
211240,13756,258686,8238648,14855,31796,20987,0,1708,16:52:35:206053
211243,13756,258691,8238652,14855,31797,20987,0,1708,16:52:35:303418
211249,13756,258695,8238652,14855,31797,20987,0,1708,16:52:35:419710
211254,13756,258698,8238656,14855,31797,20987,0,1708,16:52:35:511521
211257,13756,258701,8238658,14855,31797,20987,0,1708,16:52:35:624353
