user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
233879,13835,311143,8308172,21152,40198,25341,0,1708,17:22:53:010193
233885,13835,311149,8308173,21152,40198,25341,0,1708,17:22:53:119356
233889,13835,311153,8308174,21152,40198,25341,0,1708,17:22:53:224225
233893,13835,311157,8308176,21152,40199,25341,0,1708,17:22:53:333590
233898,13835,311160,8308180,21152,40199,25341,0,1708,17:22:53:448869
233905,13835,311162,8308180,21152,40199,25341,0,1708,17:22:53:575697
233909,13835,311169,8308183,21152,40199,25341,0,1708,17:22:53:677748
233913,13835,311173,8308183,21152,40200,25341,0,1708,17:22:53:768282
233917,13836,311177,8308185,21152,40200,25341,0,1708,17:22:53:905981
233923,13836,311181,8308186,21152,40200,25341,0,1708,17:22:54:045129
233931,13836,311186,8308187,21152,40201,25341,0,1708,17:22:54:158655
233935,13836,311188,8308189,21152,40201,25342,0,1708,17:22:54:250223
233940,13836,311191,8308191,21152,40201,25342,0,1708,17:22:54:353578
233945,13836,311195,8308192,21152,40202,25342,0,1708,17:22:54:489744
233950,13836,311200,8308196,21152,40202,25342,0,1708,17:22:54:595281
233953,13836,311205,8308198,21152,40202,25342,0,1708,17:22:54:699884
233956,13836,311210,8308200,21152,40202,25342,0,1708,17:22:58:415655
233964,13836,311221,8308545,21153,40204,25343,0,1209,17:22:58:518474
233966,13836,311226,8308550,21153,40204,25343,0,1708,17:22:58:634267
233972,13836,311230,8308551,21153,40204,25343,0,1708,17:22:58:739200
233975,13836,311233,8308555,21153,40205,25343,0,1708,17:22:58:841479
233978,13836,311238,8308557,21153,40205,25343,0,1708,17:22:58:936122
233982,13836,311242,8308559,21153,40205,25343,0,1708,17:22:59:025923
233985,13836,311245,8308562,21153,40205,25343,0,1708,17:22:59:173480
233989,13836,311252,8308565,21153,40205,25343,0,1708,17:22:59:273571
233993,13836,311256,8308568,21153,40205,25343,0,1708,17:22:59:440896
233996,13836,311261,8308574,21153,40206,25344,0,1708,17:22:59:538744
233999,13836,311266,8308578,21153,40206,25344,0,1708,17:22:59:674483
234002,13836,311271,8308582,21153,40206,25344,0,1708,17:22:59:760256
234004,13836,311274,8308585,21153,40206,25344,0,1708,17:22:59:859632
234008,13836,311277,8308588,21153,40206,25344,0,1708,17:22:59:972248
234012,13836,311282,8308590,21153,40206,25344,0,1708,17:23:00:113264
234017,13836,311289,8308592,21153,40206,25344,0,1708,17:23:00:232478
234019,13836,311292,8308597,21153,40207,25344,0,1708,17:23:00:411671
234025,13836,311297,8308606,21153,40207,25344,0,1708,17:23:00:544951
234027,13836,311301,8308609,21153,40207,25344,0,1708,17:23:00:664803
234033,13836,311305,8308611,21153,40207,25344,0,1708,17:23:00:779455
234037,13836,311310,8308614,21153,40207,25344,0,1708,17:23:00:882600
234040,13836,311315,8308615,21153,40207,25344,0,1708,17:23:00:978615
