user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
585155,21121,734331,12000379,164002,72282,17933,0,1708,14:31:16:695983
585160,21122,734337,12000380,164002,72282,17933,0,1708,14:31:16:857149
585168,21122,734342,12000382,164002,72282,17933,0,1708,14:31:16:975545
585172,21122,734347,12000385,164002,72282,17933,0,1708,14:31:17:097420
585176,21122,734352,12000389,164002,72283,17933,0,1708,14:31:17:217797
585180,21122,734357,12000391,164002,72283,17934,0,1708,14:31:17:423804
585184,21122,734363,12000401,164002,72283,17934,0,1708,14:31:17:541034
585191,21122,734366,12000402,164002,72283,17934,0,1708,14:31:17:691487
585197,21127,734368,12000404,164002,72284,17934,0,1708,14:31:17:874510
585201,21131,734376,12000405,164002,72284,17934,0,1708,14:31:18:007880
585207,21131,734380,12000408,164002,72284,17934,0,1708,14:31:18:158255
585213,21131,734385,12000412,164002,72285,17934,0,1708,14:31:18:251598
585216,21131,734388,12000413,164002,72285,17934,0,1708,14:31:18:411140
585226,21131,734394,12000417,164002,72285,17934,0,1708,14:31:18:540501
585230,21131,734398,12000418,164002,72285,17934,0,1708,14:31:18:677681
585237,21131,734404,12000418,164002,72286,17934,0,1708,14:31:18:794401
585244,21131,734410,12000420,164002,72286,17934,0,1708,14:31:18:941951
585249,21132,734414,12000422,164002,72286,17934,0,1708,14:31:19:039221
585254,21132,734417,12000423,164002,72287,17934,0,1708,14:31:19:135625
585256,21132,734423,12000425,164002,72287,17934,0,1708,14:31:19:264468
585262,21132,734427,12000427,164002,72287,17934,0,1708,14:31:19:376675
585266,21132,734431,12000428,164002,72287,17934,0,1708,14:31:19:550772
585273,21132,734436,12000434,164002,72287,17934,0,1708,14:31:19:686006
585278,21132,734441,12000436,164002,72288,17935,0,1708,14:31:19:794706
585280,21132,734445,12000438,164002,72288,17935,0,1708,14:31:19:881658
585285,21132,734448,12000440,164002,72288,17935,0,1708,14:31:19:973992
585290,21132,734451,12000441,164002,72288,17935,0,1708,14:31:20:069817
585294,21132,734454,12000442,164002,72288,17935,0,1708,14:31:20:157348
585298,21132,734458,12000443,164002,72288,17935,0,1708,14:31:20:256155
585303,21132,734461,12000446,164002,72288,17935,0,1708,14:31:20:369758
585306,21132,734466,12000448,164002,72289,17935,0,1708,14:31:20:459464
585309,21132,734472,12000449,164002,72289,17935,0,1708,14:31:20:616906
585313,21132,734476,12000457,164002,72289,17935,0,1708,14:31:20:726176
585317,21132,734481,12000458,164002,72289,17935,0,1708,14:31:20:819827
585321,21132,734484,12000460,164002,72289,17935,0,1708,14:31:20:931951
585325,21132,734488,12000461,164002,72289,17935,0,1708,14:31:21:048906
585330,21132,734493,12000463,164002,72290,17935,0,1708,14:31:21:150655
585334,21132,734497,12000464,164002,72290,17935,0,1708,14:31:21:269158
585339,21132,734501,12000466,164002,72290,17935,0,1708,14:31:21:390630
585345,21132,734505,12000469,164002,72290,17936,0,1708,14:31:21:515868
585349,21132,734511,12000472,164002,72290,17936,0,1708,14:31:21:626834
585352,21132,734515,12000475,164002,72290,17936,0,1708,14:31:21:770911
585360,21132,734519,12000478,164002,72291,17936,0,1708,14:31:21:910970
585365,21132,734525,12000479,164002,72291,17936,0,1708,14:31:22:009617
585368,21132,734530,12000480,164002,72291,17936,0,1708,14:31:22:122364
585370,21132,734536,12000483,164002,72291,17936,0,1708,14:31:22:267917
585375,21132,734540,12000488,164002,72291,17936,0,1708,14:31:22:385913
585380,21132,734544,12000489,164002,72291,17936,0,1612,14:31:22:500536
585384,21132,734549,12000490,164002,72292,17936,0,1708,14:31:22:632066
585388,21132,734555,12000494,164002,72292,17936,0,1708,14:31:22:767569
585391,21132,734562,12000497,164002,72292,17936,0,1708,14:31:22:867267
585394,21132,734566,12000500,164002,72292,17936,0,1708,14:31:22:977521
585399,21132,734572,12000501,164002,72292,17936,0,1708,14:31:23:106518
585403,21132,734577,12000503,164002,72292,17936,0,1516,14:31:23:246879
585408,21132,734581,12000507,164002,72293,17937,0,1708,14:31:23:359006
585412,21132,734584,12000509,164002,72293,17937,0,1708,14:31:23:437679
585417,21132,734586,12000510,164002,72293,17937,0,1708,14:31:23:527985
585422,21132,734588,12000511,164002,72293,17937,0,1708,14:31:23:722321
585426,21132,734593,12000523,164002,72293,17937,0,1708,14:31:23:839258
585429,21132,734596,12000526,164002,72293,17937,0,1708,14:31:23:955814
585433,21132,734599,12000529,164002,72294,17937,0,1708,14:31:24:048339
585437,21132,734604,12000530,164002,72294,17937,0,1708,14:31:24:172366
585441,21132,734608,12000534,164002,72294,17937,0,1708,14:31:24:271614
585446,21132,734611,12000536,164002,72294,17937,0,1708,14:31:24:364772
585449,21132,734614,12000537,164003,72294,17937,0,1708,14:31:24:454098
585453,21132,734618,12000539,164003,72294,17937,0,1708,14:31:24:551136
585457,21132,734623,12000540,164003,72294,17937,0,1708,14:31:24:696809
585460,21132,734628,12000549,164003,72295,17937,0,1708,14:31:24:815301
