user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
260374,23008,358623,8277856,26852,72936,27241,0,1708,17:38:50:050212
260380,23008,358628,8277856,26852,72937,27242,0,1708,17:38:50:185758
260384,23008,358633,8277858,26852,72938,27242,0,1708,17:38:50:290941
260388,23008,358639,8277860,26852,72939,27242,0,1708,17:38:50:442052
260394,23008,358644,8277865,26852,72940,27242,0,1708,17:38:50:584620
260398,23008,358650,8277865,26852,72941,27242,0,1708,17:38:50:704976
260403,23008,358654,8277866,26852,72942,27242,0,1708,17:38:50:814964
260411,23008,358656,8277869,26852,72943,27242,0,1708,17:38:50:925642
260415,23008,358660,8277870,26852,72944,27242,0,1708,17:38:51:057955
260421,23008,358664,8277871,26852,72944,27242,0,1708,17:38:51:216547
260427,23008,358669,8277873,26852,72946,27242,0,1708,17:38:51:331210
260432,23008,358673,8277876,26852,72947,27242,0,1708,17:38:51:500025
260435,23008,358681,8277880,26852,72948,27242,0,1708,17:38:51:648215
260439,23008,358687,8277882,26852,72949,27242,0,1708,17:38:51:782493
260444,23008,358692,8277883,26852,72950,27242,0,1708,17:38:51:895586
260451,23008,358694,8277884,26852,72952,27242,0,1708,17:38:51:997823
260454,23008,358700,8277886,26852,72952,27242,0,1708,17:38:52:130911
260458,23008,358704,8277888,26852,72953,27242,0,1708,17:38:52:226271
260462,23008,358707,8277890,26852,72955,27242,0,1708,17:38:52:341305
260466,23008,358712,8277892,26852,72956,27242,0,1708,17:38:52:470650
260469,23008,358717,8277894,26852,72957,27242,0,1708,17:38:52:635527
260472,23008,358723,8277900,26852,72958,27242,0,1708,17:38:52:742566
260476,23008,358727,8277901,26852,72959,27242,0,1708,17:38:52:852023
260481,23008,358730,8277902,26852,72960,27242,0,1708,17:38:52:971143
260486,23008,358733,8277905,26852,72961,27242,0,1708,17:38:53:105777
260490,23008,358738,8277908,26852,72962,27242,0,1708,17:38:53:211220
260492,23008,358742,8277910,26852,72963,27242,0,1708,17:38:53:340019
260496,23008,358749,8277912,26852,72964,27242,0,1708,17:38:53:446989
260499,23008,358753,8277915,26852,72965,27243,0,1708,17:38:53:628732
260503,23008,358758,8277921,26852,72967,27243,0,1708,17:38:53:737197
260509,23008,358761,8277922,26852,72967,27243,0,1708,17:38:53:848952
260512,23008,358765,8277924,26852,72969,27243,0,1708,17:38:53:979913
260515,23008,358770,8277927,26852,72970,27243,0,1708,17:38:54:094702
260521,23008,358774,8277929,26852,72971,27243,0,1708,17:38:54:258045
260527,23008,358779,8277931,26852,72972,27243,0,1708,17:38:54:370532
260531,23008,358783,8277932,26852,72973,27243,0,1708,17:38:54:442673
260535,23008,358786,8277933,26852,72973,27243,0,1708,17:38:54:571712
260540,23008,358790,8277936,26852,72975,27243,0,1708,17:38:54:707829
260546,23008,358794,8277939,26852,72976,27243,0,1708,17:38:54:842437
260548,23008,358799,8277942,26852,72977,27243,0,1708,17:38:54:948151
260552,23008,358802,8277946,26852,72978,27243,0,1708,17:38:55:076228
260556,23008,358805,8277949,26852,72979,27243,0,1708,17:38:55:196045
260561,23008,358809,8277951,26852,72980,27243,0,1708,17:38:55:291516
260564,23008,358813,8277953,26852,72981,27243,0,1708,17:38:55:388318
260566,23008,358818,8277955,26852,72982,27243,0,1708,17:38:55:485590
260569,23008,358822,8277957,26852,72983,27243,0,1708,17:38:55:581625
260574,23008,358826,8277957,26852,72984,27243,0,1708,17:38:55:674516
260577,23008,358829,8277959,26852,72985,27243,0,1708,17:38:55:794755
260581,23008,358833,8277961,26852,72986,27243,0,1708,17:38:55:908038
260584,23008,358838,8277963,26852,72987,27243,0,1708,17:38:56:033607
260588,23008,358842,8277966,26852,72988,27243,0,1708,17:38:56:162707
260591,23008,358847,8277969,26852,72989,27244,0,1708,17:38:56:265296
260593,23008,358851,8277971,26852,72990,27244,0,1708,17:38:56:380860
260597,23008,358856,8277973,26852,72991,27244,0,1708,17:38:56:501746
260599,23008,358859,8277976,26852,72992,27244,0,1708,17:38:56:616385
260604,23008,358862,8277979,26852,72994,27244,0,1708,17:38:56:843183
260608,23008,358870,8277987,26852,72995,27244,0,1708,17:38:56:968403
260613,23008,358875,8277989,26852,72997,27244,0,1708,17:38:57:099403
260616,23008,358881,8277991,26852,72998,27244,0,1708,17:38:57:243400
260620,23008,358888,8277993,26852,72999,27244,0,1708,17:38:57:340985
260624,23008,358891,8277995,26852,73000,27244,0,1708,17:38:57:442214
260629,23008,358895,8277996,26852,73001,27244,0,1708,17:38:57:561192
260633,23008,358900,8277998,26852,73002,27244,0,1708,17:38:57:704191
260638,23008,358905,8278001,26852,73003,27244,0,1708,17:38:57:901526
260643,23008,358910,8278008,26852,73004,27244,0,1708,17:38:58:001395
260647,23008,358914,8278009,26852,73005,27244,0,1708,17:38:58:085604
