user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
146938,8481,283084,7797306,99829,25824,8260,0,1708,15:40:40:967940
146943,8481,283088,7797309,99829,25824,8260,0,1708,15:40:41:135187
146952,8481,283093,7797310,99829,25824,8260,0,1708,15:40:41:266065
146956,8481,283100,7797311,99829,25825,8260,0,1708,15:40:41:389092
146960,8481,283103,7797314,99829,25825,8260,0,1708,15:40:41:485575
146966,8481,283106,7797315,99829,25825,8260,0,1708,15:40:41:625365
146970,8481,283112,7797317,99829,25825,8260,0,1708,15:40:41:700057
146974,8481,283116,7797318,99829,25825,8260,0,1708,15:40:41:853315
146983,8481,283121,7797326,99829,25826,8260,0,1708,15:40:42:028740
146988,8481,283124,7797327,99829,25826,8261,0,1708,15:40:42:167695
146993,8481,283131,7797329,99829,25826,8261,0,1708,15:40:42:283021
146998,8481,283135,7797331,99829,25826,8261,0,1708,15:40:42:393699
147000,8481,283138,7797335,99829,25826,8261,0,1708,15:40:42:506742
147004,8481,283141,7797340,99829,25826,8261,0,1708,15:40:42:601172
147007,8481,283145,7797343,99829,25827,8261,0,1708,15:40:42:711062
147013,8481,283148,7797345,99829,25827,8261,0,1708,15:40:42:836060
147017,8481,283153,7797349,99829,25827,8261,0,1708,15:40:43:006860
147021,8481,283159,7797357,99829,25827,8261,0,1708,15:40:43:130374
147023,8481,283164,7797360,99829,25827,8261,0,1708,15:40:43:242541
147028,8481,283167,7797362,99829,25827,8261,0,1708,15:40:43:351856
147033,8481,283172,7797364,99829,25828,8261,0,1708,15:40:43:454129
147037,8481,283174,7797366,99829,25828,8261,0,1708,15:40:43:544275
147040,8481,283179,7797368,99829,25828,8261,0,1708,15:40:43:663816
147044,8481,283183,7797370,99829,25828,8261,0,1708,15:40:43:777536
147048,8481,283187,7797372,99829,25828,8261,0,1708,15:40:43:899047
147053,8481,283193,7797375,99829,25828,8262,0,1708,15:40:44:074073
147060,8481,283197,7797382,99829,25829,8262,0,1708,15:40:44:216046
147063,8481,283203,7797384,99829,25829,8262,0,1708,15:40:44:329572
147068,8481,283206,7797385,99829,25829,8262,0,1708,15:40:44:451308
147070,8481,283213,7797389,99829,25829,8262,0,1708,15:40:44:572836
147076,8481,283217,7797391,99829,25829,8262,0,1708,15:40:44:690028
147081,8481,283223,7797393,99829,25829,8262,0,1708,15:40:44:794534
147085,8481,283227,7797396,99829,25830,8262,0,1708,15:40:44:931458
147090,8481,283232,7797399,99829,25830,8262,0,1708,15:40:45:060532
147096,8481,283236,7797400,99829,25830,8262,0,1708,15:40:45:201664
147100,8481,283240,7797407,99829,25830,8262,0,1708,15:40:45:305221
147103,8481,283245,7797407,99829,25830,8262,0,1708,15:40:45:403740
147109,8481,283248,7797408,99829,25830,8262,0,1708,15:40:45:511768
147113,8481,283254,7797410,99829,25830,8262,0,1708,15:40:45:645750
147118,8481,283259,7797413,99829,25831,8262,0,1708,15:40:45:769449
147124,8481,283265,7797413,99830,25831,8262,0,1708,15:40:45:872925
147128,8481,283269,7797416,99830,25831,8262,0,1708,15:40:45:997577
147132,8481,283274,7797419,99830,25831,8263,0,1708,15:40:46:138545
147137,8481,283279,7797422,99830,25831,8263,0,1708,15:40:46:248270
147141,8481,283284,7797424,99830,25831,8263,0,1708,15:40:46:351983
147146,8481,283287,7797426,99830,25832,8263,0,1708,15:40:46:501468
147151,8481,283293,7797430,99830,25832,8263,0,1708,15:40:46:640856
147157,8481,283298,7797432,99830,25832,8263,0,1708,15:40:46:759116
147162,8481,283303,7797434,99830,25832,8263,0,1708,15:40:46:852676
147164,8481,283306,7797437,99830,25832,8263,0,1708,15:40:46:944343
147167,8481,283310,7797440,99830,25832,8263,0,1708,15:40:47:073342
147171,8481,283315,7797442,99830,25833,8263,0,1708,15:40:47:237315
147175,8481,283320,7797449,99830,25833,8263,0,1708,15:40:47:333607
147179,8481,283324,7797450,99830,25833,8263,0,1708,15:40:47:442646
147183,8481,283327,7797454,99830,25833,8263,0,1708,15:40:47:538030
147184,8481,283333,7797457,99830,25833,8263,0,1708,15:40:47:661130
147188,8481,283339,7797460,99830,25833,8263,0,1708,15:40:47:789494
147194,8481,283345,7797461,99830,25833,8263,0,1708,15:40:47:889543
147197,8481,283349,7797465,99830,25834,8263,0,1708,15:40:48:023008
147203,8481,283354,7797467,99830,25834,8263,0,1708,15:40:48:153574
147206,8481,283357,7797473,99830,25834,8263,0,1708,15:40:48:321432
147208,8481,283364,7797482,99830,25834,8264,0,1708,15:40:48:442211
147213,8481,283369,7797483,99830,25834,8264,0,1708,15:40:48:540691
147215,8481,283375,7797485,99830,25834,8264,0,1708,15:40:48:648458
147219,8481,283380,7797486,99830,25835,8264,0,1708,15:40:48:766822
147223,8481,283384,7797489,99830,25835,8264,0,1708,15:40:48:853132
147225,8481,283387,7797491,99830,25835,8264,0,1708,15:40:48:963901
