user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq,time
491610,49453,625562,12373331,37181,129339,52001,0,1708,15:05:53:961805
491613,49453,625566,12373335,37181,129339,52001,0,1708,15:05:54:048397
491616,49453,625570,12373337,37181,129340,52001,0,1708,15:05:54:182133
491621,49453,625572,12373341,37181,129340,52001,0,1708,15:05:54:274484
491625,49453,625575,12373342,37181,129340,52001,0,1708,15:05:54:374978
491629,49453,625579,12373345,37181,129340,52001,0,1708,15:05:54:490332
491630,49453,625584,12373350,37181,129340,52001,0,1708,15:05:54:597347
491634,49453,625588,12373351,37181,129341,52002,0,1708,15:05:54:725321
491639,49453,625592,12373355,37181,129341,52002,0,1708,15:05:54:878294
491644,49453,625596,12373361,37181,129341,52002,0,1708,15:05:54:978755
491649,49453,625598,12373363,37181,129342,52002,0,1708,15:05:55:097161
491653,49453,625603,12373367,37181,129342,52002,0,1708,15:05:55:222635
491656,49453,625608,12373371,37181,129342,52002,0,1708,15:05:55:376501
491660,49453,625616,12373374,37181,129342,52002,0,1708,15:05:55:503032
491664,49453,625620,12373379,37181,129343,52002,0,1708,15:05:55:647280
491668,49453,625625,12373380,37181,129343,52002,0,1708,15:05:55:755286
491673,49454,625630,12373381,37181,129343,52002,0,1708,15:05:55:840710
491677,49454,625634,12373382,37181,129344,52003,0,1708,15:05:56:006007
491681,49454,625640,12373389,37181,129344,52003,0,1708,15:05:56:110784
491685,49454,625645,12373392,37181,129344,52003,0,1708,15:05:56:248326
491688,49454,625651,12373394,37181,129345,52003,0,1708,15:05:56:398684
491691,49454,625655,12373399,37181,129345,52003,0,1708,15:05:56:492495
491694,49454,625660,12373401,37181,129345,52003,0,1708,15:05:56:597833
491696,49454,625665,12373407,37181,129345,52003,0,1708,15:05:56:722693
491699,49454,625669,12373411,37181,129345,52003,0,1708,15:05:56:812571
491702,49454,625673,12373414,37181,129346,52003,0,1708,15:05:56:938776
491705,49454,625677,12373418,37181,129346,52003,0,1612,15:05:57:104787
491709,49454,625680,12373428,37181,129346,52003,0,1708,15:05:57:215461
491712,49454,625683,12373431,37181,129346,52004,0,1708,15:05:57:342269
491716,49454,625690,12373433,37181,129346,52004,0,1708,15:05:57:465916
491718,49454,625694,12373437,37181,129346,52004,0,1708,15:05:57:595638
491723,49454,625699,12373440,37181,129347,52004,0,1708,15:05:57:696748
491727,49454,625702,12373442,37181,129347,52004,0,1708,15:05:57:811473
491730,49454,625706,12373446,37181,129347,52004,0,1708,15:05:57:922417
491734,49454,625708,12373450,37181,129347,52004,0,1708,15:05:58:018899
491739,49454,625713,12373459,37181,129347,52004,0,1708,15:05:58:197587
491740,49454,625715,12373465,37181,129347,52004,0,1708,15:05:58:326756
491744,49454,625718,12373470,37181,129348,52005,0,1708,15:05:58:426983
491746,49454,625722,12373473,37181,129348,52005,0,1708,15:05:58:517447
491750,49454,625726,12373475,37181,129348,52005,0,1708,15:05:58:613015
491755,49454,625728,12373476,37181,129348,52005,0,1708,15:05:58:711706
491758,49454,625731,12373480,37181,129348,52005,0,1708,15:05:58:837081
491761,49454,625735,12373485,37181,129348,52005,0,1708,15:05:58:964561
491764,49454,625739,12373489,37181,129348,52005,0,1708,15:05:59:081173
491769,49454,625744,12373492,37181,129348,52005,0,1708,15:05:59:222566
491772,49454,625748,12373497,37181,129349,52005,0,1708,15:05:59:305534
491775,49454,625751,12373499,37181,129349,52005,0,1708,15:05:59:413454
491779,49454,625754,12373503,37181,129349,52005,0,1708,15:05:59:541934
491785,49454,625758,12373506,37181,129349,52005,0,1708,15:05:59:675261
491789,49454,625762,12373511,37181,129349,52005,0,1708,15:05:59:784630
491793,49454,625765,12373515,37181,129349,52005,0,1708,15:05:59:925268
491797,49454,625771,12373518,37181,129350,52005,0,1708,15:06:00:030475
491801,49454,625775,12373520,37181,129350,52005,0,1708,15:06:00:143417
491804,49454,625779,12373527,37181,129350,52005,0,1708,15:06:00:273432
491808,49454,625783,12373531,37181,129350,52005,0,1708,15:06:00:405340
491811,49454,625786,12373536,37181,129350,52005,0,1708,15:06:00:506952
491815,49454,625790,12373539,37181,129350,52006,0,1708,15:06:00:647086
491819,49454,625794,12373545,37181,129350,52006,0,1708,15:06:00:748997
491822,49456,625796,12373547,37181,129351,52006,0,1708,15:06:00:865232
491826,49456,625799,12373552,37181,129351,52006,0,1708,15:06:00:992204
491828,49456,625804,12373557,37181,129351,52006,0,1708,15:06:01:112785
491832,49456,625809,12373559,37181,129351,52006,0,1708,15:06:01:306751
491837,49456,625813,12373572,37181,129351,52006,0,1708,15:06:01:447565
491839,49456,625818,12373576,37181,129351,52006,0,1708,15:06:01:567076
491844,49456,625822,12373579,37181,129352,52006,0,1708,15:06:01:702150
491848,49456,625828,12373583,37181,129352,52006,0,1708,15:06:01:823069
491852,49456,625832,12373585,37181,129352,52006,0,1708,15:06:01:925256
