time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,1708.0
100,11.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1708.0
200,5.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,1708.0
300,7.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1708.0
400,,,,,,,,,
500,,,,,,,,,
600,,,,,,,,,1708.0
700,,,,,,,,,
800,,,,,,,,,1708.0
900,6.0,1.0,6.0,2.0,1.0,1.0,0.0,0.0,1708.0
1000,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1708.0
1100,4.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1708.0
1200,,,,,,,,,
1300,,,,,,,,,1708.0
1400,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
1500,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
1600,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1708.0
1700,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,1708.0
1800,3.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1708.0
1900,4.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1708.0
2000,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1708.0
2100,,,,,,,,,
2200,,,,,,,,,1708.0
2300,7.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,1708.0
2400,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
2500,6.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,1708.0
2600,,,,,,,,,
2700,,,,,,,,,
2800,,,,,,,,,
2900,,,,,,,,,
3000,,,,,,,,,
3100,,,,,,,,,1708.0
3200,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
3300,6.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,1708.0
3400,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1708.0
3500,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
3600,,,,,,,,,
3700,,,,,,,,,1708.0
3800,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1708.0
3900,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1708.0
4000,5.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
4100,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1708.0
4200,,,,,,,,,
4300,,,,,,,,,1708.0
4400,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1708.0
4500,3.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,1708.0
4600,6.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1708.0
4700,,,,,,,,,
4800,,,,,,,,,1708.0
4900,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1708.0
5000,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1708.0
5100,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1708.0
5200,5.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1708.0
5300,5.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1708.0
5400,,,,,,,,,
5500,,,,,,,,,1708.0
5600,6.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
5700,5.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1708.0
5800,3.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,1708.0
5900,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
6000,,,,,,,,,
6100,,,,,,,,,1708.0
6200,,,,,,,,,
6300,,,,,,,,,1708.0
6400,5.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,1708.0
6500,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
6600,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
6700,,,,,,,,,
6800,,,,,,,,,1708.0
6900,,,,,,,,,
7000,,,,,,,,,1708.0
7100,5.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
7200,,,,,,,,,
7300,,,,,,,,,1708.0
7400,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1708.0
7500,3.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,1708.0
7600,6.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1708.0
7700,5.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
7800,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1708.0
7900,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
