time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,
100,24.0,0.0,23.0,4.0,0.0,1.0,1.0,0.0,
200,39.5,0.0,31.0,13.0,0.0,2.5,0.5,0.0,
300,34.5,0.0,27.0,8.0,0.0,1.5,0.5,0.0,
400,33.0,2.0,30.0,5.0,0.0,2.0,0.0,0.0,
500,28.0,0.0,20.0,1.0,0.0,1.0,1.0,0.0,
600,56.5,1.0,36.0,4.0,0.0,2.5,0.0,0.0,
700,45.5,0.0,32.0,11.0,0.0,2.5,1.0,0.0,
800,25.0,1.0,18.5,11.5,0.0,1.5,0.0,0.0,
900,21.0,0.0,23.5,19.5,0.0,1.5,0.0,0.0,
1000,28.0,0.0,36.0,63.0,0.0,3.0,1.0,0.0,
1100,20.5,0.0,26.0,21.5,0.0,1.5,0.0,0.0,
1200,18.5,0.0,18.0,21.5,0.0,1.5,1.0,0.0,
1300,14.0,0.0,20.0,18.0,0.0,1.0,0.0,0.0,
1400,26.0,0.0,26.5,45.0,0.5,1.5,0.5,0.0,
1500,24.5,0.0,26.5,32.0,0.5,2.0,0.5,0.0,
1600,20.5,0.0,26.0,29.5,0.0,1.0,0.0,0.0,
1700,22.0,0.0,22.0,26.5,0.0,1.5,0.0,0.0,
1800,20.0,0.0,19.5,30.0,0.0,1.5,1.0,0.0,
1900,22.0,0.0,26.5,35.0,0.0,1.5,0.0,0.0,
2000,,,,,,,,,
2100,,,,,,,,,
2200,27.0,1.0,27.5,40.0,0.0,1.5,0.5,0.0,
2300,21.0,0.0,19.5,30.5,0.0,1.5,0.0,0.0,
2400,19.0,0.0,18.5,33.5,0.0,0.5,1.0,0.0,
2500,21.0,0.0,24.5,28.0,0.0,1.5,0.0,0.0,
2600,26.0,0.0,25.0,30.0,0.0,2.0,0.0,0.0,
2700,27.0,0.0,30.0,30.5,0.0,1.5,0.5,0.0,
2800,17.0,0.0,19.5,20.5,0.0,1.0,0.5,0.0,
2900,24.0,0.0,25.5,38.0,0.0,1.5,0.0,0.0,
3000,14.0,0.0,23.5,27.0,0.0,1.5,0.0,0.0,
3100,12.0,0.0,13.0,19.0,0.0,1.0,1.0,0.0,
3200,12.0,0.0,19.0,81.0,0.0,1.0,0.0,0.0,
3300,24.5,0.0,26.0,35.5,0.0,1.5,0.5,0.0,
3400,23.5,0.0,24.0,29.5,0.0,1.5,0.5,0.0,
3500,21.0,0.0,24.0,29.5,0.0,1.5,0.0,0.0,
3600,23.0,0.0,28.0,37.5,0.0,1.5,1.0,0.0,
3700,16.0,0.0,18.0,23.0,0.0,1.5,0.0,0.0,
3800,24.0,0.0,22.0,28.0,0.0,1.0,0.0,0.0,
3900,24.5,0.0,23.5,35.0,0.0,1.5,0.5,0.0,
4000,22.0,0.0,24.5,35.0,0.0,1.5,0.5,0.0,
4100,19.5,0.0,24.0,33.0,0.0,1.5,0.0,0.0,
4200,15.0,0.0,18.0,60.0,0.0,1.0,0.0,0.0,
4300,11.0,0.0,19.0,20.0,0.0,1.0,1.0,0.0,
4400,29.5,0.0,30.5,25.5,0.0,2.0,0.0,0.0,
4500,33.0,0.0,27.0,31.0,0.0,1.5,0.0,0.0,
4600,17.5,0.0,20.5,25.5,0.0,1.5,1.0,0.0,
4700,22.0,0.0,22.0,28.5,0.0,1.5,0.0,0.0,
4800,28.5,0.0,30.5,40.5,0.0,1.5,0.0,0.0,
4900,18.5,0.0,21.5,26.0,0.0,1.0,1.0,0.0,
5000,23.0,0.0,25.5,28.0,0.0,1.5,0.0,0.0,
5100,23.0,0.0,23.5,34.0,0.0,1.5,0.0,0.0,
5200,24.0,0.0,21.0,31.5,0.0,1.5,0.5,0.0,
5300,27.0,0.0,27.0,34.0,1.0,2.0,0.5,0.0,
5400,25.0,0.0,22.5,30.5,0.0,1.0,0.0,0.0,
5500,25.0,0.0,26.0,30.5,0.0,1.5,0.5,0.0,
5600,18.5,0.0,22.5,28.5,0.0,1.5,0.5,0.0,
5700,14.5,0.0,18.0,23.0,0.0,0.5,0.0,0.0,
5800,19.5,0.0,25.0,30.5,0.0,1.5,0.0,0.0,
5900,20.5,0.0,28.0,34.5,0.0,1.5,1.0,0.0,
6000,17.0,0.0,23.5,23.5,0.0,1.5,0.0,0.0,
6100,24.0,0.0,24.5,35.5,0.0,1.5,0.0,0.0,
6200,18.0,0.0,15.0,24.0,0.0,1.0,0.0,0.0,
6300,19.5,0.0,26.5,60.5,0.0,1.5,1.0,0.0,
6400,23.5,0.0,28.0,33.5,0.0,2.0,0.5,0.0,
6500,23.5,0.0,28.5,31.5,0.0,1.0,0.5,0.0,
6600,19.5,0.0,20.0,30.5,0.0,1.5,0.0,0.0,
6700,19.5,0.0,24.0,25.5,0.0,1.5,0.5,0.0,
6800,24.0,0.0,26.0,31.5,0.0,1.5,0.5,0.0,
6900,27.5,0.0,27.5,36.5,0.0,1.5,0.0,0.0,
7000,19.0,0.0,14.5,22.5,0.0,1.5,0.0,0.0,
7100,18.5,0.0,24.0,26.5,0.0,0.5,0.5,0.0,
7200,19.5,0.0,20.0,27.5,0.0,1.5,0.5,0.0,
7300,19.0,0.0,24.0,59.5,2.0,1.5,0.0,0.0,
7400,21.0,0.0,29.0,29.5,0.0,2.0,1.0,0.0,
7500,20.0,0.0,25.0,28.0,0.0,1.5,0.0,0.0,
7600,21.0,0.0,25.5,38.0,0.0,1.0,0.0,0.0,
7700,25.0,0.0,20.5,32.0,0.0,1.0,1.0,0.0,
7800,20.0,0.0,20.0,23.5,0.0,1.5,0.0,0.0,
7900,23.0,0.0,22.0,25.5,0.0,1.5,0.0,0.0,
8000,23.5,0.0,25.0,31.0,0.0,1.5,0.5,0.0,
