time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,
100,39.0,0.0,28.0,4.0,0.0,2.0,1.0,0.0,
200,39.0,0.0,26.0,10.0,0.0,2.0,0.0,0.0,
300,45.5,0.0,32.0,9.0,0.0,2.5,0.5,0.0,
400,59.5,5.0,35.0,2.0,0.0,2.5,0.5,0.0,
500,44.0,2.0,25.0,2.0,0.0,2.0,0.0,0.0,
600,31.0,0.0,17.0,5.0,0.0,2.0,1.0,0.0,
700,26.0,0.0,25.0,14.0,0.0,1.5,0.5,0.0,
800,31.0,0.0,29.0,23.0,0.0,2.5,0.5,0.0,
900,33.5,0.0,27.0,10.5,0.0,2.0,1.0,0.0,
1000,37.0,0.0,33.5,22.0,0.0,2.5,0.5,0.0,
1100,19.5,0.0,17.5,16.5,0.0,1.5,0.5,0.0,
1200,28.5,0.0,28.0,21.5,0.0,1.5,0.0,0.0,
1300,31.5,0.0,40.5,30.0,0.0,3.0,1.0,0.0,
1400,24.5,0.0,28.0,25.0,0.0,2.0,0.0,0.0,
1500,16.5,0.0,18.5,19.5,0.0,1.5,0.0,0.0,
1600,25.0,0.0,23.0,30.5,0.0,1.5,1.0,0.0,
1700,25.0,0.0,26.0,24.5,0.0,1.5,0.0,0.0,
1800,24.0,0.0,20.5,25.0,0.0,1.0,0.5,0.0,
1900,28.666666666744277,0.0,32.16666666674428,37.33333333581686,0.0,2.0,0.5,0.0,
2000,24.333333333255723,1.0,26.333333333255723,28.66666666418314,0.0,1.5,0.5,0.0,
2100,16.0,0.0,19.0,20.0,0.0,1.5,0.5,0.0,
2200,22.5,0.0,26.0,29.0,0.0,1.0,0.0,0.0,
2300,21.5,0.0,25.0,29.0,0.0,1.5,0.5,0.0,
2400,21.5,0.5,24.5,31.0,0.0,1.0,0.5,0.0,
2500,24.5,0.5,27.5,26.0,0.0,2.0,0.0,0.0,
2600,22.0,0.0,18.0,23.0,0.0,1.5,1.0,0.0,
2700,23.0,0.0,26.0,31.5,0.0,1.5,0.0,0.0,
2800,26.0,0.0,28.0,33.5,0.0,1.5,0.0,0.0,
2900,25.5,0.0,23.5,28.5,0.0,1.5,1.0,0.0,
3000,28.0,0.0,30.0,40.0,0.5,2.0,0.0,0.0,
3100,18.5,0.0,19.5,26.5,0.5,1.5,0.0,0.0,
3200,18.5,0.0,19.5,29.5,0.0,0.5,1.0,0.0,
3300,27.5,0.0,21.5,34.5,0.0,1.5,0.0,0.0,
3400,15.0,0.0,18.0,18.0,0.0,2.0,0.0,0.0,
3500,28.0,2.6666666666715173,37.66666666674428,25.66666666418314,0.0,2.0,1.0,0.0,
