time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,
100,,,,,,,,,
200,,,,,,,,,
300,,,,,,,,,
400,,,,,,,,,
500,,,,,,,,,
600,,,,,,,,,
700,,,,,,,,,
800,,,,,,,,,
900,,,,,,,,,
1000,,,,,,,,,
1100,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,5.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0
1300,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
1400,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
1500,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
1600,3.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0
1700,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0
1800,,,,,,,,,
1900,,,,,,,,,
2000,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
2100,,,,,,,,,
2200,,,,,,,,,
2300,7.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
2400,,,,,,,,,
2500,,,,,,,,,
2600,7.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,,,,,,,,,
2800,,,,,,,,,
2900,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
3000,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
3100,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0
3200,,,,,,,,,
3300,,,,,,,,,
3400,3.0,0.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0
3500,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
3600,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0
3700,1.0,0.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0
3800,3.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0
3900,,,,,,,,,
4000,,,,,,,,,
4100,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0
4200,3.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0
4300,2.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0
4400,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
4500,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
4600,6.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
4700,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
4800,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
4900,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
5000,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
5100,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
5200,4.0,0.0,4.5,2.5,0.0,1.0,0.0,0.0,0.0
5300,4.0,0.0,5.5,1.5,0.0,0.0,0.0,0.0,0.0
5400,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
5500,4.5,0.0,5.0,1.5,0.0,0.0,0.0,0.0,0.0
5600,5.5,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0
5700,2.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0
5800,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0
5900,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
6000,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
6100,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
6200,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
6300,7.5,0.0,4.5,2.5,0.0,0.5,0.0,0.0,0.0
6400,5.5,0.0,5.5,3.5,0.0,0.5,0.0,0.0,0.0
6500,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
6600,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
6700,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
6800,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
6900,5.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
7000,5.5,0.0,3.0,2.5,0.0,0.0,1.0,0.0,0.0
7100,7.5,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0
7200,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
7300,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,-96000.0
7400,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,96000.0
7500,5.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0
7600,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
7700,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
