time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,1708800.0
100,8.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1708800.0
200,7.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1708800.0
300,,,,,,,,,
400,,,,,,,,,1708800.0
500,7.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1708800.0
600,,,,,,,,,
700,,,,,,,,,1708800.0
800,9.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1708800.0
900,,,,,,,,,
1000,,,,,,,,,1708800.0
1100,8.5,0.0,6.0,1.0,0.0,1.5,0.0,0.0,1708800.0
1200,6.5,0.0,4.0,1.0,0.0,1.5,0.0,0.0,1708800.0
1300,3.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,1612800.0
1400,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1708800.0
1500,3.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1708800.0
1600,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1708800.0
1700,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1708800.0
1800,4.0,0.0,4.5,2.5,0.0,1.0,0.0,0.0,1708800.0
1900,5.0,0.0,5.5,1.5,0.0,1.0,0.0,0.0,1708800.0
2000,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1708800.0
2100,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1708800.0
2200,3.5,0.0,5.0,1.5,0.0,0.5,0.0,0.0,1708800.0
2300,4.5,0.0,3.0,1.5,0.0,1.5,0.0,0.0,1708800.0
2400,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1708800.0
2500,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1708800.0
2600,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1708800.0
2700,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1708800.0
2800,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708800.0
2900,5.0,0.0,4.0,1.5,0.0,1.5,0.0,0.0,1708800.0
3000,5.0,0.0,4.0,1.5,0.0,0.5,0.0,0.0,1708800.0
3100,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1708800.0
3200,2.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1708800.0
3300,4.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1708800.0
3400,5.0,0.0,6.0,2.5,0.0,1.0,0.5,0.0,1708800.0
3500,4.0,0.0,7.0,1.5,0.0,1.0,0.5,0.0,1708800.0
3600,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1708800.0
3700,2.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1516800.0
3800,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708800.0
3900,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1708800.0
4000,7.0,0.0,3.5,1.5,0.0,1.5,0.0,0.0,1708800.0
4100,5.0,0.0,4.5,1.5,0.0,0.5,0.0,0.0,1708800.0
4200,2.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1708800.0
4300,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1708800.0
4400,2.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1708800.0
4500,5.5,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1708800.0
4600,5.5,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1708800.0
4700,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1708800.0
4800,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1708800.0
4900,4.5,0.0,6.5,0.5,0.0,0.5,0.0,0.0,1708800.0
5000,4.5,0.0,3.5,2.5,0.0,1.5,0.0,0.0,1708800.0
5100,2.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1708800.0
5200,2.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1708800.0
5300,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1708800.0
5400,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1708800.0
5500,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1708800.0
5600,3.5,0.0,8.5,1.5,0.0,1.0,0.0,0.0,1708800.0
5700,4.5,0.0,4.5,1.5,0.0,1.0,1.0,0.0,1708800.0
5800,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1708800.0
5900,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1708800.0
6000,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1708800.0
6100,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1708800.0
6200,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1708800.0
6300,4.5,0.0,4.5,2.0,0.0,1.0,0.0,0.0,1612800.0
6400,3.5,0.0,6.5,1.0,0.0,1.0,0.0,0.0,1708800.0
6500,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1708800.0
6600,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1708800.0
6700,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1708800.0
6800,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1708800.0
