time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,
100,50.5,1.0,41.5,4.0,0.0,2.5,0.0,0.0,
200,31.5,0.0,22.5,13.0,0.0,1.5,0.0,0.0,
300,30.0,0.0,25.5,16.0,0.0,1.5,1.0,0.0,
400,37.0,0.0,26.0,19.5,0.0,2.0,0.0,0.0,
500,40.0,1.0,23.5,12.5,1.0,1.5,0.0,0.0,
600,34.5,1.0,27.0,3.0,0.0,1.5,0.5,0.0,
700,40.0,0.0,33.5,11.5,0.0,2.5,0.5,0.0,
800,34.5,0.0,29.5,14.5,0.0,3.0,0.0,0.0,
900,35.0,1.0,25.0,5.0,0.0,2.0,1.0,0.0,
1000,32.0,0.0,26.5,28.0,0.0,1.5,0.0,0.0,
1100,31.0,0.0,29.5,24.5,0.0,2.5,0.5,0.0,
1200,22.0,0.0,20.0,14.5,0.0,2.0,0.5,0.0,
1300,19.0,0.0,21.0,20.0,0.0,1.0,1.0,0.0,
1400,22.0,0.0,27.0,28.5,0.0,1.5,0.0,0.0,
1500,23.0,0.0,29.0,27.0,0.0,2.0,0.5,0.0,
1600,20.0,0.0,20.0,22.5,0.0,1.5,0.5,0.0,
1700,,,,,,,,,
1800,,,,,,,,,
1900,,,,,,,,,
2000,,,,,,,,,
2100,,,,,,,,,
2200,,,,,,,,,
2300,,,,,,,,,
2400,,,,,,,,,
2500,,,,,,,,,
2600,,,,,,,,,
2700,,,,,,,,,
2800,,,,,,,,,
2900,,,,,,,,,
3000,,,,,,,,,
3100,,,,,,,,,
3200,,,,,,,,,
3300,,,,,,,,,
3400,,,,,,,,,
3500,,,,,,,,,
3600,,,,,,,,,
3700,27.0,0.0,29.5,34.0,0.0,1.5,0.5,0.0,
3800,21.0,0.0,22.0,26.5,0.0,1.0,0.5,0.0,
3900,23.5,0.0,21.5,33.0,0.0,2.0,0.0,0.0,
4000,23.5,0.0,24.5,33.0,0.0,2.0,0.0,0.0,
4100,21.0,0.0,18.0,28.0,0.0,1.0,1.0,0.0,
4200,19.0,0.0,19.0,33.0,0.0,1.0,0.0,0.0,
4300,17.0,0.0,26.0,34.0,0.0,1.5,0.5,0.0,
4400,21.0,0.0,25.0,28.0,0.0,1.5,0.5,0.0,
4500,18.0,0.0,18.0,95.0,0.0,1.0,0.0,0.0,
4600,15.5,0.0,17.5,19.0,0.0,1.5,0.0,0.0,
4700,22.5,0.0,22.5,23.0,0.0,1.5,1.0,0.0,
4800,26.0,0.0,24.5,29.0,0.0,1.5,0.0,0.0,
4900,23.0,0.0,24.5,25.0,0.0,1.5,0.0,0.0,
5000,16.5,0.0,26.5,28.0,0.0,1.5,1.0,0.0,
5100,18.5,0.0,24.5,28.0,0.0,1.5,0.0,0.0,
5200,24.0,0.0,23.0,25.5,0.0,0.5,0.5,0.0,
5300,30.0,0.0,28.0,34.5,0.0,2.0,0.5,0.0,
5400,18.0,0.0,18.0,20.0,0.0,1.5,0.0,0.0,
5500,20.5,0.0,27.5,39.0,0.0,1.5,0.0,0.0,
5600,19.5,0.0,29.5,29.0,0.0,1.0,1.0,0.0,
5700,25.5,0.0,28.5,34.5,0.0,2.0,0.0,0.0,
5800,24.5,0.0,30.5,44.0,0.0,1.5,0.5,0.0,
5900,18.0,0.0,19.0,20.5,0.0,1.0,0.5,0.0,
6000,20.0,0.0,21.0,24.5,0.0,1.5,0.0,0.0,
6100,22.0,0.0,24.0,26.5,0.0,1.5,0.0,0.0,
6200,19.0,0.0,22.5,27.5,0.0,1.5,1.0,0.0,
6300,28.5,0.0,27.0,43.5,0.5,1.5,0.0,0.0,
6400,19.5,0.0,22.5,24.0,0.5,1.0,0.0,0.0,
6500,21.0,0.0,18.5,28.0,0.0,1.5,0.5,0.0,
6600,,,,,,,,,
6700,,,,,,,,,
6800,22.0,0.0,31.0,32.5,0.0,1.5,1.0,0.0,
6900,17.5,0.0,20.0,21.5,0.0,1.0,0.0,0.0,
7000,23.5,0.0,24.0,27.0,0.0,1.5,0.0,0.0,
7100,31.0,0.0,31.0,42.0,0.0,2.0,1.0,0.0,
7200,24.0,0.0,24.5,38.0,0.0,1.0,0.0,0.0,
7300,17.5,0.0,16.5,21.0,0.0,1.5,0.0,0.0,
7400,18.5,0.0,21.5,25.0,0.0,1.5,0.5,0.0,
7500,27.5,0.0,35.5,35.5,0.0,2.0,0.5,0.0,
7600,15.0,0.0,22.0,31.5,0.0,0.5,0.0,0.0,
7700,14.0,0.0,20.0,62.0,0.0,2.0,1.0,0.0,
7800,21.0,0.0,24.5,31.5,0.0,1.0,0.0,0.0,
7900,24.5,0.0,28.0,33.0,0.0,1.5,0.5,0.0,
8000,17.5,0.0,21.5,24.5,0.0,1.5,0.5,0.0,
