time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,
100,30.0,1.0,30.0,1.0,0.0,1.0,0.0,0.0,
200,35.0,0.0,25.0,4.0,0.0,2.0,1.0,0.0,
300,38.5,0.0,21.0,8.5,1.0,1.5,0.5,0.0,
400,33.5,0.0,24.5,15.5,0.0,2.0,0.5,0.0,
500,31.0,0.0,27.5,23.0,0.0,2.0,0.5,0.0,
600,30.5,0.0,28.5,30.0,0.0,2.0,0.5,0.0,
700,30.5,1.0,20.5,12.0,0.0,1.5,0.0,0.0,
800,32.0,2.0,29.0,13.0,0.0,2.0,2.0,0.0,
900,34.0,0.0,38.0,14.0,0.5,2.5,2.0,0.0,
1000,31.0,0.0,23.0,8.0,0.5,2.5,1.0,0.0,
1100,42.0,1.0,31.0,5.5,0.0,2.0,0.5,0.0,
1200,41.0,9.0,31.0,4.5,0.0,3.0,0.5,0.0,
1300,28.0,2.0,18.0,9.0,0.0,1.0,1.0,0.0,
1400,28.5,0.0,31.5,21.0,0.0,2.5,0.0,0.0,
1500,34.0,0.0,39.0,29.0,0.0,2.0,0.5,0.0,
1600,20.5,0.0,24.5,20.0,0.0,1.5,0.5,0.0,
1700,21.5,0.0,23.0,22.5,0.0,1.5,0.0,0.0,
1800,29.5,0.0,25.0,40.0,0.0,2.0,1.0,0.0,
1900,20.0,0.0,17.0,19.5,0.0,1.5,0.0,0.0,
2000,19.0,0.0,21.5,27.5,0.0,1.0,0.0,0.0,
2100,25.0,2.0,31.5,33.5,0.0,1.5,0.5,0.0,
2200,20.0,1.0,24.0,29.0,0.0,1.5,0.5,0.0,
2300,18.5,0.0,23.5,24.0,0.0,1.5,0.0,0.0,
2400,23.0,0.0,33.5,35.0,0.0,1.5,0.5,0.0,
2500,18.5,0.0,25.5,29.5,1.0,1.0,0.5,0.0,
2600,25.5,0.0,28.5,33.5,0.0,1.5,0.0,0.0,
2700,16.5,0.0,22.0,32.0,0.0,1.5,1.0,0.0,
2800,20.5,0.0,23.5,26.5,0.0,1.5,0.0,0.0,
