time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,1708.0
100,8.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,1708.0
200,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1708.0
300,,,,,,,,,
400,,,,,,,,,1708.0
500,6.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,1708.0
600,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1708.0
700,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708.0
800,,,,,,,,,
900,,,,,,,,,
1000,,,,,,,,,1708.0
1100,4.0,1.0,9.0,3.0,0.0,1.0,0.0,0.0,1708.0
1200,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1708.0
1300,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1708.0
1400,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1708.0
1500,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1708.0
1600,3.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,1708.0
1700,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
1800,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,1708.0
1900,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
2000,,,,,,,,,
2100,,,,,,,,,1708.0
2200,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1708.0
2300,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1708.0
2400,4.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1708.0
2500,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1708.0
2600,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1708.0
2700,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1708.0
2800,4.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1708.0
2900,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708.0
3000,,,,,,,,,
3100,,,,,,,,,1708.0
3200,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1708.0
3300,,,,,,,,,
3400,,,,,,,,,1708.0
3500,6.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,1708.0
3600,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1708.0
3700,5.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1708.0
3800,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1708.0
3900,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1708.0
4000,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
4100,,,,,,,,,
4200,,,,,,,,,1708.0
4300,3.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,1708.0
4400,,,,,,,,,
4500,,,,,,,,,1708.0
4600,4.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,1708.0
4700,3.0,0.0,6.0,2.0,0.0,1.0,1.0,0.0,1708.0
4800,5.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1708.0
4900,4.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1708.0
5000,,,,,,,,,
5100,,,,,,,,,1708.0
5200,3.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0,1708.0
5300,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
5400,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
5500,4.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1708.0
5600,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1708.0
5700,2.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1708.0
5800,6.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1708.0
5900,,,,,,,,,
6000,,,,,,,,,1708.0
6100,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1708.0
6200,,,,,,,,,
6300,,,,,,,,,1708.0
6400,3.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,1708.0
6500,5.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1708.0
6600,,,,,,,,,
6700,,,,,,,,,1708.0
6800,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1708.0
6900,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708.0
7000,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1708.0
7100,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1708.0
7200,4.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1708.0
7300,3.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,1708.0
7400,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708.0
7500,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1708.0
7600,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1708.0
7700,,,,,,,,,
7800,,,,,,,,,1708.0
7900,3.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1708.0
8000,4.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,1708.0
