time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,1996.0
100,9.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1996.0
200,,,,,,,,,
300,,,,,,,,,1996.0
400,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1996.0
500,,,,,,,,,
600,,,,,,,,,1996.0
700,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1996.0
800,9.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1996.0
900,,,,,,,,,
1000,,,,,,,,,1996.0
1100,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1996.0
1200,8.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1996.0
1300,7.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1996.0
1400,,,,,,,,,
1500,,,,,,,,,1996.0
1600,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1747.0
1700,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1996.0
1800,,,,,,,,,
1900,,,,,,,,,1996.0
2000,2.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,1996.0
2100,3.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1132.0
2200,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1996.0
2300,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1747.0
2400,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1996.0
2500,,,,,,,,,
2600,,,,,,,,,1996.0
2700,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,979.0
2800,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1996.0
2900,1.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0,1363.0
3000,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1747.0
3100,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1996.0
3200,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1996.0
3300,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1747.0
3400,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1536.0
3500,,,,,,,,,
3600,,,,,,,,,1996.0
3700,1.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0,1996.0
3800,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1996.0
3900,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1996.0
4000,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1996.0
4100,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1996.0
4200,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,825.0
4300,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1996.0
4400,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1747.0
4500,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1996.0
4600,,,,,,,,,
4700,,,,,,,,,1536.0
4800,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1747.0
4900,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1747.0
5000,,,,,,,,,
5100,,,,,,,,,
5200,,,,,,,,,
5300,,,,,,,,,
5400,,,,,,,,,
5500,,,,,,,,,
5600,,,,,,,,,
5700,,,,,,,,,
5800,,,,,,,,,
5900,,,,,,,,,
6000,,,,,,,,,
6100,,,,,,,,,
6200,,,,,,,,,
6300,,,,,,,,,
6400,,,,,,,,,
6500,,,,,,,,,
6600,,,,,,,,,
6700,,,,,,,,,
6800,,,,,,,,,
6900,,,,,,,,,
7000,,,,,,,,,
7100,,,,,,,,,
7200,,,,,,,,,
7300,,,,,,,,,
7400,,,,,,,,,
7500,,,,,,,,,
7600,,,,,,,,,
7700,,,,,,,,,
7800,,,,,,,,,
7900,,,,,,,,,
8000,,,,,,,,,
8100,,,,,,,,,
8200,,,,,,,,,
8300,,,,,,,,,
8400,,,,,,,,,
8500,,,,,,,,,1747.0
8600,,,,,,,,,
8700,,,,,,,,,
8800,,,,,,,,,1996.0
