time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,1996.0
100,8.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1996.0
200,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996.0
300,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1996.0
400,,,,,,,,,
500,,,,,,,,,1996.0
600,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1996.0
700,4.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,1996.0
800,5.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,1996.0
900,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1996.0
1000,,,,,,,,,
1100,,,,,,,,,1996.0
1200,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1996.0
1300,11.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1996.0
1400,,,,,,,,,
1500,,,,,,,,,1996.0
1600,,,,,,,,,
1700,,,,,,,,,1996.0
1800,4.0,1.0,7.0,4.0,0.0,1.0,0.0,0.0,1996.0
1900,4.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1996.0
2000,,,,,,,,,
2100,,,,,,,,,1996.0
2200,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1996.0
2300,1.0,0.0,3.0,7.0,0.0,1.0,0.0,0.0,1996.0
2400,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1996.0
2500,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1996.0
2600,,,,,,,,,
2700,,,,,,,,,1996.0
2800,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1996.0
2900,4.0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,979.0
3000,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1363.0
3100,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1843.0
3200,,,,,,,,,
3300,,,,,,,,,1747.0
3400,,,,,,,,,
3500,,,,,,,,,
3600,,,,,,,,,
3700,,,,,,,,,
3800,,,,,,,,,979.0
3900,,,,,,,,,
4000,,,,,,,,,1996.0
4100,2.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,1996.0
4200,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1132.0
4300,2.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,1363.0
4400,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1747.0
4500,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1996.0
4600,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1536.0
4700,,,,,,,,,
4800,,,,,,,,,1996.0
4900,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1996.0
5000,3.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1996.0
5100,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1996.0
5200,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1996.0
5300,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1843.0
5400,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1996.0
5500,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1996.0
5600,,,,,,,,,
5700,,,,,,,,,1871.5
5800,,,,,,,,,
5900,,,,,,,,,1747.0
6000,1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1996.0
6100,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1996.0
6200,,,,,,,,,
6300,,,,,,,,,1996.0
6400,4.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,1996.0
6500,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1996.0
6600,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1363.0
6700,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1536.0
6800,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,1996.0
6900,,,,,,,,,
7000,,,,,,,,,1996.0
7100,1.0,0.0,2.0,10.0,0.0,1.0,0.0,0.0,1536.0
7200,,,,,,,,,
7300,,,,,,,,,979.0
7400,2.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1996.0
7500,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1536.0
7600,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,825.0
7700,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1363.0
7800,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1536.0
7900,,,,,,,,,
8000,,,,,,,,,825.0
