time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,
100,30.0,0.0,22.0,6.0,0.0,1.0,1.0,0.0,
200,50.5,0.0,29.5,6.0,0.0,2.5,0.0,0.0,
300,43.5,0.0,28.5,22.0,0.0,1.5,0.0,0.0,
400,37.5,0.5,26.5,12.5,0.0,2.0,1.0,0.0,
500,54.5,0.5,36.5,4.5,0.0,2.0,0.0,0.0,
600,24.0,0.0,22.0,6.0,0.0,2.0,1.0,0.0,
700,,,,,,,,,
800,,,,,,,,,
900,53.0,1.5,40.0,10.5,1.0,3.5,1.0,0.0,
1000,33.0,0.5,28.0,11.5,0.0,2.5,0.0,0.0,
1100,44.0,0.0,26.0,8.5,0.0,2.0,1.0,0.0,
1200,33.0,0.0,26.0,14.5,0.0,3.0,0.0,0.0,
1300,29.0,0.0,30.5,26.0,0.5,2.0,1.0,0.0,
1400,25.0,0.0,24.5,22.0,0.5,2.0,1.0,0.0,
1500,20.0,0.0,31.0,32.5,0.0,1.5,0.0,0.0,
1600,19.0,0.0,19.0,27.5,0.0,1.5,0.0,0.0,
1700,19.5,0.0,20.5,26.5,0.0,0.5,0.5,0.0,
1800,,,,,,,,,
1900,,,,,,,,,
2000,22.0,2.0,23.5,25.0,0.0,1.5,0.5,0.0,
2100,21.0,0.0,30.0,25.0,0.0,1.5,0.0,0.0,
2200,24.0,0.0,27.0,31.0,0.0,1.5,0.0,0.0,
2300,21.5,0.0,22.5,26.0,0.0,1.5,1.0,0.0,
2400,23.5,0.0,21.0,27.0,0.0,1.0,0.0,0.0,
2500,25.5,0.0,32.0,33.0,0.0,2.0,0.5,0.0,
2600,25.5,0.0,30.5,34.5,0.0,1.5,0.5,0.0,
2700,20.0,0.0,22.5,28.5,0.0,1.5,0.0,0.0,
2800,18.0,0.0,21.5,20.0,0.0,1.5,0.0,0.0,
2900,15.0,0.0,19.0,74.0,0.0,1.0,1.0,0.0,
3000,16.0,0.0,19.0,24.0,0.0,1.0,0.0,0.0,
3100,21.0,0.0,23.0,27.0,0.0,1.5,1.0,0.0,
3200,28.5,0.0,31.5,32.5,0.0,2.0,0.0,0.0,
3300,23.5,0.0,21.5,27.5,0.0,1.5,0.0,0.0,
3400,22.5,0.0,25.0,27.5,0.0,1.5,1.0,0.0,
3500,21.5,0.0,22.0,25.5,0.0,1.5,0.0,0.0,
3600,18.5,0.0,26.5,27.5,0.0,1.5,1.0,0.0,
3700,29.0,0.0,32.0,35.5,0.0,1.5,0.0,0.0,
3800,20.5,0.0,22.5,31.0,0.0,1.0,1.0,0.0,
3900,10.0,0.0,14.0,22.0,0.0,1.0,0.0,0.0,
4000,16.0,0.0,18.0,73.0,0.0,1.0,0.0,0.0,
4100,20.0,0.0,23.0,22.5,0.0,1.5,0.5,0.0,
4200,23.0,0.0,28.0,29.5,0.0,2.0,0.5,0.0,
4300,24.5,0.0,21.5,26.0,0.0,1.0,0.0,0.0,
4400,25.0,0.0,26.5,30.5,0.5,2.0,1.0,0.0,
4500,22.5,0.0,26.0,24.5,0.5,1.5,0.0,0.0,
4600,16.0,0.0,21.5,29.0,0.0,1.0,0.0,0.0,
4700,32.0,0.0,31.0,36.0,0.0,1.5,1.0,0.0,
4800,22.5,0.0,24.0,30.5,0.0,2.0,0.0,0.0,
4900,18.5,0.0,19.5,23.5,0.0,0.5,0.0,0.0,
5000,19.5,0.0,24.5,35.5,0.0,1.5,1.0,0.0,
5100,25.5,0.0,27.0,31.0,0.0,2.0,0.0,0.0,
5200,19.0,0.0,26.0,28.0,0.0,1.0,0.5,0.0,
5300,27.0,0.0,25.5,34.0,0.0,2.0,0.5,0.0,
5400,22.0,0.0,21.0,31.5,0.0,1.5,0.0,0.0,
5500,15.0,0.0,17.0,25.0,0.0,1.0,1.0,0.0,
5600,23.5,0.0,27.0,34.5,0.0,1.0,0.0,0.0,
5700,25.0,0.0,25.0,28.5,0.0,1.5,0.0,0.0,
5800,20.5,0.0,25.0,27.5,0.0,1.5,1.0,0.0,
5900,27.0,0.0,26.0,36.0,0.0,1.5,0.0,0.0,
6000,19.0,0.0,25.0,32.5,0.0,1.5,1.0,0.0,
6100,16.0,0.0,18.5,24.5,0.0,1.0,0.0,0.0,
6200,21.0,0.5,29.5,36.0,0.0,1.5,0.0,0.0,
6300,21.0,0.5,24.0,32.5,0.0,1.5,1.0,0.0,
6400,21.5,0.0,24.5,24.5,0.0,1.5,0.0,0.0,
6500,25.5,0.0,31.0,30.0,0.0,2.0,0.0,0.0,
6600,27.5,0.0,29.5,30.5,0.0,2.0,1.0,0.0,
6700,23.5,0.0,25.0,29.5,0.0,1.0,0.0,0.0,
6800,19.5,0.0,24.5,29.5,0.5,1.5,0.5,0.0,
6900,19.5,0.0,25.5,24.0,0.5,1.0,0.5,0.0,
