time[ms],user,nice,system,idle,iowait,irq,softirq,steal,cpu_scaling_freq
0,,,,,,,,,1996.0
100,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1996.0
200,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1996.0
300,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1996.0
400,,,,,,,,,
500,,,,,,,,,1996.0
600,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1996.0
700,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1996.0
800,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1996.0
900,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1747.0
1000,,,,,,,,,
1100,,,,,,,,,825.0
1200,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,825.0
1300,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,825.0
1400,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1996.0
1500,,,,,,,,,
1600,,,,,,,,,1996.0
1700,5.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1996.0
1800,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1996.0
1900,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1996.0
2000,,,,,,,,,
2100,,,,,,,,,1996.0
2200,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1996.0
2300,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1996.0
2400,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1996.0
2500,4.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1996.0
2600,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1536.0
2700,,,,,,,,,
2800,,,,,,,,,1132.0
2900,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1996.0
3000,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1996.0
3100,3.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1536.0
3200,,,,,,,,,
3300,,,,,,,,,979.0
3400,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1996.0
3500,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1996.0
3600,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1747.0
3700,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1747.0
3800,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1996.0
3900,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,825.0
4000,,,,,,,,,
4100,,,,,,,,,1996.0
4200,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1536.0
4300,2.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,1996.0
4400,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1747.0
4500,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1536.0
4600,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1996.0
4700,6.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1132.0
4800,,,,,,,,,
4900,,,,,,,,,1536.0
5000,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1996.0
5100,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1536.0
5200,,,,,,,,,
5300,,,,,,,,,
5400,,,,,,,,,
5500,,,,,,,,,
5600,,,,,,,,,
5700,,,,,,,,,
5800,,,,,,,,,1363.0
5900,5.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,1843.0
6000,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1996.0
6100,,,,,,,,,
6200,,,,,,,,,1536.0
6300,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1996.0
6400,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1996.0
6500,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1996.0
6600,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1996.0
6700,,,,,,,,,
6800,,,,,,,,,1843.0
6900,,,,,,,,,
7000,,,,,,,,,1996.0
7100,1.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,825.0
7200,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1996.0
7300,,,,,,,,,
7400,,,,,,,,,1996.0
7500,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1996.0
7600,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1747.0
7700,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,825.0
7800,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,1996.0
7900,,,,,,,,,
8000,,,,,,,,,1996.0
8100,2.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,1996.0
