,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9364161849710982,0.9230769230769231,,0.9375,1.0,0.875,0.9473684210526315,0.9230769230769231,1.0
2,200,0.8852459016393442,0.8181818181818182,,0.8333333333333334,0.6666666666666666,0.9090909090909091,0.625,1.0,0.9166666666666666
3,300,0.7910447761194029,0.7777777777777778,0.7,0.8333333333333334,,0.7857142857142857,,1.0,
4,400,0.8817204301075269,,0.6666666666666666,0.7777777777777778,,1.0,,1.0,
5,500,0.8611111111111112,,0.8181818181818182,0.9090909090909091,0.9090909090909091,,0.75,1.0,0.9230769230769231
6,600,0.9057971014492754,0.8,0.9,,0.8888888888888888,,0.8461538461538461,0.9,0.875
7,700,0.8716216216216216,0.8181818181818182,,,1.0,0.8823529411764706,1.0,,1.0
8,800,0.9602272727272727,,,0.9333333333333333,0.9166666666666666,0.8,0.9166666666666666,,
9,900,0.8731343283582089,,1.0,1.0,0.8461538461538461,0.7777777777777778,,0.9230769230769231,
10,1000,0.8430232558139535,0.8571428571428571,0.5555555555555556,,,0.9166666666666666,,1.0,1.0
11,1100,0.8986486486486487,0.9090909090909091,0.75,,,,0.8571428571428571,1.0,0.9285714285714286
12,1200,0.8700564971751412,0.8,,0.9230769230769231,0.9375,,,0.9166666666666666,
13,1300,0.9056603773584906,,,,,0.8333333333333334,,,
14,1400,0.7847222222222222,,0.9090909090909091,,,,,,
15,1500,,,,,,,,,
16,1600,,,,,,,,,
17,1700,,,,,0.3333333333333333,,,0.5853658536585366,
18,1800,0.42504409171075835,0.36363636363636365,0.3611111111111111,,0.8888888888888888,0.3684210526315789,0.42105263157894735,0.6666666666666666,0.5128205128205128
19,1900,0.7723577235772358,,0.8888888888888888,0.8181818181818182,0.7272727272727273,0.8888888888888888,0.8571428571428571,,0.5833333333333334
20,2000,0.8260869565217391,,,0.8,0.6666666666666666,0.6,0.8333333333333334,,0.6
21,2100,0.7303370786516854,0.7857142857142857,,1.0,1.0,0.9,0.8181818181818182,0.75,0.7272727272727273
22,2200,0.8536585365853658,0.8461538461538461,0.8,0.8181818181818182,0.8181818181818182,,,0.5,
23,2300,0.689873417721519,,0.7857142857142857,0.8333333333333334,0.8888888888888888,,,0.1,
24,2400,0.6386138613861386,,0.8888888888888888,0.7,,0.8461538461538461,0.8,0.2222222222222222,0.0
25,2500,0.671875,,,,,0.7272727272727273,0.6923076923076923,0.7857142857142857,0.3
26,2600,0.9103448275862069,,,,0.9230769230769231,,0.9090909090909091,,1.0
27,2700,0.8666666666666667,0.9285714285714286,1.0,,,,,,
28,2800,0.5982142857142857,,,,,0.43478260869565216,,,
29,2900,0.33636363636363636,,,0.6363636363636364,0.47368421052631576,0.9,0.42105263157894735,,0.125
30,3000,0.6861313868613139,0.6111111111111112,0.3888888888888889,0.8461538461538461,0.625,0.7,0.9090909090909091,0.3,0.36363636363636365
31,3100,0.6347305389221557,0.8,0.7777777777777778,0.6666666666666666,0.6666666666666666,,0.7272727272727273,0.3,0.25
32,3200,0.6785714285714286,0.75,0.6666666666666666,0.8571428571428571,0.7142857142857143,,,0.3333333333333333,0.3333333333333333
33,3300,0.6481481481481481,0.9,0.6666666666666666,0.8,0.9090909090909091,0.45454545454545453,,0.3,0.1
34,3400,0.6547619047619048,0.7857142857142857,0.8888888888888888,0.9166666666666666,0.75,0.9090909090909091,0.7,0.2,0.16666666666666666
35,3500,0.6866666666666666,0.7,0.875,0.9,,0.8,0.8333333333333334,0.2,0.1111111111111111
36,3600,0.6231884057971014,0.8461538461538461,0.9090909090909091,0.7777777777777778,,0.5555555555555556,0.9090909090909091,0.25,0.2222222222222222
37,3700,0.684931506849315,0.9090909090909091,0.8333333333333334,,,,,,
38,3800,,,,,,,,,
39,3900,,,,,0.4583333333333333,0.35,0.3684210526315789,,
40,4000,0.42933333333333334,0.5263157894736842,0.5,0.5454545454545454,0.7,0.7777777777777778,,,
41,4100,0.6271186440677966,,0.7272727272727273,0.75,0.7272727272727273,0.6666666666666666,,0.23076923076923078,0.16666666666666666
42,4200,0.7123287671232876,,0.6,0.9166666666666666,0.8461538461538461,0.7,,0.35714285714285715,0.3333333333333333
43,4300,0.6527777777777778,0.8461538461538461,0.8888888888888888,0.6666666666666666,,0.8461538461538461,,0.3333333333333333,0.2
44,4400,0.6902173913043478,0.8181818181818182,0.8888888888888888,0.8888888888888888,,0.75,0.8333333333333334,,0.2727272727272727
45,4500,0.664179104477612,0.8181818181818182,0.9090909090909091,0.7777777777777778,0.8181818181818182,0.7777777777777778,0.8,,0.16666666666666666
