,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.07263,amazon
1,100,0.9641025641025641,0.9230769230769231,,,,0.8947368421052632,0.9473684210526315,0.9545454545454546,,,amazon
2,200,0.8805970149253731,0.7692307692307693,,,,0.7,0.7857142857142857,,,1.07486,amazon
3,300,0.8012048192771084,,0.9166666666666666,0.875,,0.8181818181818182,0.7777777777777778,,0.9230769230769231,,amazon
4,400,0.837696335078534,,0.8888888888888888,0.5833333333333334,,,,,0.9090909090909091,1.07486,amazon
5,500,,0.8,0.7272727272727273,,,,,,,,amazon
6,600,,0.8947368421052632,,,,0.9230769230769231,1.0,1.0,,,amazon
7,700,0.9217877094972067,,,0.95,0.8571428571428571,0.8181818181818182,0.9230769230769231,1.0,0.9473684210526315,1.07486,amazon
8,800,0.9545454545454546,,0.9333333333333333,0.9166666666666666,0.8333333333333334,,,,0.9,,amazon
9,900,0.9382716049382716,,,,,,,,,,amazon
10,1000,0.9770114942528736,,,,,0.7058823529411765,0.5714285714285714,,,1.07486,amazon
11,1100,0.6037735849056604,,,0.65,,,,,0.8181818181818182,,amazon
12,1200,0.8616352201257862,,,,,,,1.0,,,amazon
13,1300,0.9490445859872612,0.8823529411764706,0.7692307692307693,,0.7857142857142857,0.8461538461538461,0.9230769230769231,0.6666666666666666,,1.07263,amazon
14,1400,0.8333333333333334,,0.9090909090909091,1.0,1.0,0.9166666666666666,0.9090909090909091,,0.8235294117647058,,amazon
15,1500,0.7467532467532467,,0.625,,0.8888888888888888,0.9230769230769231,0.8181818181818182,,,1.07263,amazon
16,1600,0.8516483516483516,0.7272727272727273,0.8333333333333334,,,0.7272727272727273,0.9,,,,amazon
17,1700,0.9025974025974026,0.8461538461538461,0.9230769230769231,0.9230769230769231,,,0.9230769230769231,,,,amazon
18,1800,0.782608695652174,0.9166666666666666,,0.9166666666666666,0.7647058823529411,,,0.6923076923076923,,1.07486,amazon
19,1900,0.837696335078534,,,0.7,0.8461538461538461,0.8666666666666667,,0.9090909090909091,0.6363636363636364,,amazon
20,2000,0.9333333333333333,,0.8823529411764706,,,,0.8181818181818182,0.5454545454545454,,,amazon
21,2100,0.7090909090909091,0.9333333333333333,0.7272727272727273,,,,,0.35714285714285715,,1.07486,amazon
22,2200,0.45544554455445546,,,0.6666666666666666,0.5,0.47368421052631576,,,0.3333333333333333,,amazon
23,2300,0.7183908045977011,,,,0.8888888888888888,0.8181818181818182,0.8461538461538461,,0.2727272727272727,,amazon
24,2400,0.75,0.8214285714285714,0.9166666666666666,,0.7272727272727273,0.5,0.7,0.6428571428571429,0.75,1.07486,amazon
25,2500,0.69375,,0.7,0.75,0.6363636363636364,,,0.5,0.5,,amazon
26,2600,0.921875,,,,,,,0.7692307692307693,,1.07486,amazon
27,2700,0.5539568345323741,0.9166666666666666,,,,0.46153846153846156,0.8181818181818182,0.21428571428571427,,,amazon
28,2800,0.5816993464052288,0.8571428571428571,0.6666666666666666,0.6923076923076923,,0.7777777777777778,0.7692307692307693,,0.15384615384615385,,amazon
29,2900,0.7103448275862069,,0.7857142857142857,0.7272727272727273,,0.8333333333333334,0.8461538461538461,,,1.0796800000000002,amazon
30,3000,0.6770833333333334,,,0.8181818181818182,0.8181818181818182,0.8,0.7,0.4166666666666667,,,amazon
31,3100,0.6377952755905512,0.9230769230769231,,0.7,0.6923076923076923,,,,0.46153846153846156,,amazon
32,3200,0.43103448275862066,0.9090909090909091,0.5714285714285714,,,,,,,1.0796800000000002,amazon
33,3300,0.6122448979591837,,0.5714285714285714,,,0.6363636363636364,0.6666666666666666,0.36363636363636365,,,amazon
34,3400,0.6030534351145038,,,0.8181818181818182,,0.75,0.9166666666666666,0.25,0.2727272727272727,,amazon
35,3500,0.6296296296296297,0.8333333333333334,,0.6923076923076923,,0.7272727272727273,0.8888888888888888,0.2222222222222222,0.25,1.07263,amazon
36,3600,0.6447368421052632,0.8181818181818182,0.7272727272727273,0.8181818181818182,,0.6666666666666666,,0.2,0.18181818181818182,,amazon
37,3700,0.6382978723404256,0.8,0.8666666666666667,0.8181818181818182,,0.9,,0.125,0.1111111111111111,1.07263,amazon
38,3800,0.6405228758169934,0.8181818181818182,0.6666666666666666,0.7,0.9166666666666666,0.625,0.8571428571428571,,0.1111111111111111,,amazon
39,3900,0.6041666666666666,0.7,,,0.8181818181818182,0.8,0.9090909090909091,,,,amazon
40,4000,0.7411167512690355,0.9166666666666666,,,0.7692307692307693,,0.8,0.3333333333333333,,1.07486,amazon
41,4100,0.6185567010309279,0.7272727272727273,0.75,0.8181818181818182,0.875,,0.8461538461538461,0.25,0.4,,amazon
42,4200,0.6645569620253164,,0.75,0.6666666666666666,0.9,0.7272727272727273,0.75,0.35714285714285715,0.2,,amazon
43,4300,0.5766423357664233,,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.6363636363636364,,,0.2727272727272727,1.07486,amazon
44,4400,0.6086956521739131,0.9,0.75,0.6363636363636364,0.7142857142857143,0.7,,,0.1,,amazon
45,4500,0.6442953020134228,0.7857142857142857,0.6666666666666666,0.8181818181818182,0.9,0.9090909090909091,0.8461538461538461,0.18181818181818182,0.07692307692307693,,amazon
