,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9512195121951219,,1.0,,0.9285714285714286,,0.9473684210526315,,
2,200,0.9642857142857143,,,,,,,,
3,300,1.0,0.95,,1.0,,1.0,,1.0,1.0
4,400,0.9655172413793104,,0.9333333333333333,0.9230769230769231,0.9230769230769231,,0.9333333333333333,,
5,500,0.9751243781094527,,0.9090909090909091,0.9166666666666666,,,,,
6,600,0.93048128342246,,,,,0.9333333333333333,,,
7,700,0.9104477611940298,,,,,,0.6,,
8,800,0.7948717948717948,0.7222222222222222,,0.7058823529411765,,,,0.875,0.7222222222222222
9,900,0.708502024291498,0.9166666666666666,0.7058823529411765,0.8,0.7058823529411765,0.6666666666666666,,1.0,1.0
10,1000,0.8675496688741722,0.75,0.8333333333333334,,0.9166666666666666,0.9090909090909091,0.9285714285714286,0.9166666666666666,0.8181818181818182
11,1100,0.8670886075949367,,0.8,,1.0,0.7777777777777778,0.9090909090909091,0.9090909090909091,0.7857142857142857
12,1200,0.8698630136986302,,0.9166666666666666,0.8181818181818182,,,,,
13,1300,0.875,,,,,,,,
14,1400,0.8983050847457628,,,,,0.9473684210526315,0.8666666666666667,1.0,
15,1500,0.9141630901287554,0.85,0.9230769230769231,,,,,1.0,
16,1600,0.8728323699421965,,0.7692307692307693,,0.8461538461538461,,,,0.9333333333333333
17,1700,0.8493150684931506,,,0.7857142857142857,,,0.6923076923076923,,
18,1800,,0.875,,0.875,,,0.5714285714285714,,
19,1900,,,0.5333333333333333,0.5882352941176471,0.5882352941176471,,,,0.75
20,2000,0.5797101449275363,,,,0.8333333333333334,,,0.18181818181818182,0.25
21,2100,0.6879432624113475,0.8571428571428571,,,0.5833333333333334,0.8461538461538461,0.6428571428571429,0.3333333333333333,0.3125
22,2200,0.5612903225806452,0.8571428571428571,0.4666666666666667,0.6666666666666666,0.75,0.5833333333333334,0.9090909090909091,0.1,
23,2300,0.6298701298701299,1.0,0.7,0.8181818181818182,0.6363636363636364,0.9,0.7692307692307693,0.1111111111111111,
24,2400,0.6265822784810127,0.7,0.8,0.6666666666666666,0.75,0.7272727272727273,,0.2727272727272727,0.3076923076923077
25,2500,0.6546762589922274,1.0,0.8333333333333334,0.7777777777777778,0.6363636363636364,,,0.2,0.18181818181818182
26,2600,0.6599190283407222,0.8,0.8888888888888888,0.7272727272727273,0.7272727272727273,,0.7272727272727273,0.2727272727272727,0.2222222222222222
27,2700,0.5782312925170068,0.7272727272727273,0.6666666666666666,0.8181818181818182,0.6923076923076923,0.6666666666666666,0.7692307692307693,,0.3076923076923077
28,2800,0.6296296296296297,,,,,,,,
29,2900,0.6453900709219859,,,,,,,0.14285714285714285,
30,3000,0.4025974025974026,0.5882352941176471,0.631578947368421,0.5789473684210527,0.875,0.5714285714285714,0.7,0.25,0.17647058823529413
31,3100,0.636986301369863,0.8181818181818182,0.7777777777777778,0.9,,0.7,0.8,0.2,0.2
32,3200,0.6513157894736842,0.7272727272727273,,0.7777777777777778,,0.7777777777777778,0.9090909090909091,,0.5
33,3300,0.64375,0.6666666666666666,,0.8,0.6666666666666666,0.8571428571428571,0.8888888888888888,,0.0
34,3400,0.6555555555555556,0.7692307692307693,0.8620689655172413,0.7272727272727273,0.8571428571428571,0.6666666666666666,0.8181818181818182,,0.3333333333333333
35,3500,0.678082191780822,,,,0.8181818181818182,0.8,0.8,,0.25
36,3600,0.6516129032258065,,,,0.5833333333333334,0.6666666666666666,0.6363636363636364,0.3076923076923077,0.2222222222222222
37,3700,0.6223404255319149,0.9090909090909091,0.7692307692307693,0.8,0.7272727272727273,0.6666666666666666,0.7777777777777778,0.2,
38,3800,0.6046511627906976,0.9090909090909091,0.8,0.8333333333333334,,,,,
39,3900,0.6538461538461539,,0.8,,,,,,
40,4000,0.6363636363636364,,0.5333333333333333,,0.47058823529411764,0.6875,0.6470588235294118,0.25,
41,4100,0.47863247863247865,0.6363636363636364,,0.6190476190476191,0.6666666666666666,0.7,0.6666666666666666,0.25,0.2777777777777778
42,4200,0.6228571428571429,0.6,,0.8666666666666667,0.7272727272727273,0.7272727272727273,0.8461538461538461,0.8181818181818182,0.3
43,4300,0.6441717791411042,,0.8666666666666667,0.625,,0.7142857142857143,0.9166666666666666,0.15384615384615385,0.5454545454545454
44,4400,0.7898089171974523,,0.7857142857142857,0.8,,1.0,0.625,0.18181818181818182,0.1111111111111111
45,4500,0.6649214659685864,0.8333333333333334,0.9,,0.8333333333333334,0.7272727272727273,0.5555555555555556,,0.2222222222222222
46,4600,0.6283783783783784,0.9285714285714286,0.7272727272727273,,0.7692307692307693,0.7,0.7777777777777778,,0.36363636363636365
47,4700,0.6223776223776224,0.8181818181818182,0.6666666666666666,0.6923076923076923,0.6,,0.7142857142857143,0.2727272727272727,0.3333333333333333
48,4800,0.6227544910179641,0.6666666666666666,0.8888888888888888,0.8181818181818182,0.625,,0.8,0.3,0.15384615384615385
49,4900,0.6171875,0.8,,0.8571428571428571,,0.7,0.8333333333333334,0.2222222222222222,0.3
50,5000,0.6774193548387096,0.8,,0.6666666666666666,,0.7777777777777778,0.8,0.09090909090909091,0.1111111111111111
51,5100,0.6258064516129033,0.8888888888888888,0.7142857142857143,0.875,0.8181818181818182,0.6363636363636364,0.8888888888888888,0.18181818181818182,0.2222222222222222
52,5200,0.6459627329192547,0.8333333333333334,0.75,0.7,0.7272727272727273,0.7272727272727273,,0.2,0.18181818181818182
53,5300,0.654639175257732,0.8333333333333334,0.8,0.6666666666666666,0.7692307692307693,0.9,,,
54,5400,0.6551724137931034,0.875,0.8,,0.8461538461538461,0.75,0.8461538461538461,,
55,5500,0.6275862068965518,0.75,0.6,,0.6363636363636364,0.7692307692307693,0.7692307692307693,0.25,0.23076923076923078
56,5600,0.6069364161849711,0.7857142857142857,0.7692307692307693,0.8571428571428571,,0.7777777777777778,0.7777777777777778,0.18181818181818182,0.08333333333333333
57,5700,0.643312101910828,,0.875,0.7777777777777778,,,,0.09090909090909091,0.1111111111111111
58,5800,0.6395348837209303,,0.75,0.75,0.8333333333333334,,,,0.25
59,5900,0.6319018404907976,0.75,0.7777777777777778,0.8,0.8,0.6666666666666666,0.8,,
