,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.4058,ask
1,100,0.9337016574585635,,0.9285714285714286,0.8571428571428571,,0.9375,1.0,1.0,1.0,,ask
2,200,0.8586387434554974,,0.7272727272727273,0.8333333333333334,,0.7272727272727273,0.9,1.0,0.9090909090909091,1.4058,ask
3,300,0.8968253968253969,1.0,,,0.8181818181818182,1.0,,,,,ask
4,400,0.9545454545454546,,,,0.9285714285714286,,,,,,ask
5,500,0.9623655913978495,,0.8461538461538461,0.9166666666666666,,,1.0,1.0,1.0,1.43055,ask
6,600,0.898936170212766,0.875,0.8333333333333334,0.8571428571428571,,0.875,,,0.8461538461538461,,ask
7,700,0.8333333333333334,0.8,0.8333333333333334,0.9,0.9230769230769231,,,,0.45454545454545453,,ask
8,800,0.7467532467532467,0.9166666666666666,,0.8888888888888888,0.7857142857142857,,0.8461538461538461,0.45454545454545453,0.4,1.43055,ask
9,900,0.7514792899408284,0.7692307692307693,,0.9,0.9166666666666666,0.8571428571428571,0.8888888888888888,,0.1111111111111111,,ask
10,1000,0.7178217821782178,0.9,,0.8461538461538461,0.875,0.9230769230769231,0.8181818181818182,,0.4,1.21024,ask
11,1100,0.7122302158273381,,,0.6,0.9090909090909091,0.9166666666666666,0.8571428571428571,0.38461538461538464,,,ask
12,1200,0.6408450704225352,,0.7272727272727273,0.7777777777777778,0.8,0.75,,0.16666666666666666,,,ask
13,1300,0.5911602209944752,0.8928571428571429,0.7142857142857143,0.8,0.7272727272727273,0.6363636363636364,,0.1,0.21428571428571427,1.21024,ask
14,1400,0.6335403726708074,0.8,0.75,0.8,,0.8,0.8333333333333334,0.1,,,ask
15,1500,0.6418918918918919,0.8888888888888888,,0.75,,0.5,0.8181818181818182,0.125,,,ask
16,1600,0.6476683937823834,,,0.7777777777777778,0.8181818181818182,0.8,0.7692307692307693,0.1111111111111111,0.16666666666666666,0.53393,ask
17,1700,0.6408450704225352,,0.8461538461538461,,0.875,0.8,0.7857142857142857,0.16666666666666666,0.2222222222222222,,ask
18,1800,0.5703703703703704,0.7142857142857143,0.7777777777777778,,0.8181818181818182,0.8,0.8888888888888888,0.18181818181818182,0.1,,ask
19,1900,0.624113475177305,0.7,0.75,0.45454545454545453,0.6666666666666666,0.6666666666666666,0.8461538461538461,,0.25,0.53393,ask
20,2000,0.6181818181818182,0.6666666666666666,0.9,0.7692307692307693,0.5384615384615384,0.8888888888888888,,,0.1111111111111111,,ask
21,2100,0.6370370370370371,0.8888888888888888,0.7272727272727273,0.9,0.6666666666666666,0.6666666666666666,,0.18181818181818182,0.09090909090909091,0.58882,ask
22,2200,0.6417112299465241,0.8,,0.9090909090909091,0.7777777777777778,0.75,0.8,0.08333333333333333,0.2,,ask
23,2300,0.6578947368421053,0.9,,0.75,0.9,0.625,0.8518518518518519,,0.2,,ask
24,2400,0.6363636363636364,0.8333333333333334,0.7692307692307693,0.8181818181818182,0.8,0.8181818181818182,,,0.2727272727272727,0.58882,ask
25,2500,0.6010928961748634,0.8181818181818182,0.9,0.6923076923076923,0.7272727272727273,,,0.25,,,ask
26,2600,0.583941605839416,0.8,,,0.4444444444444444,,,0.2857142857142857,,,ask
