,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0.0,,,,,,,,,
1,100.0,0.9345238095238095,,,1.0,,0.8666666666666667,1.0,0.9230769230769231,1.0
2,200.0,0.8430232558139535,,,0.9,,,0.9090909090909091,0.9090909090909091,1.0
3,300.0,0.9565217391304348,0.9230769230769231,0.6666666666666666,,1.0,,,,
4,400.0,0.96875,1.0,1.0,,0.9166666666666666,1.0,,,
5,500.0,0.9704142011834319,0.9166666666666666,0.8461538461538461,0.9333333333333333,0.9230769230769231,,1.0,1.0,1.0
6,600.0,0.9383886255924171,,,0.9166666666666666,,,,0.8181818181818182,0.8461538461538461
7,700.0,0.8431372549019608,,,,,0.7692307692307693,,0.5454545454545454,0.5
8,800.0,0.7239263803680982,0.8571428571428571,0.9230769230769231,,0.7272727272727273,0.75,0.8181818181818182,0.4,0.5454545454545454
9,900.0,0.7345971563981043,0.8333333333333334,0.7777777777777778,0.8571428571428571,0.8,0.7272727272727273,0.75,,0.5454545454545454
10,1000.0,0.6742424242424242,0.8888888888888888,0.8,0.9090909090909091,0.7,0.7333333333333333,0.8181818181818182,,0.16666666666666666
11,1100.0,0.6179775280898876,0.9230769230769231,0.7,0.7,0.6363636363636364,,0.75,0.4166666666666667,
12,1200.0,0.6428571428571429,,0.7272727272727273,0.6666666666666666,0.8888888888888888,,,0.1111111111111111,
13,1300.0,0.6137931034482759,,0.8,0.7857142857142857,0.6666666666666666,0.71875,,0.18181818181818182,0.16666666666666666
14,1400.0,0.6263157894736842,,0.5555555555555556,0.8333333333333334,0.6363636363636364,0.78125,0.8333333333333334,0.3333333333333333,0.2222222222222222
15,1500.0,0.6394557823129252,,0.8181818181818182,0.6666666666666666,,0.5,0.8181818181818182,0.23076923076923078,0.09090909090909091
16,1600.0,0.5714285714285714,0.8461538461538461,0.9166666666666666,0.7272727272727273,,,0.8888888888888888,0.1,0.15384615384615385
17,1700.0,0.643979057591623,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.8333333333333334,,,0.18181818181818182,0.3
18,1800.0,0.6744186046511628,0.8571428571428571,0.6,,0.8333333333333334,0.7692307692307693,,0.125,0.08333333333333333
19,1900.0,0.5987261146496815,0.7777777777777778,0.6666666666666666,,0.8333333333333334,0.6,0.75,0.2222222222222222,0.2
20,2000.0,0.6474820143884892,0.8,,0.8181818181818182,0.875,,0.8181818181818182,0.3,
21,2100.0,0.6225165562913907,0.8333333333333334,,0.7,,,0.7777777777777778,0.1,
22,2200.0,0.6195121951219512,0.9,0.9090909090909091,0.75,,0.6923076923076923,0.8333333333333334,0.1,0.14285714285714285
23,2300.0,0.6037735849056604,0.7777777777777778,0.8333333333333334,0.8888888888888888,0.6363636363636364,0.6923076923076923,0.7692307692307693,0.18181818181818182,
24,2400.0,0.6240601503759399,0.7272727272727273,0.8888888888888888,0.8333333333333334,0.7272727272727273,0.8181818181818182,0.7272727272727273,,
25,2500.0,0.6178343949044586,,0.75,0.7,0.8,0.7272727272727273,0.7777777777777778,,0.1
26,2600.0,0.5894039735099338,,0.6923076923076923,,0.5833333333333334,0.5833333333333334,0.8,0.14285714285714285,0.2
27,2700.0,0.5823529411764706,0.75,0.8181818181818182,,0.7142857142857143,0.7272727272727273,0.8333333333333334,0.16666666666666666,0.125
28,2800.0,0.6273291925465838,0.8181818181818182,0.75,0.9166666666666666,,,0.7777777777777778,0.1111111111111111,0.0
29,2900.0,0.6446280991735537,0.8,,0.7272727272727273,,,0.75,0.0,0.15384615384615385
30,3000.0,0.5754189944134078,0.7,,0.8571428571428571,0.7,0.7272727272727273,,0.0,0.1
31,3100.0,0.6132596685082873,0.8333333333333334,0.8125,0.7272727272727273,0.8181818181818182,0.7272727272727273,,0.3076923076923077,0.25
32,3200.0,0.64375,0.7777777777777778,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.6666666666666666,0.875,0.2,
