,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.59216,bing
1,100,0.9159663865546218,0.8235294117647058,,1.0,0.9333333333333333,0.9411764705882353,0.9375,,0.9375,,bing
2,200,0.9259259259259259,,,0.9090909090909091,,,,,,,bing
3,300,0.8536585365853658,,0.6666666666666666,,,,,,,1.59216,bing
4,400,0.7155172413793104,,,,,,0.9285714285714286,,,,bing
5,500,0.9565217391304348,1.0,,1.0,,,,0.95,,,bing
6,600,0.9864864864864865,,1.0,,0.8461538461538461,0.6428571428571429,,,0.9285714285714286,1.56736,bing
7,700,0.8484848484848485,,0.7272727272727273,,0.8461538461538461,0.8461538461538461,0.8125,,0.5454545454545454,,bing
8,800,0.7894736842105263,0.7857142857142857,1.0,,0.8,0.9090909090909091,0.9285714285714286,0.7,0.9166666666666666,1.56736,bing
9,900,0.8535031847133758,0.9166666666666666,,,,,0.8,0.7692307692307693,,,bing
10,1000,0.7413793103448276,,,0.8461538461538461,,,,0.36363636363636365,,,bing
11,1100,0.7214285714285714,,0.9230769230769231,0.9166666666666666,0.8571428571428571,0.8666666666666667,,0.42857142857142855,0.25,1.4363299999999999,bing
12,1200,0.7046979865771812,0.8,0.8181818181818182,0.7,0.8181818181818182,,,0.45454545454545453,0.2222222222222222,,bing
13,1300,0.68125,0.9090909090909091,,,,,,,,,bing
14,1400,0.6666666666666666,,,,,0.47368421052631576,0.5714285714285714,,,1.4363299999999999,bing
15,1500,0.34234234234234234,,0.6666666666666666,0.5,0.47058823529411764,0.8,,0.14285714285714285,0.1111111111111111,,bing
16,1600,0.6818181818181818,0.8333333333333334,,,,0.5384615384615384,,0.2,0.25,0.5650000000000001,bing
17,1700,0.6055555555555555,0.8,,,,0.5,0.75,0.36363636363636365,,,bing
18,1800,0.5723684210526315,0.7272727272727273,0.5384615384615384,0.7647058823529411,0.6428571428571429,0.7272727272727273,0.8461538461538461,0.25,,,bing
19,1900,0.5955056179775281,0.8461538461538461,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.5555555555555556,0.8461538461538461,0.14285714285714285,0.14285714285714285,0.5650000000000001,bing
20,2000,0.5909090909090909,0.8181818181818182,0.8888888888888888,0.6666666666666666,0.6363636363636364,0.7272727272727273,0.7,,0.0,,bing
21,2100,0.6291390728476821,,0.6923076923076923,0.6666666666666666,0.8333333333333334,0.6,0.8181818181818182,,0.16666666666666666,,bing
22,2200,0.6358381502890174,,0.8571428571428571,0.8181818181818182,0.7272727272727273,,,0.2,0.2222222222222222,0.5850000000000001,bing
23,2300,0.6328125,0.8,,,,,,0.3333333333333333,,,bing
24,2400,0.5769230769230769,,,,,,0.5555555555555556,,,,bing
25,2500,0.49230769230769234,,0.47619047619047616,0.55,,0.5714285714285714,0.8333333333333334,,0.041666666666666664,0.5850000000000001,bing
26,2600,0.4,,0.8181818181818182,0.75,0.45454545454545453,0.7272727272727273,,0.1875,0.2222222222222222,,bing
27,2700,0.5777777777777777,,0.6,0.5555555555555556,0.5833333333333334,0.6363636363636364,,0.2,,0.48,bing
