,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8,w,sitename
0,0,,,,,,,,,,1.6681500000000002,chase
1,100,0.9242424242424242,0.9090909090909091,0.9411764705882353,0.9230769230769231,0.9166666666666666,0.9166666666666666,1.0,1.0,,,chase
2,200,0.9365079365079365,0.8125,0.8461538461538461,1.0,,,,1.0,,,chase
3,300,0.9329608938547486,,,,,,,,1.0,1.6681500000000002,chase
4,400,0.9056603773584906,,,,0.9230769230769231,1.0,1.0,,1.0,,chase
5,500,0.9506172839506173,0.8333333333333334,1.0,0.9333333333333333,0.9230769230769231,,0.8461538461538461,1.0,,1.6731000000000005,chase
6,600,0.9176470588235294,1.0,,0.9333333333333333,0.9285714285714286,,0.9333333333333333,0.8571428571428571,,,chase
7,700,0.9035532994923858,,,,,0.9230769230769231,,,0.8461538461538461,,chase
8,800,0.9103448275862069,,0.8461538461538461,,,0.9230769230769231,,,1.0,1.6731000000000005,chase
9,900,0.8514285714285714,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9090909090909091,0.8461538461538461,0.6923076923076923,1.0,0.9285714285714286,,chase
10,1000,0.8832116788321168,0.8333333333333334,0.9090909090909091,0.9166666666666666,0.8571428571428571,,0.9166666666666666,0.7857142857142857,,,chase
11,1100,0.8,,,0.875,0.75,,0.8333333333333334,,,1.6731000000000005,chase
12,1200,0.7426900584795322,,,0.8571428571428571,,0.8461538461538461,,,0.46153846153846156,,chase
13,1300,0.8490566037735849,0.9411764705882353,0.875,0.9166666666666666,,0.8125,,0.7857142857142857,1.0,1.6731000000000005,chase
14,1400,0.8848484848484849,0.8333333333333334,0.7,0.875,0.8571428571428571,0.75,1.0,0.9090909090909091,,,chase
15,1500,0.8287292817679558,0.6666666666666666,0.8,0.9,0.6666666666666666,0.9090909090909091,0.7692307692307693,,,,chase
16,1600,0.8024691358024691,0.7,0.75,,0.6666666666666666,,0.625,,0.7857142857142857,0.6536900000000001,chase
17,1700,0.6486486486486487,0.75,,,0.8461538461538461,,0.9,0.25,0.18181818181818182,,chase
18,1800,0.6621621621621622,,,,0.6363636363636364,0.8333333333333334,0.8181818181818182,0.3,0.3,,chase
19,1900,0.6069364161849711,,0.7333333333333333,,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.25,0.3,0.6536900000000001,chase
20,2000,0.6114285714285714,0.9090909090909091,0.7692307692307693,0.75,,0.8333333333333334,0.75,0.0,,,chase
21,2100,0.5714285714285714,0.5714285714285714,0.6666666666666666,,,0.7272727272727273,0.75,0.25,,0.525,chase
22,2200,0.6111111111111112,0.7692307692307693,,,0.6923076923076923,0.8,0.8888888888888888,,0.0,,chase
23,2300,0.6363636363636364,0.625,,0.7142857142857143,0.75,,0.75,,0.25,,chase
24,2400,0.6226415094339622,0.7692307692307693,0.6923076923076923,0.75,0.8,,0.8888888888888888,0.375,0.16666666666666666,0.525,chase
25,2500,0.6294117647058823,0.8181818181818182,0.8333333333333334,0.7272727272727273,0.8,0.8181818181818182,0.8181818181818182,0.1,0.14285714285714285,,chase
26,2600,0.6222222222222222,,,0.6363636363636364,0.75,0.75,,0.08333333333333333,,,chase
27,2700,0.5989304812834224,,,0.7272727272727273,0.8,0.6428571428571429,,0.25,,1.1431,chase
28,2800,0.6910569105691057,0.8333333333333334,0.6923076923076923,0.8333333333333334,,0.8,0.9166666666666666,,0.36363636363636365,,chase
29,2900,0.6907894736842105,0.9,0.9166666666666666,0.7142857142857143,,0.6666666666666666,0.75,,0.3333333333333333,,chase
30,3000,0.6408450704225352,0.8,0.6428571428571429,,0.6,,0.8181818181818182,0.4166666666666667,0.2,1.1431,chase
