,time[ms],cpu_load_0,cpu_load_1,cpu_load_2,cpu_load_3,cpu_load_4,cpu_load_5,cpu_load_6,cpu_load_7,cpu_load_8
0,0,,,,,,,,,
1,100,0.9090909090909091,1.0,1.0,1.0,0.8333333333333334,0.8823529411764706,1.0,,0.6666666666666666
2,200,0.8545454545454545,0.7272727272727273,0.6,0.8181818181818182,0.8,0.7857142857142857,0.7,,0.8888888888888888
3,300,0.7733333333333333,0.8,0.8,0.6666666666666666,,,0.7777777777777778,1.0,
4,400,0.8266666666666667,,,0.6428571428571429,,,0.6923076923076923,0.9,
5,500,0.771689497716895,,,,0.7333333333333333,0.8,,0.8333333333333334,0.95
6,600,0.8769230769230769,0.7333333333333333,0.8333333333333334,,0.8461538461538461,,,0.9,
7,700,0.8588235294117647,,0.8181818181818182,0.8181818181818182,,,0.8125,0.8333333333333334,
8,800,0.7818181818181819,,0.9090909090909091,0.9090909090909091,,0.75,0.7692307692307693,0.9166666666666666,1.0
9,900,0.8287671232876712,0.8571428571428571,0.625,0.8333333333333334,0.7857142857142857,0.6428571428571429,,,
10,1000,0.6927374301675978,0.8181818181818182,,0.7777777777777778,0.7857142857142857,0.9,,,
11,1100,0.7449664429530202,0.8181818181818182,,0.8888888888888888,0.7777777777777778,1.0,0.8333333333333334,0.5454545454545454,0.46153846153846156
12,1200,0.7463768115942029,1.0,0.8333333333333334,0.8181818181818182,,0.625,0.7142857142857143,0.4,0.3076923076923077
13,1300,0.6358695652173914,,0.8,,,,0.7,,
14,1400,0.6266666666666667,,,,,,,,
15,1500,0.5833333333333334,0.5789473684210527,,0.45,,0.45454545454545453,,0.2,0.1
16,1600,0.3173076923076923,0.6666666666666666,0.35294117647058826,,0.5555555555555556,,0.4375,,0.18181818181818182
17,1700,0.6333333333333333,0.8181818181818182,0.75,,0.75,,0.8,,
18,1800,0.6055555555555555,0.8888888888888888,,0.6363636363636364,0.8,0.6923076923076923,0.8333333333333334,0.09090909090909091,
19,1900,0.5919540229885057,0.7272727272727273,,0.9090909090909091,0.9,0.7142857142857143,0.6923076923076923,0.2727272727272727,0.10714285714285714
20,2000,0.6394557823129252,,0.7692307692307693,,0.7272727272727273,,0.9166666666666666,0.16666666666666666,
21,2100,0.6415094339622641,,0.8181818181818182,,0.625,,0.7777777777777778,0.2,
22,2200,0.5872093023255814,0.8181818181818182,0.6,0.7878787878787878,0.8,0.7777777777777778,0.7777777777777778,0.25,0.15384615384615385
23,2300,0.6118421052631579,0.8461538461538461,0.6923076923076923,0.5454545454545454,0.8333333333333334,0.75,0.7,0.2727272727272727,0.16666666666666666
24,2400,0.6601307189542484,,,,,0.7272727272727273,,,0.25
25,2500,,,,,,0.7777777777777778,,,0.2727272727272727
26,2600,,0.6190476190476191,0.5882352941176471,,,,0.6111111111111112,0.058823529411764705,0.0
27,2700,0.45484949832775917,0.8,0.875,0.6274509803921569,,,0.8,0.2222222222222222,0.2
28,2800,0.6810810810810811,1.0,0.6666666666666666,,,0.9090909090909091,0.6,0.3333333333333333,0.46153846153846156
